,New Jersey,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,176551.86489491802,,
2020-01-25,0.0,176552.4207581957,,
2020-01-26,0.0,176552.6733606469,,
2020-01-27,0.0,176552.53370542935,,
2020-01-28,0.0,176552.3906960845,,
2020-01-29,0.0,176552.34149327225,,
2020-01-30,0.0,176552.49361831555,,
2020-01-31,0.0,176552.36160873613,,
2020-02-01,0.0,176552.35267396877,,
2020-02-02,0.0,176552.46739809803,,
2020-02-03,0.0,176552.34447647247,,
2020-02-04,0.0,176552.3622453686,,
2020-02-05,0.0,176552.445297868,,
2020-02-06,0.0,176552.3347297434,,
2020-02-07,0.0,176552.3701926133,,
2020-02-08,0.0,176552.42621545604,,
2020-02-09,0.0,176552.3298853155,,
2020-02-10,0.0,176552.37649286864,,
2020-02-11,0.0,176552.40962336079,,
2020-02-12,0.0,176552.32841774367,,
2020-02-13,0.0,176552.38115192816,,
2020-02-14,0.0,176552.3952602024,,
2020-02-15,0.0,176552.32929641588,,
2020-02-16,0.0,176552.384219979,,
2020-02-17,0.0,176552.38298040972,,
2020-02-18,0.0,176552.33177357682,,
2020-02-19,0.0,176552.38579609318,,
2020-02-20,0.0,176552.3726778355,,
2020-02-21,0.0,176552.33527936036,,
2020-02-22,0.0,176552.38602540907,,
2020-02-23,0.0,176552.36424758224,,
2020-02-24,0.0,176552.33936673976,,
2020-02-25,0.0,176552.3850912555,,
2020-02-26,0.0,176552.3575688976,,
2020-02-27,0.0,176552.3436813088,,
2020-02-28,0.0,176552.38320399454,,
2020-02-29,0.0,176552.3524999775,,
2020-03-01,0.0,176552.34794390298,,
2020-03-02,0.0,176552.3805882189,,
2020-03-03,0.0,176552.34887937162,,
2020-03-04,0.0,176552.3519399082,,
2020-03-05,2.0,176552.3774698113,,
2020-03-06,2.0,176550.92620738837,,
2020-03-07,4.0,176553.6831441855,,
2020-03-08,5.0,176551.29280197175,,
2020-03-09,5.0,176552.89733710414,,
2020-03-10,15.0,176553.16827544748,,
2020-03-11,23.0,176545.2396952102,,
2020-03-12,29.0,176553.4064033152,,
2020-03-13,49.0,176554.6469763132,,
2020-03-14,69.0,176543.36704887354,,
2020-03-15,72.0,176551.45510274,,
2020-03-16,176.0,176564.81086000576,,
2020-03-17,250.0,176484.0124915365,,
2020-03-18,397.0,176566.84824958481,,
2020-03-19,741.0,176510.66687802912,,
2020-03-20,890.0,176417.39403057616,,
2020-03-21,1327.0,176688.17644366814,,
2020-03-22,1914.0,176377.01360133375,,
2020-03-23,2844.0,176440.4816830197,,
2020-03-24,3675.0,176308.89106231875,,
2020-03-25,4402.0,176636.53177661574,,
2020-03-26,6876.0,176726.64534844135,,
2020-03-27,8825.0,175283.79503092208,,
2020-03-28,11124.0,176832.67769708825,,
