,Alabama,forecast,interval_low,interval_high
2020-01-23,0.0,0.020190590992569923,-0.007767438888549805,0.12322315573692322
2020-01-24,0.0,-0.00017324686632491648,-0.00331270694732666,0.003375709056854248
2020-01-25,0.0,-0.04091397672891617,-0.1874232292175293,-0.0012063980102539062
2020-01-26,0.0,0.06799100339412689,-5.269050598144531e-05,0.32060375809669495
2020-01-27,0.0,0.08271998912096024,-0.000483095645904541,0.39825764298439026
2020-01-28,0.0,0.011594695039093494,-0.009073078632354736,0.07212123274803162
2020-01-29,0.0,0.0005645871278829873,-0.0025237202644348145,0.007629841566085815
2020-01-30,0.0,-0.07635275274515152,-0.43210089206695557,0.0529477596282959
2020-01-31,0.0,0.6337710618972778,0.0035018622875213623,3.1476974487304688
2020-02-01,0.0,0.0019500314956530929,9.849667549133301e-05,0.0066686272621154785
2020-02-02,0.0,-0.0017267942894250154,-0.005066215991973877,0.0007217526435852051
2020-02-03,0.0,0.0029599189292639494,-0.02145063877105713,0.03398466110229492
2020-02-04,0.0,0.001438486622646451,-0.0035507678985595703,0.007107079029083252
2020-02-05,0.0,-0.005924314260482788,-0.01882624626159668,0.0011596083641052246
2020-02-06,0.0,0.0026937127113342285,-0.0011766552925109863,0.010881662368774414
2020-02-07,0.0,0.004438132047653198,-0.011368751525878906,0.02105027437210083
2020-02-08,0.0,-0.007263392210006714,-0.03184992074966431,0.012419015169143677
2020-02-09,0.0,-0.0027185678482055664,-0.02541494369506836,0.010721266269683838
2020-02-10,0.0,-0.0006388008478097618,-0.007807135581970215,0.006661057472229004
2020-02-11,0.0,0.010538804344832897,-0.001049041748046875,0.02341887354850769
2020-02-12,0.0,0.029413318261504173,-0.013512372970581055,0.153635174036026
2020-02-13,0.0,-0.013170123100280762,-0.029615938663482666,0.0004210472106933594
2020-02-14,0.0,0.0199532862752676,-0.014426708221435547,0.04565554857254028
2020-02-15,0.0,-0.002797848079353571,-0.010596871376037598,0.003339320421218872
2020-02-16,0.0,0.011961710639297962,-0.0019617676734924316,0.046605825424194336
2020-02-17,0.0,-0.10577316582202911,-0.4854883551597595,-0.003471553325653076
2020-02-18,0.0,-0.007888996973633766,-0.018948853015899658,0.0038573145866394043
2020-02-19,0.0,-0.0903753936290741,-0.485504150390625,0.0391254723072052
2020-02-20,0.0,0.005042922683060169,-0.006220221519470215,0.013533353805541992
2020-02-21,0.0,0.0006068170187063515,-0.013263344764709473,0.005455970764160156
2020-02-22,0.0,0.0033951401710510254,-0.03268110752105713,0.04464039206504822
2020-02-23,0.0,-0.003986424300819635,-0.09439855813980103,0.09719851613044739
2020-02-24,0.0,0.018260473385453224,-0.005862832069396973,0.07621663808822632
2020-02-25,0.0,0.07457160949707031,0.0035770535469055176,0.1678725779056549
2020-02-26,0.0,0.04887271672487259,-0.005447030067443848,0.2421296238899231
2020-02-27,0.0,-0.0020807920955121517,-0.014956891536712646,0.015136569738388062
2020-02-28,0.0,0.030190300196409225,-0.012458562850952148,0.15479835867881775
2020-02-29,0.0,0.0002351999282836914,-0.004542410373687744,0.0077667236328125
2020-03-01,0.0,0.0010373651748523116,-0.0018581151962280273,0.006911516189575195
2020-03-02,0.0,0.00027004480944015086,-0.0017075538635253906,0.0024576187133789062
2020-03-03,0.0,-0.004760360810905695,-0.00954371690750122,0.00020498037338256836
2020-03-04,0.0,-0.0078621506690979,-0.0403742790222168,0.006182760000228882
2020-03-05,0.0,-0.002168118953704834,-0.00688403844833374,0.00033983588218688965
2020-03-06,0.0,0.021485745906829834,-0.004559934139251709,0.06629201769828796
2020-03-07,0.0,0.007331436965614557,0.0004169642925262451,0.018303126096725464
2020-03-08,0.0,-0.006791460327804089,-0.013888835906982422,-0.0010048747062683105
2020-03-09,0.0,-0.005902820732444525,-0.012820005416870117,0.000460892915725708
2020-03-10,0.0,0.016153890639543533,-0.003134012222290039,0.032870739698410034
2020-03-11,0.0,-0.010158991441130638,-0.03217577934265137,0.0012940764427185059
2020-03-12,0.0,0.052361052483320236,-0.004266560077667236,0.19812950491905212
2020-03-13,0.0,-0.015809928998351097,-0.023784160614013672,0.0009611248970031738
2020-03-14,0.0,0.033640872687101364,-0.0025205612182617188,0.11437875032424927
2020-03-15,0.0,-0.0034644186962395906,-0.009389996528625488,0.0015504658222198486
2020-03-16,0.0,-0.1753792017698288,-0.5982298851013184,0.004778265953063965
2020-03-17,0.0,0.00864640437066555,0.0020809173583984375,0.01731550693511963
2020-03-18,0.0,-0.003986829426139593,-0.018382906913757324,0.00904121994972229
2020-03-19,0.0,-0.10260629653930664,-0.4926469922065735,0.004166156053543091
2020-03-20,0.0,0.00672917952761054,-0.002184629440307617,0.01198473572731018
2020-03-21,0.0,-0.018812090158462524,-0.04466897249221802,0.017650693655014038
2020-03-22,0.0,0.012331766076385975,-0.0035636425018310547,0.03997790813446045
2020-03-23,0.0,-0.06675717979669571,-0.7586081027984619,0.45669353008270264
2020-03-24,0.0,0.16993026435375214,0.008190125226974487,0.7821763753890991
2020-03-25,1.0,0.8001497387886047,0.0327361524105072,1.0048664808273315
2020-03-26,0.0,1.0810363292694092,0.000284343957901001,2.7250781059265137
2020-03-27,3.0,2.9840216636657715,2.958179473876953,2.9970669746398926
2020-03-28,0.0,2.422058582305908,0.0027420222759246826,6.1533074378967285
2020-03-29,6.0,4.885580062866211,0.43432489037513733,6.000930309295654
2020-03-30,0.0,3.3339831829071045,0.0002352595329284668,9.39926528930664
2020-03-31,13.0,12.995915412902832,12.990248680114746,13.00148868560791
2020-04-01,4.0,5.684936046600342,4.008142471313477,7.909581661224365
