,Hawaii,forecast,interval_low,interval_high
2020-01-23,0.0,-0.012654006481170654,-0.06125253438949585,-0.0001410841941833496
2020-01-24,0.0,0.05391881987452507,0.00020590424537658691,0.265617311000824
2020-01-25,0.0,-0.08119644224643707,-0.2364611029624939,2.4884939193725586e-05
2020-01-26,0.0,0.008805304765701294,-0.00011938810348510742,0.04213562607765198
2020-01-27,0.0,0.04368932917714119,-5.0067901611328125e-05,0.1093633770942688
2020-01-28,0.0,-0.0011161149013787508,-0.013325989246368408,0.005418986082077026
2020-01-29,0.0,-0.0013063013320788741,-0.006156027317047119,0.0005112290382385254
2020-01-30,0.0,-0.0004981517558917403,-0.0015429258346557617,0.0002568364143371582
2020-01-31,0.0,-9.739398592500947e-06,-0.0004710555076599121,0.0006113648414611816
2020-02-01,0.0,-0.007285517640411854,-0.06230735778808594,0.02609267830848694
2020-02-02,0.0,-0.00034065841464325786,-0.0014008879661560059,0.000134199857711792
2020-02-03,0.0,0.08085145801305771,-2.866983413696289e-05,0.4018440246582031
2020-02-04,0.0,-0.0003246903361286968,-0.001573324203491211,0.0009843409061431885
2020-02-05,0.0,-0.00037176013574935496,-0.0010128617286682129,0.00025397539138793945
2020-02-06,0.0,0.0007278501871041954,-0.0001506805419921875,0.0015628039836883545
2020-02-07,0.0,0.0001605987490620464,-0.0004935860633850098,0.0010600686073303223
2020-02-08,0.0,-0.0008292496204376221,-0.002909362316131592,0.0006273090839385986
2020-02-09,0.0,0.004278230480849743,0.0007371306419372559,0.01370382308959961
2020-02-10,0.0,-0.009129869751632214,-0.031007468700408936,-5.3822994232177734e-05
2020-02-11,0.0,0.0027195452712476254,0.00013840198516845703,0.0086231529712677
2020-02-12,0.0,-2.746581958490424e-05,-0.0018867254257202148,0.0014128684997558594
2020-02-13,0.0,0.0005731701967306435,-0.0013697147369384766,0.003106445074081421
2020-02-14,0.0,-2.910494731622748e-05,-0.0006150007247924805,0.0008391439914703369
2020-02-15,0.0,-0.0003060877206735313,-0.001932382583618164,0.0008878707885742188
2020-02-16,0.0,-0.0018807888263836503,-0.004350066184997559,-0.00032657384872436523
2020-02-17,0.0,-0.004911184310913086,-0.024047434329986572,0.0013301968574523926
2020-02-18,0.0,-0.0025697648525238037,-0.01227116584777832,0.0020762085914611816
2020-02-19,0.0,0.00029820800409652293,-0.0015731453895568848,0.0012148618698120117
2020-02-20,0.0,0.0004120945814065635,-0.0008355379104614258,0.0026578009128570557
2020-02-21,0.0,-0.0003742814005818218,-0.0012192130088806152,0.0007675290107727051
2020-02-22,0.0,0.005286753177642822,-0.0030835866928100586,0.028951019048690796
