,Arizona,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,1.0,,,
2020-01-27,1.0,,,
2020-01-28,1.0,,,
2020-01-29,1.0,,,
2020-01-30,1.0,,,
2020-01-31,1.0,,,
2020-02-01,1.0,,,
2020-02-02,1.0,87.28763580322266,30.920133590698242,152.1930694580078
2020-02-03,1.0,51.15193557739258,0.0,108.15922546386719
2020-02-04,1.0,0.0,0.0,21.206554412841797
2020-02-05,1.0,0.0,0.0,0.746226966381073
2020-02-06,1.0,0.0,0.0,-7.036530494689941
2020-02-07,1.0,0.0,0.0,-49.516998291015625
2020-02-08,1.0,0.0,0.0,-50.096405029296875
2020-02-09,1.0,88.08586883544922,31.70911979675293,152.98757934570312
2020-02-10,1.0,51.96894454956055,0.0,108.98070526123047
2020-02-11,1.0,0.0,0.0,22.082502365112305
2020-02-12,1.0,0.0,0.0,1.6763793230056763
2020-02-13,1.0,0.0,0.0,-6.066382884979248
2020-02-14,1.0,0.0,0.0,-48.32819366455078
2020-02-15,1.0,0.0,0.0,-48.92680740356445
2020-02-16,1.0,88.08586883544922,31.70911979675293,152.98757934570312
2020-02-17,1.0,51.96894454956055,0.0,108.98070526123047
2020-02-18,1.0,0.0,0.0,22.082502365112305
2020-02-19,1.0,0.0,0.0,1.6763793230056763
2020-02-20,1.0,0.0,0.0,-6.066382884979248
2020-02-21,1.0,0.0,0.0,-48.32819366455078
2020-02-22,1.0,0.0,0.0,-48.92680740356445
2020-02-23,1.0,88.08586883544922,31.70911979675293,152.98757934570312
2020-02-24,1.0,51.96894454956055,0.0,108.98070526123047
2020-02-25,1.0,0.0,0.0,22.082502365112305
2020-02-26,1.0,0.0,0.0,1.6763793230056763
2020-02-27,1.0,0.0,0.0,-6.066382884979248
2020-02-28,1.0,0.0,0.0,-48.32819366455078
2020-02-29,1.0,0.0,0.0,-48.92680740356445
2020-03-01,1.0,88.08586883544922,31.70911979675293,152.98757934570312
2020-03-02,1.0,51.96894454956055,0.0,108.98070526123047
2020-03-03,1.0,0.0,0.0,22.082502365112305
2020-03-04,1.0,0.0,0.0,1.6763793230056763
2020-03-05,1.0,0.0,0.0,-6.066382884979248
2020-03-06,2.0,0.0,0.0,-48.32819366455078
2020-03-07,4.0,0.0,0.0,-48.92680740356445
2020-03-08,4.0,88.08586883544922,31.70911979675293,152.98757934570312
2020-03-09,4.0,51.96894454956055,0.0,108.98070526123047
2020-03-10,6.0,0.0,0.0,22.082502365112305
2020-03-11,9.0,0.0,0.0,1.6763793230056763
2020-03-12,9.0,0.0,0.0,-6.066382884979248
2020-03-13,9.0,0.0,0.0,-48.32819366455078
2020-03-14,12.0,0.0,0.0,-48.92680740356445
