,Colorado,forecast,interval_low,interval_high
2020-05-04,283.0,388.80082672282253,,
2020-05-05,449.0,451.72886177214554,,
2020-05-06,465.0,409.5522845601763,,
2020-05-07,538.0,494.88044499040234,,
2020-05-08,457.0,481.91825552243336,,
2020-05-09,548.0,492.5087730728178,,
2020-05-10,328.0,342.29454222436675,,
2020-05-11,176.0,441.9122240751542,,
2020-05-12,278.0,538.2564111319645,,
2020-05-13,318.0,520.9018212771365,,
2020-05-14,363.0,528.5463666128469,,
2020-05-15,394.0,503.34481203015235,,
2020-05-16,401.0,429.6840544957797,,
2020-05-17,305.0,343.86123315336295,,
2020-05-18,264.0,378.8932379434842,,
2020-05-19,280.0,446.0689533102189,,
2020-05-20,315.0,510.3634219279035,,
2020-05-21,394.0,536.1129817303804,,
2020-05-22,296.0,479.83170923020526,,
2020-05-23,477.0,474.1835390523963,,
2020-05-24,210.0,293.5859210261912,,
2020-05-25,82.0,453.3306605021977,,
2020-05-26,296.0,544.733326898272,,
2020-05-27,202.0,461.72169495362914,,
2020-05-28,353.0,544.8544968161301,,
2020-05-29,491.0,452.62419486244744,,
2020-05-30,486.0,340.382314189464,,
2020-05-31,280.0,300.4228255201275,,
2020-06-01,199.0,437.9864574455528,,
2020-06-02,211.0,503.6504367010052,,
2020-06-03,272.0,527.9247066496894,,
2020-06-04,300.0,526.6098884289049,,
2020-06-05,255.0,518.519562873444,,
2020-06-06,233.0,484.0797119002129,,
2020-06-07,153.0,403.91713357612355,,
2020-06-08,182.0,402.6715876805837,,
2020-06-09,164.0,413.15527467266133,,
2020-06-10,151.0,505.3501157012024,,
2020-06-11,148.0,558.3794980512581,,
2020-06-12,175.0,532.9217134457475,,
2020-06-13,195.0,432.2077685664641,,
2020-06-14,113.0,360.40478225473254,,
2020-06-15,169.0,411.9421912078814,,
2020-06-16,143.0,425.0728478899109,,
2020-06-17,229.0,499.6791713512481,,
2020-06-18,230.0,470.578192361307,,
2020-06-19,286.0,461.83986672495905,,
2020-06-20,161.0,384.48995283159223,,
2020-06-21,191.0,436.1333470241303,,
2020-06-22,165.0,411.3616033078359,,
2020-06-23,188.0,466.5057801756787,,
2020-06-24,262.0,490.1596633574105,,
2020-06-25,324.0,470.6067841799252,,
2020-06-26,317.0,415.8740310743802,,
2020-06-27,226.0,392.4421611178624,,
2020-06-28,284.0,426.19335143762487,,
2020-06-29,204.0,395.0288740876033,,
2020-06-30,204.0,485.4467710699108,,
2020-07-01,314.0,520.4410050668333,,
2020-07-02,323.0,465.33974646844337,,
2020-07-03,260.0,434.06758977459924,,
2020-07-04,254.0,438.13914891062126,,
