,Louisiana,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,2.343824625015259,2.343824625015259,2.343824625015259
2020-01-31,0.0,2.410288095474243,2.343824625015259,2.4767515659332275
2020-02-01,0.0,2.7757256825764975,2.343824625015259,3.506600856781006
2020-02-02,0.0,2.9824164509773254,2.343824625015259,3.6024887561798096
2020-02-03,0.0,3.1174669742584227,2.343824625015259,3.6576690673828125
2020-02-04,0.0,3.44961686929067,2.343824625015259,5.110366344451904
2020-02-05,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-06,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-07,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-08,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-09,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-10,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-11,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-12,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-13,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-14,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-15,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-16,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-17,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-18,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-19,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-20,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-21,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-22,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-23,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-24,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-25,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-26,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-27,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-28,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-02-29,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-03-01,0.0,3.7378921508789062,2.343824625015259,5.467543601989746
2020-03-02,0.0,3.7378921508789062,2.343824625015259,5.467543601989746
2020-03-03,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-03-04,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-03-05,0.0,3.737891980579921,2.343824625015259,5.467543601989746
2020-03-06,0.0,3.737891980579921,2.343824625015259,5.467543601989746
2020-03-07,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-03-08,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-03-09,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-03-10,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-03-11,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-03-12,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-03-13,0.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-03-14,1.0,3.737892116819109,2.343824625015259,5.467543601989746
2020-03-15,1.0,3.7513882432665144,2.4382975101470947,5.467543601989746
2020-03-16,1.0,3.780295269829886,2.547663688659668,5.467543601989746
2020-03-17,1.0,3.8239380972726003,2.6665232181549072,5.467543601989746
2020-03-18,2.0,3.8893346786499023,2.780141592025757,5.467543601989746
2020-03-19,4.0,4.002522162028721,2.9142086505889893,5.467543601989746
2020-03-20,4.0,4.200472729546683,3.158503293991089,5.467543601989746
2020-03-21,6.0,4.486686672483172,3.6023166179656982,5.729827880859375
2020-03-22,0.0,4.811694485800607,4.07055139541626,5.955286502838135
2020-03-23,15.0,5.112201486315046,4.611181259155273,6.134836196899414
2020-03-24,11.0,5.6222004890441895,4.670812129974365,6.263660430908203
2020-03-25,19.0,6.356378419058664,5.674751281738281,7.5257415771484375
2020-03-26,18.0,7.329657418387277,6.1598591804504395,9.54531478881836
2020-03-27,36.0,8.412353106907435,6.600148677825928,11.321255683898926
2020-03-28,18.0,9.965772901262556,8.010188102722168,15.114036560058594
2020-03-29,14.0,11.697323254176549,8.223716735839844,16.969690322875977
2020-03-30,34.0,14.17572580065046,11.392367362976074,19.666975021362305
2020-03-31,54.0,16.793023926871165,12.957695960998535,22.122228622436523
2020-04-01,34.0,20.159518923078263,16.266151428222656,27.273296356201172
2020-04-02,37.0,23.062043598720006,18.62987518310547,28.884061813354492
2020-04-03,60.0,25.66681398664202,22.42960548400879,31.447166442871094
2020-04-04,39.0,27.340979712350027,23.756546020507812,33.8472785949707
2020-04-05,68.0,29.660145623343332,23.30366325378418,36.6658821105957
2020-04-06,35.0,33.903763907296316,27.090091705322266,44.04277420043945
2020-04-07,70.0,37.9078608921596,35.38907241821289,43.91547393798828
2020-04-08,70.0,40.980918884277344,36.512535095214844,45.71163558959961
2020-04-09,50.0,43.986346108572825,37.56394577026367,49.85375213623047
2020-04-10,53.0,46.850159236363005,45.49605178833008,51.19978713989258
2020-04-11,51.0,48.38035365513393,44.225765228271484,50.24229049682617
2020-04-12,34.0,50.57062040056501,47.644386291503906,52.501609802246094
2020-04-13,44.0,51.46092769077846,44.96842575073242,54.67184829711914
2020-04-14,129.0,53.650926862444194,49.27809524536133,57.797698974609375
