,North Dakota,forecast,interval_low,interval_high
2020-05-13,76.0,110.18787520983788,,
2020-05-14,65.0,103.1208631394424,,
2020-05-15,49.0,113.18040515654772,,
2020-05-16,87.0,119.82455414893504,,
2020-05-17,52.0,94.80778750013025,,
2020-05-18,31.0,109.3559448459429,,
2020-05-19,63.0,124.53379484496799,,
2020-05-20,101.0,123.23788192318045,,
2020-05-21,134.0,105.80073410091833,,
2020-05-22,88.0,80.05243802652737,,
2020-05-23,48.0,111.77368401636102,,
2020-05-24,53.0,134.05712806683482,,
2020-05-25,39.0,121.63190047841582,,
2020-05-26,-35.0,121.87459837005598,,
2020-05-27,17.0,165.52980194421534,,
2020-05-28,42.0,153.40762729866324,,
2020-05-29,39.0,135.76480634117306,,
2020-05-30,34.0,108.431167133598,,
2020-05-31,23.0,103.79709194046401,,
2020-06-01,48.0,118.33972000132658,,
2020-06-02,21.0,96.60214391354847,,
2020-06-03,33.0,112.54642061484475,,
2020-06-04,27.0,117.838035289792,,
2020-06-05,39.0,130.50283962275876,,
2020-06-06,71.0,118.31585698606696,,
2020-06-07,45.0,93.0790249615282,,
2020-06-08,19.0,110.58233355735385,,
2020-06-09,21.0,125.49734108653864,,
2020-06-10,40.0,127.13351242882894,,
2020-06-11,39.0,112.69763317322172,,
2020-06-12,36.0,110.93012196996195,,
2020-06-13,42.0,123.19452082705725,,
2020-06-14,22.0,124.26095911805798,,
2020-06-15,21.0,122.84839700126292,,
2020-06-16,23.0,111.5522732552099,,
2020-06-17,42.0,114.92248661660585,,
2020-06-18,27.0,113.5670183915775,,
2020-06-19,33.0,125.33894303328356,,
2020-06-20,25.0,120.82222361881912,,
2020-06-21,37.0,118.21354187805292,,
2020-06-22,25.0,105.30057411048675,,
2020-06-23,7.0,113.38441974434272,,
2020-06-24,42.0,130.71995932603545,,
2020-06-25,31.0,114.78096926160923,,
2020-06-26,28.0,117.96785970179538,,
2020-06-27,37.0,112.66908723468038,,
2020-06-28,37.0,112.43517252254512,,
2020-06-29,44.0,114.44641463071414,,
2020-06-30,37.0,105.78056157817866,,
2020-07-01,39.0,114.86906270449433,,
2020-07-02,42.0,117.48203253731702,,
2020-07-03,65.0,115.32196207988937,,
2020-07-04,57.0,102.85600500492355,,
2020-07-05,37.0,108.92888646033701,,
2020-07-06,33.0,122.34968812462166,,
2020-07-07,49.0,124.63987913064233,,
2020-07-08,73.0,113.07822255070872,,
2020-07-09,100.0,98.93152150769163,,
2020-07-10,84.0,94.76728838760319,,
2020-07-11,88.0,112.66980134473793,,
2020-07-12,91.0,107.91409680598166,,
2020-07-13,108.0,99.85836272110208,,
2020-07-14,51.0,90.52238856195669,,
2020-07-15,72.0,130.8899241260467,,
2020-07-16,103.0,132.39862298587286,,
2020-07-17,124.0,117.23127726044565,,
2020-07-18,115.0,95.77231969984972,,
2020-07-19,,99.85033978966214,67.56715391084305,132.13352566848124
2020-07-20,,104.7787092290765,68.46725249661233,141.09016596154066
2020-07-21,,102.12841661292006,64.05710108464784,140.19973214119227
2020-07-22,,93.36072229160315,54.126995594774414,132.5944489884319
2020-07-23,,93.52551285123772,52.89441209233744,134.156613610138
2020-07-24,,107.39958088303604,65.81560209966763,148.98355966640446
2020-07-25,,118.32449735318394,76.36941656545136,160.27957814091653
