,Indiana,forecast,interval_low,interval_high
2020-03-24,98.0,97.74506930462253,,
2020-03-25,109.0,58.81414418945996,,
2020-03-26,168.0,141.1794045961609,,
2020-03-27,334.0,242.7463670722226,,
2020-03-28,254.0,-3.500788653319546,,
2020-03-29,280.0,323.12947044310386,,
2020-03-30,273.0,214.59136893220563,,
2020-03-31,372.0,368.317671171117,,
2020-04-01,406.0,282.56850847754373,,
2020-04-02,474.0,449.35891642431363,,
2020-04-03,399.0,292.42843835607374,,
2020-04-04,516.0,605.9114302971572,,
2020-04-05,458.0,308.93100317745404,,
2020-04-06,545.0,639.9110783465858,,
2020-04-07,554.0,475.3615280810402,,
2020-04-08,433.0,449.2066543757686,,
2020-04-09,408.0,597.9288580009161,,
2020-04-10,556.0,683.3008213408461,,
2020-04-11,528.0,395.34913082583597,,
2020-04-12,493.0,576.7260159353627,,
2020-04-13,431.0,526.4088314762896,,
2020-04-14,168.0,281.1416917317035,,
2020-04-15,433.0,865.7638789452644,,
2020-04-16,582.0,377.40547100133153,,
2020-04-17,612.0,444.2309008114211,,
2020-04-18,487.0,413.13707894247017,,
2020-04-19,570.0,685.460641183803,,
2020-04-20,477.0,297.41392346562054,,
2020-04-21,409.0,549.838178481534,,
2020-04-22,341.0,523.1374899793256,,
2020-04-23,601.0,800.7465550030945,,
2020-04-24,642.0,347.91784297676406,,
2020-04-25,718.0,651.2602383515156,,
2020-04-26,613.0,450.9797674134824,,
2020-04-27,949.0,1012.8415516346722,,
2020-04-28,627.0,103.5378262405934,,
2020-04-29,594.0,988.2075094042054,,
2020-04-30,653.0,775.1343576494047,,
2020-05-01,795.0,809.2013214159234,,
2020-05-02,665.0,516.5066700299172,,
2020-05-03,638.0,896.4405412085038,,
2020-05-04,574.0,635.1414183907432,,
2020-05-05,526.0,649.0234333776509,,
2020-05-06,837.0,983.351736648488,,
2020-05-07,633.0,295.11665368812413,,
2020-05-08,643.0,887.405795463819,,
2020-05-09,586.0,590.4367236266796,,
2020-05-10,394.0,476.56918651623886,,
2020-05-11,501.0,809.2157840334128,,
2020-05-12,500.0,512.2404047529132,,
2020-05-13,346.0,397.8588445020697,,
2020-05-14,580.0,843.3851207204573,,
2020-05-15,603.0,325.11698211265934,,
2020-05-16,624.0,512.6138811835456,,
2020-05-17,498.0,417.336731473972,,
2020-05-18,477.0,602.4018412960181,,
2020-05-19,450.0,453.01068812306397,,
2020-05-20,569.0,659.1807214011154,,
2020-05-21,662.0,548.7650436820145,,
2020-05-22,473.0,341.73169862954285,,
2020-05-23,492.0,700.0964129823636,,
2020-05-24,475.0,454.3427011237835,,
2020-05-25,339.0,366.4598112513996,,
2020-05-26,363.0,606.161803306962,,
2020-05-27,359.0,425.7749936491889,,
2020-05-28,631.0,664.8386254659608,,
2020-05-29,490.0,119.91186034404404,,
2020-05-30,653.0,764.8039214107316,,
2020-05-31,363.0,60.76151559591341,,
2020-06-01,256.0,573.3066367825403,,
2020-06-02,407.0,596.4538155357332,,
2020-06-03,475.0,391.69485027235515,,
2020-06-04,384.0,314.90810827677353,,
2020-06-05,482.0,636.0376542635282,,
2020-06-06,419.0,243.45850568281048,,
2020-06-07,400.0,409.3296196835697,,
2020-06-08,226.0,250.09898147191194,,
2020-06-09,410.0,681.2550311677536,,
2020-06-10,304.0,96.85802879705926,,
2020-06-11,411.0,571.0694372419415,,
2020-06-12,398.0,263.69096110881264,,
2020-06-13,397.0,379.45825680510103,,
2020-06-14,366.0,303.7636635093697,,
2020-06-15,521.0,555.6348290071123,,
2020-06-16,356.0,111.02629190349137,,
2020-06-17,227.0,421.5752033652926,,
2020-06-18,425.0,630.7199495254322,,
2020-06-19,308.0,83.50767711481677,,
2020-06-20,315.0,466.9114722226586,,
2020-06-21,362.0,406.97322169090796,,
2020-06-22,210.0,135.36869296971682,,
2020-06-23,238.0,413.0376985142885,,
2020-06-24,269.0,289.8486409019667,,
2020-06-25,515.0,481.4746127916455,,
2020-06-26,485.0,126.72581140959954,,
2020-06-27,435.0,388.833447446195,,
2020-06-28,355.0,321.97778822845237,,
2020-06-29,298.0,356.61235028271875,,
2020-06-30,366.0,455.68255770993903,,
2020-07-01,358.0,351.31364327780955,,
2020-07-02,435.0,488.7999088918892,,
2020-07-03,528.0,435.0590514167532,,
2020-07-04,517.0,345.0221047030785,,
2020-07-05,769.0,708.6301829052547,,
2020-07-06,323.0,-85.53230591623293,,
2020-07-07,102.0,629.306836867417,,
2020-07-08,437.0,848.9064570382918,,
2020-07-09,512.0,215.5374572884719,,
2020-07-10,725.0,665.2162457361994,,
2020-07-11,779.0,516.346186547675,,
2020-07-12,533.0,284.9124821466358,,
2020-07-13,425.0,583.4678293112355,,
2020-07-14,648.0,827.780452381992,,
2020-07-15,685.0,460.18057700899874,,
2020-07-16,710.0,720.4731807273678,,
2020-07-17,733.0,735.9684336196173,,
2020-07-18,841.0,763.7524136855827,,
2020-07-19,,735.4950582429897,543.4834598874743,927.5066565985051
2020-07-20,,762.6130837473804,544.0981100148518,981.128057479909
2020-07-21,,787.501811879784,557.055115571102,1017.948508188466
2020-07-22,,812.870543974122,574.9997124717231,1050.741375476521
2020-07-23,,839.9659480671627,595.3692534012524,1084.562642733073
2020-07-24,,877.8436663540613,623.6198089854772,1132.0675237226453
2020-07-25,,871.268853740662,589.747239578563,1152.790467902761
