,Idaho,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.015234197366536101,0.015234197366536101,0.015234197366536101
2020-01-25,0.0,0.021642264125071684,0.021642264125071684,0.021642264125071684
2020-01-26,0.0,0.027785680551111136,0.027785680551111136,0.027785680551111136
2020-01-27,0.0,0.0337801207945517,0.0337801207945517,0.0337801207945517
2020-01-28,0.0,0.042982060266322036,0.042982060266322036,0.042982060266322036
2020-01-29,0.0,0.05503751879832833,0.05503751879832833,0.05503751879832833
2020-01-30,0.0,0.06836738801165566,0.06836738801165566,0.06836738801165566
2020-01-31,0.0,0.0690992143143797,0.0690992143143797,0.0690992143143797
2020-02-01,0.0,0.076109398139431,0.076109398139431,0.076109398139431
2020-02-02,0.0,0.07309832002375875,0.07309832002375875,0.07309832002375875
2020-02-03,0.0,0.07764903637679868,0.07764903637679868,0.07764903637679868
2020-02-04,0.0,0.07415330896702937,0.07415330896702937,0.07415330896702937
2020-02-05,0.0,0.07768850324193394,0.07768850324193394,0.07768850324193394
2020-02-06,0.0,0.07447868225079049,0.07447868225079049,0.07447868225079049
2020-02-07,0.0,0.07744173119783469,0.07744173119783469,0.07744173119783469
2020-02-08,0.0,0.07462702111552726,0.07462702111552726,0.07462702111552726
2020-02-09,0.0,0.07717859823874776,0.07717859823874776,0.07717859823874776
2020-02-10,0.0,0.07472905018679489,0.07472905018679489,0.07472905018679489
2020-02-11,0.0,0.07694947413038819,0.07694947413038819,0.07694947413038819
2020-02-12,0.0,0.07481535578500728,0.07481535578500728,0.07481535578500728
2020-02-13,0.0,0.07675743649298418,0.07675743649298418,0.07675743649298418
2020-02-14,0.0,0.07489316699990323,0.07489316699990323,0.07489316699990323
2020-02-15,0.0,0.07659700121574885,0.07659700121574885,0.07659700121574885
2020-02-16,0.0,0.07496432205512493,0.07496432205512493,0.07496432205512493
2020-02-17,0.0,0.07646230056859593,0.07646230056859593,0.07646230056859593
2020-02-18,0.0,0.07502944465636394,0.07502944465636394,0.07502944465636394
2020-02-19,0.0,0.07634848968179171,0.07634848968179171,0.07634848968179171
2020-02-20,0.0,0.07508890579289819,0.07508890579289819,0.07508890579289819
2020-02-21,0.0,0.07625175559292448,0.07625175559292448,0.07625175559292448
2020-02-22,0.0,0.07514303811200661,0.07514303811200661,0.07514303811200661
2020-02-23,0.0,0.07616910562715966,0.07616910562715966,0.07616910562715966
2020-02-24,0.0,0.07519217753499922,0.07519217753499922,0.07519217753499922
2020-02-25,0.0,0.07609817023443921,0.07609817023443921,0.07609817023443921
2020-02-26,0.0,0.07523666593437546,0.07523666593437546,0.07523666593437546
2020-02-27,0.0,0.07603705236555354,0.07603705236555354,0.07603705236555354
2020-02-28,0.0,0.0752768459989483,0.0752768459989483,0.0752768459989483
2020-02-29,0.0,0.07598421680359788,0.07598421680359788,0.07598421680359788
2020-03-01,0.0,0.075313055458569,0.075313055458569,0.075313055458569
2020-03-02,0.0,0.07593840887898469,0.07593840887898469,0.07593840887898469
2020-03-03,0.0,0.075345622228635,0.075345622228635,0.075345622228635
2020-03-04,0.0,0.07589859413910419,0.07589859413910419,0.07589859413910419
2020-03-05,0.0,0.07537486070833035,0.07537486070833035,0.07537486070833035
2020-03-06,0.0,0.07586391298570717,0.07586391298570717,0.07586391298570717
2020-03-07,0.0,0.07540106915052028,0.07540106915052028,0.07540106915052028
2020-03-08,0.0,0.0758336461210975,0.0758336461210975,0.0758336461210975
2020-03-09,0.0,0.07542452794979901,0.07542452794979901,0.07542452794979901
2020-03-10,0.0,0.07580718790310068,0.07580718790310068,0.07580718790310068
2020-03-11,0.0,0.07544549868709106,0.07544549868709106,0.07544549868709106
2020-03-12,0.0,0.07578402556329122,0.07578402556329122,0.07578402556329122
2020-03-13,0.0,0.0754642237796687,0.0754642237796687,0.0754642237796687
2020-03-14,0.0,0.07576372282645977,0.07576372282645977,0.07576372282645977
2020-03-15,0.0,0.07548092660208598,0.07548092660208598,0.07548092660208598
2020-03-16,0.0,0.07574590687255695,0.07574590687255695,0.07574590687255695
2020-03-17,0.0,0.07549581196203368,0.07549581196203368,0.07549581196203368
2020-03-18,0.0,0.07573025786479529,0.07573025786479529,0.07573025786479529
2020-03-19,0.0,0.07550906683353563,0.07550906683353563,0.07550906683353563
2020-03-20,0.0,0.07571650046802468,0.07571650046802468,0.07571650046802468
2020-03-21,0.0,0.07552086126717929,0.07552086126717929,0.07552086126717929
2020-03-22,0.0,0.07570439692551337,0.07570439692551337,0.07570439692551337
2020-03-23,0.0,0.07553134941265263,0.07553134941265263,0.07553134941265263
2020-03-24,0.0,0.07569374136695028,0.07569374136695028,0.07569374136695028
2020-03-25,0.0,0.0755406706024921,0.0755406706024921,0.0755406706024921
2020-03-26,3.0,3.07568435509741,3.07568435509741,3.07568435509741
2020-03-27,0.0,0.0,0.0,0.0
2020-03-28,1.0,1.1325147303063847,1.1325147303063847,1.1325147303063847
2020-03-29,1.0,0.568563582300917,0.568563582300917,0.568563582300917
2020-03-30,1.0,0.2902382797708073,0.2902382797708073,0.2902382797708073
2020-03-31,2.0,1.919790024891686,1.919790024891686,1.919790024891686
2020-04-01,1.0,0.12811477345353728,0.12811477345353728,0.12811477345353728
2020-04-02,0.0,0.368873428894277,0.368873428894277,0.368873428894277
2020-04-03,0.0,0.48658983273010137,0.48658983273010137,0.48658983273010137
2020-04-04,1.0,2.1668445040932673,2.1668445040932673,2.1668445040932673
2020-04-05,0.0,0.0,0.0,0.0
2020-04-06,0.0,1.2633533137087303,1.2633533137087303,1.2633533137087303
