,Minnesota,forecast,interval_low,interval_high
2020-05-31,24850.0,45017.24391345032,,
2020-06-01,25208.0,44979.42169985511,,
2020-06-02,25508.0,45088.15405518525,,
2020-06-03,25870.0,45114.271803658616,,
2020-06-04,26273.0,45111.686270479695,,
2020-06-05,26980.0,45101.365553854725,,
2020-06-06,27501.0,44906.137656245664,,
2020-06-07,27886.0,44963.71716809029,,
2020-06-08,28224.0,45016.969206131536,,
2020-06-09,28523.0,45047.273166479274,,
2020-06-10,28869.0,45132.82431236073,,
2020-06-11,29316.0,45092.58563903943,,
2020-06-12,29795.0,45003.99019179055,,
2020-06-13,30172.0,44973.4803458782,,
2020-06-14,30471.0,45005.11703934717,,
2020-06-15,30693.0,45039.42718036129,,
2020-06-16,30882.0,45094.61581519038,,
2020-06-17,31296.0,45118.18573646071,,
2020-06-18,31675.0,45000.347203513746,,
2020-06-19,32031.0,45001.43110616006,,
2020-06-20,32467.0,44982.54815834766,,
2020-06-21,32920.0,44936.52606427175,,
2020-06-22,33227.0,44984.627620656,,
2020-06-23,33469.0,45058.37130777484,,
2020-06-24,33763.0,45067.729602952924,,
2020-06-25,34123.0,45058.758511301196,,
2020-06-26,34616.0,45044.13075464083,,
2020-06-27,35033.0,44959.6754665215,,
2020-06-28,35549.0,44972.384689566505,,
2020-06-29,35861.0,44933.422548436385,,
2020-06-30,36303.0,45047.31773276151,,
2020-07-01,36716.0,45015.57615486461,,
2020-07-02,37210.0,45032.57439391415,,
2020-07-03,37624.0,45010.10929926607,,
2020-07-04,37624.0,45011.885738946614,,
2020-07-05,38136.0,45189.13856525499,,
2020-07-06,38569.0,44954.78710575221,,
2020-07-07,39133.0,45038.41106506835,,
2020-07-08,39589.0,44960.515498003144,,
2020-07-09,40163.0,44917.340625458375,,
2020-07-10,40767.0,44942.459300084614,,
2020-07-11,41571.0,44968.957726579814,,
2020-07-12,42281.0,44910.15406703797,,
2020-07-13,42772.0,44951.44805010791,,
2020-07-14,43170.0,45053.934138681856,,
