,Alabama,forecast,interval_low,interval_high
2020-03-06,0.0,34.5666389465332,26.47073745727539,46.5443000793457
2020-03-07,0.0,32.174285888671875,23.267311096191406,49.120826721191406
2020-03-08,0.0,19.2557315826416,13.536974906921387,25.669734954833984
2020-03-09,0.0,21.58124542236328,17.01129722595215,25.578628540039062
2020-03-10,0.0,24.181737899780273,15.001296043395996,32.2178955078125
2020-03-11,0.0,41.96451187133789,34.303924560546875,52.023902893066406
2020-03-12,0.0,37.75651931762695,31.705812454223633,46.34630584716797
2020-03-13,5.0,34.5666389465332,26.47073745727539,46.5443000793457
2020-03-14,2.0,32.174285888671875,23.267311096191406,49.120826721191406
2020-03-15,4.0,19.2557315826416,13.536974906921387,25.669734954833984
2020-03-16,18.0,21.58124542236328,17.01129722595215,25.578628540039062
2020-03-17,10.0,24.181737899780273,15.001296043395996,32.2178955078125
2020-03-18,12.0,41.96451187133789,34.303924560546875,52.023902893066406
2020-03-19,27.0,37.75651931762695,31.705812454223633,46.34630584716797
2020-03-20,28.0,34.5666389465332,26.47073745727539,46.5443000793457
2020-03-21,25.0,32.174285888671875,23.267311096191406,49.120826721191406
2020-03-22,26.0,25.97515296936035,20.418996810913086,31.81305694580078
2020-03-23,39.0,28.526636123657227,24.17177963256836,33.060638427734375
2020-03-24,46.0,32.27873611450195,23.19093132019043,41.12101745605469
2020-03-25,139.0,49.32045364379883,41.75025939941406,59.92918014526367
2020-03-26,136.0,46.49016189575195,39.852535247802734,55.65861129760742
2020-03-27,70.0,43.31914138793945,35.3477897644043,55.597042083740234
2020-03-28,107.0,39.4288215637207,30.61872100830078,56.28526306152344
2020-03-29,131.0,59.81626510620117,54.82072067260742,62.58212661743164
2020-03-30,74.0,62.16276550292969,59.078407287597656,68.25564575195312
2020-03-31,88.0,71.23037719726562,62.68296813964844,82.5678482055664
2020-04-01,73.0,87.23534393310547,80.01830291748047,101.6461410522461
2020-04-02,173.0,91.85297393798828,82.0663833618164,104.03097534179688
2020-04-03,262.0,91.57051849365234,82.3861083984375,108.27095794677734
2020-04-04,119.0,77.36980438232422,68.14603424072266,95.01028442382812
2020-04-05,151.0,113.31945037841797,109.14788818359375,115.76980590820312
2020-04-06,187.0,111.42180633544922,108.93114471435547,114.4089126586914
2020-04-07,217.0,115.38839721679688,106.8339614868164,121.79319763183594
2020-04-08,159.0,130.4471893310547,122.21589660644531,137.48646545410156
2020-04-09,375.0,132.3843231201172,126.70689392089844,141.02659606933594
2020-04-10,244.0,129.338623046875,122.53677368164062,137.86012268066406
2020-04-11,270.0,137.12086486816406,128.7113494873047,152.95506286621094
2020-04-12,346.0,195.2344970703125,192.5255126953125,199.0721893310547
2020-04-13,171.0,192.5234832763672,189.75546264648438,195.5992889404297
2020-04-14,219.0,201.21897888183594,193.51817321777344,208.4857635498047
2020-04-15,122.0,214.175537109375,205.8351287841797,221.33580017089844
2020-04-16,270.0,224.2620391845703,216.82028198242188,234.94210815429688
2020-04-17,226.0,222.49156188964844,217.0732421875,230.53079223632812
2020-04-18,141.0,230.64990234375,223.03662109375,245.60780334472656
2020-04-19,176.0,271.8142395019531,269.9219055175781,273.6269836425781
2020-04-20,191.0,262.4923400878906,258.0310363769531,266.5017395019531
2020-04-21,238.0,261.40283203125,253.6998291015625,272.4925537109375
2020-04-22,276.0,278.0520935058594,267.7344970703125,292.99761962890625
2020-04-23,239.0,282.3244934082031,278.10235595703125,286.77911376953125
2020-04-24,194.0,278.8056335449219,274.2803649902344,286.41900634765625
2020-04-25,0.0,320.7846984863281,313.1857604980469,333.416259765625
2020-04-26,395.0,226.16600036621094,223.1077423095703,231.58302307128906
2020-04-27,118.0,222.73048400878906,219.22145080566406,225.3935089111328
2020-04-28,211.0,234.1839599609375,226.9705047607422,241.45376586914062
2020-04-29,162.0,249.07334899902344,240.7835235595703,258.7459716796875
2020-04-30,176.0,263.6910705566406,254.46261596679688,276.0798645019531
2020-05-01,206.0,265.8011474609375,258.80865478515625,277.754638671875
2020-05-02,317.0,267.6594543457031,258.9686279296875,283.6212158203125
2020-05-03,277.0,203.34686279296875,200.8738250732422,207.1612091064453
2020-05-04,224.0,201.0281524658203,197.8142852783203,204.3989715576172
2020-05-05,325.0,210.13453674316406,202.51132202148438,217.81712341308594
2020-05-06,254.0,222.161376953125,213.84133911132812,228.835205078125
2020-05-07,355.0,232.7711639404297,225.30364990234375,243.5225830078125
2020-05-08,339.0,230.2386932373047,225.0219268798828,237.2418212890625
2020-05-09,283.0,239.6689910888672,232.17799377441406,254.16458129882812
2020-05-10,221.0,270.5724182128906,265.970458984375,276.11114501953125
2020-05-11,275.0,271.8053283691406,264.07904052734375,277.60858154296875
2020-05-12,300.0,288.86993408203125,282.34124755859375,300.69158935546875
2020-05-13,236.0,296.6224365234375,288.8465270996094,305.395751953125
2020-05-14,401.0,317.1156921386719,306.2326965332031,331.3563232421875
2020-05-15,272.0,315.0579833984375,311.2305908203125,322.6827697753906
2020-05-16,301.0,316.9691467285156,310.00439453125,330.40069580078125
2020-05-17,97.0,304.5821838378906,301.9301452636719,308.44769287109375
2020-05-18,315.0,297.7919006347656,295.3178405761719,299.77996826171875
2020-05-19,290.0,304.1098937988281,297.20697021484375,310.4920959472656
2020-05-20,676.0,320.2095947265625,310.5440368652344,329.21734619140625
2020-05-21,236.0,332.7333984375,328.2483825683594,341.2360534667969
2020-05-22,382.0,332.7210693359375,328.9894104003906,335.0171203613281
2020-05-23,447.0,359.7675476074219,352.8856201171875,373.0755920410156
2020-05-24,361.0,333.3918762207031,323.8414306640625,343.8053283691406
2020-05-25,508.0,331.4129943847656,323.74371337890625,336.45233154296875
2020-05-26,664.0,354.5899963378906,349.37457275390625,364.0459289550781
2020-05-27,382.0,374.8994445800781,363.2984619140625,394.1756896972656
2020-05-28,498.0,406.221923828125,389.9356994628906,425.283203125
2020-05-29,501.0,420.8872985839844,398.50445556640625,446.3587341308594
2020-05-30,328.0,397.3379211425781,384.15081787109375,416.2841491699219
2020-05-31,593.0,449.885498046875,440.6038513183594,455.92718505859375
2020-06-01,678.0,462.701904296875,447.0233459472656,471.0383605957031
2020-06-02,136.0,497.16943359375,481.3946838378906,516.5199584960938
2020-06-03,85.0,497.4399719238281,490.5368347167969,507.456298828125
2020-06-04,221.0,539.5496215820312,521.6236572265625,561.4893798828125
2020-06-05,315.0,536.087890625,531.0747680664062,540.4912109375
2020-06-06,656.0,530.73291015625,524.7249755859375,540.0756225585938
2020-06-07,457.0,451.34130859375,447.8961486816406,453.38287353515625
2020-06-08,425.0,442.87060546875,429.9593505859375,452.5958557128906
2020-06-09,497.0,436.3243408203125,423.3803405761719,455.7320861816406
2020-06-10,567.0,452.4052429199219,428.93798828125,488.6243896484375
2020-06-11,856.0,456.9488220214844,450.6588439941406,464.38897705078125
2020-06-12,865.0,444.3237609863281,418.2510986328125,471.6004638671875
2020-06-13,891.0,535.5300903320312,529.720947265625,540.0397338867188
2020-06-14,1014.0,472.96044921875,462.89154052734375,479.86767578125
2020-06-15,657.0,484.614501953125,470.8182678222656,492.7081604003906
2020-06-16,640.0,516.8571166992188,504.88995361328125,531.9419555664062
2020-06-17,400.0,523.5746459960938,516.3857421875,533.9660034179688
2020-06-18,894.0,564.8251953125,548.0814208984375,585.3947143554688
2020-06-19,796.0,567.73974609375,559.1181030273438,575.7013549804688
2020-06-20,547.0,561.1671752929688,553.2321166992188,572.3591918945312
2020-06-21,472.0,860.71435546875,841.8056640625,872.8397216796875
2020-06-22,433.0,867.784423828125,821.7539672851562,901.7606811523438
2020-06-23,643.0,854.5526733398438,810.9616088867188,899.1464233398438
2020-06-24,967.0,913.7637329101562,862.9749145507812,983.032470703125
2020-06-25,1142.0,920.6806640625,909.9124755859375,939.5694580078125
2020-06-26,977.0,915.6266479492188,864.4420166015625,958.9507446289062
2020-06-27,900.0,1072.3658447265625,1066.5184326171875,1077.251953125
2020-06-28,358.0,710.93896484375,705.5262451171875,714.4756469726562
2020-06-29,1734.0,709.41796875,680.9412841796875,724.5258178710938
2020-06-30,870.0,719.0337524414062,695.8681030273438,743.42822265625
2020-07-01,917.0,777.3878784179688,764.173583984375,795.6778564453125
2020-07-02,1149.0,803.8141479492188,797.7959594726562,812.1241455078125
2020-07-03,1754.0,834.429931640625,824.06396484375,840.246826171875
2020-07-04,997.0,877.240966796875,866.1442260742188,889.626953125
2020-07-05,1091.0,1082.00732421875,1057.79638671875,1094.1632080078125
2020-07-06,925.0,1134.5902099609375,1086.791015625,1159.48388671875
