,California,forecast,interval_low,interval_high
2020-01-23,0.0,7.807141304016113,0.3575417995452881,37.08177185058594
2020-01-24,0.0,0.8457525372505188,-1.175058126449585,6.618365287780762
2020-01-25,0.0,-16.99184226989746,-50.321388244628906,0.11901411414146423
2020-01-26,2.0,2.1635375022888184,1.6269352436065674,3.3177919387817383
2020-01-27,0.0,-0.0965699702501297,-0.5045450925827026,0.13063126802444458
2020-01-28,0.0,-7.114865779876709,-35.29268264770508,0.19627609848976135
2020-01-29,0.0,52.717864990234375,0.006315648555755615,261.3917541503906
2020-01-30,0.0,-15.760597229003906,-76.04544830322266,0.13850396871566772
2020-01-31,1.0,6.483673095703125,0.8060092926025391,28.471817016601562
2020-02-01,0.0,-0.3389640748500824,-1.4878274202346802,0.02427077293395996
2020-02-02,0.0,1.003505825996399,-0.26910650730133057,4.845200538635254
2020-02-03,3.0,3.8884170055389404,2.6069042682647705,7.695918083190918
2020-02-04,0.0,-0.27359163761138916,-2.1884233951568604,0.6415358185768127
2020-02-05,0.0,10.272061347961426,0.11854615807533264,33.80397033691406
2020-02-06,0.0,-0.35612842440605164,-1.149728536605835,0.050904154777526855
2020-02-07,0.0,-0.15844133496284485,-0.5981253385543823,0.24552416801452637
2020-02-08,0.0,-3.1380393505096436,-17.417091369628906,1.2528060674667358
2020-02-09,0.0,0.5644545555114746,-0.22636759281158447,2.50538969039917
2020-02-10,0.0,0.10946270078420639,-0.46352702379226685,0.5996628403663635
2020-02-11,1.0,1.5253479480743408,0.7999889850616455,3.7027645111083984
2020-02-12,0.0,-2.424626588821411,-6.208253383636475,-0.3907385468482971
2020-02-13,1.0,0.8102983236312866,0.21377405524253845,1.109179973602295
2020-02-14,0.0,0.9002541303634644,0.5405722856521606,1.5648632049560547
2020-02-15,0.0,-0.050185929983854294,-0.9200770854949951,0.9283989667892456
2020-02-16,0.0,-0.4442245364189148,-1.1446484327316284,0.1432277262210846
2020-02-17,0.0,-0.24429507553577423,-1.073269248008728,0.4299578368663788
2020-02-18,0.0,-4.258028030395508,-20.447797775268555,0.2658681273460388
2020-02-19,0.0,-3.5513343811035156,-16.10499382019043,0.2614445090293884
2020-02-20,0.0,0.730627715587616,-0.3863018751144409,1.6443445682525635
2020-02-21,2.0,-6.47955322265625,-37.899871826171875,2.076741933822632
2020-02-22,0.0,0.16818825900554657,-0.5097825527191162,1.3281173706054688
2020-02-23,0.0,2.684971332550049,0.11960652470588684,8.877583503723145
2020-02-24,0.0,-1.7014672756195068,-11.707193374633789,0.9571582078933716
2020-02-25,0.0,-0.5062912702560425,-1.4476691484451294,0.08757048845291138
2020-02-26,0.0,0.6228965520858765,0.015043586492538452,1.3433622121810913
2020-02-27,1.0,1.1847505569458008,-9.282546043395996,13.446063041687012
2020-02-28,0.0,-0.6450756192207336,-2.3691840171813965,0.790890097618103
2020-02-29,1.0,25.57442855834961,0.4835628569126129,124.2497787475586
2020-03-01,0.0,0.0036345242988318205,-0.21946394443511963,0.2874905467033386
2020-03-02,9.0,8.79596996307373,8.03042984008789,9.218770980834961
2020-03-03,4.0,4.332024574279785,3.4820914268493652,5.123599052429199
2020-03-04,10.0,1.2928478717803955,-11.545427322387695,9.979585647583008
2020-03-05,16.0,16.936321258544922,15.996625900268555,18.195783615112305
2020-03-06,8.0,8.289406776428223,7.895139217376709,8.941570281982422
2020-03-07,22.0,18.61127281188965,7.9576215744018555,21.564428329467773
2020-03-08,14.0,13.808713912963867,12.83540153503418,14.414173126220703
2020-03-09,6.0,6.6966729164123535,5.789448261260986,8.152965545654297
2020-03-10,43.0,42.24044418334961,41.43730163574219,42.78518295288086
2020-03-11,34.0,35.206199645996094,33.90523147583008,36.59514236450195
2020-03-12,43.0,42.7208366394043,41.87480163574219,43.15890884399414
2020-03-13,60.0,59.937255859375,59.42668533325195,60.6448860168457
2020-03-14,91.0,75.53572082519531,18.039037704467773,90.60265350341797
2020-03-15,1.0,2.2574543952941895,1.560692548751831,2.729055881500244
2020-03-16,184.0,163.7698516845703,135.7698211669922,183.10867309570312
2020-03-17,143.0,142.92733764648438,141.2552947998047,144.25550842285156
2020-03-18,131.0,131.28518676757812,129.03173828125,133.2363739013672
2020-03-19,178.0,197.40237426757812,111.97874450683594,251.95249938964844
2020-03-20,234.0,238.15170288085938,233.85877990722656,254.0088653564453
2020-03-21,169.0,206.35043334960938,168.7288055419922,237.61009216308594
2020-03-22,239.0,238.3353271484375,237.1959228515625,238.94400024414062
2020-03-23,462.0,456.5531311035156,432.9695129394531,463.58203125
2020-03-24,429.0,429.3458557128906,428.4250793457031,429.9427185058594
2020-03-25,467.0,533.3738403320312,466.61932373046875,799.002197265625
2020-03-26,901.0,874.5364990234375,773.3319091796875,900.1902465820312
2020-03-27,769.0,739.531494140625,621.2171630859375,769.4462890625
2020-03-28,431.0,497.8606872558594,431.50726318359375,760.568115234375
2020-03-29,753.0,758.2423095703125,752.61474609375,780.2149047851562
2020-03-30,1292.0,1123.0882568359375,709.1115112304688,1291.9410400390625
2020-03-31,1078.0,1064.8416748046875,707.0969848632812,1382.7440185546875
2020-04-01,1177.0,1272.7835693359375,1177.48974609375,1471.0718994140625
2020-04-02,1380.0,1346.2169189453125,1216.049072265625,1379.37451171875
2020-04-03,1226.0,1225.4639892578125,1223.000732421875,1226.3785400390625
2020-04-04,821.0,821.7923583984375,820.8812866210938,823.8550415039062
2020-04-05,2197.0,1465.8468017578125,848.63037109375,2197.038330078125
2020-04-06,990.0,1058.869873046875,990.0541381835938,1331.2598876953125
