,Maine,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,9.09410485128222,,
2020-01-25,0.0,9.132315987004665,,
2020-01-26,0.0,9.156168414389194,,
2020-01-27,0.0,9.198535736940142,,
2020-01-28,0.0,9.227250090521155,,
2020-01-29,0.0,9.280197296285948,,
2020-01-30,0.0,9.324931346051015,,
2020-01-31,0.0,9.32639963535166,,
2020-02-01,0.0,9.287749068921073,,
2020-02-02,0.0,9.247746761604832,,
2020-02-03,0.0,9.231025905788027,,
2020-02-04,0.0,9.238767019634938,,
2020-02-05,0.0,9.260957910716387,,
2020-02-06,0.0,9.282109831634514,,
2020-02-07,0.0,9.287439175631722,,
2020-02-08,0.0,9.274717803491482,,
2020-02-09,0.0,9.256300584688,,
2020-02-10,0.0,9.24550859860185,,
2020-02-11,0.0,9.246969478679098,,
2020-02-12,0.0,9.257257013427948,,
2020-02-13,0.0,9.268539073646085,,
2020-02-14,0.0,9.273098285149956,,
2020-02-15,0.0,9.268621043635543,,
2020-02-16,0.0,9.259688230842388,,
2020-02-17,0.0,9.253087173266765,,
2020-02-18,0.0,9.252517642736525,,
2020-02-19,0.0,9.257173092929127,,
2020-02-20,0.0,9.263213720372319,,
2020-02-21,0.0,9.266442062757644,,
2020-02-22,0.0,9.265082296502932,,
2020-02-23,0.0,9.260796841150873,,
2020-02-24,0.0,9.256954242769504,,
2020-02-25,0.0,9.25596019901976,,
2020-02-26,0.0,9.257929862781932,,
2020-02-27,0.0,9.261087654439883,,
2020-02-28,0.0,9.26317063618589,,
2020-02-29,0.0,9.262958749562122,,
2020-03-01,0.0,9.260967742683007,,
2020-03-02,0.0,9.258823154164832,,
2020-03-03,0.0,9.257954547365783,,
2020-03-04,0.0,9.258699446601828,,
2020-03-05,0.0,9.26029749309624,,
2020-03-06,0.0,9.261560351054605,,
2020-03-07,0.0,9.261707548889358,,
2020-03-08,0.0,9.260825582882486,,
2020-03-09,0.0,9.259671909912651,,
2020-03-10,0.0,9.259050777573352,,
2020-03-11,0.0,9.259275408003404,,
2020-03-12,1.0,9.260054554649798,,
2020-03-13,2.0,8.576540902950502,,
2020-03-14,0.0,8.088975467406643,,
2020-03-15,-1.0,9.725528313102972,,
2020-03-16,15.0,10.306917270551724,,
2020-03-17,9.0,-0.7165466619261238,,
2020-03-18,9.0,6.207400870322324,,
2020-03-19,17.0,6.128629301153161,,
2020-03-20,4.0,3.5541027694741087,,
2020-03-21,14.0,13.034004073780498,,
2020-03-22,19.0,5.781558394375006,,
2020-03-23,18.0,6.213398154660218,,
2020-03-24,11.0,6.085654082261764,,
2020-03-25,24.0,12.778701782509412,,
2020-03-26,13.0,2.1187608579243937,,
2020-03-27,13.0,11.254830279952387,,
2020-03-28,43.0,9.7767090807574,,
2020-03-29,42.0,-7.421674356222233,,
2020-03-30,22.0,-2.787258437240995,,
2020-03-31,28.0,12.906491320528513,,
2020-04-01,0.0,10.120559402862447,,
2020-04-02,73.0,28.70280960015483,,
2020-04-03,56.0,-27.336297377921106,,
2020-04-04,24.0,0.9435246902597143,,
2020-04-05,14.0,17.989936873682396,,
2020-04-06,29.0,29.23680368348223,,
2020-04-07,20.0,7.838058545195058,,
2020-04-08,18.0,14.155183701256725,,
2020-04-09,23.0,18.15152010789548,,
2020-04-10,26.0,16.21639202010956,,
2020-04-11,30.0,7.444499850094443,,
2020-04-12,17.0,0.10998558966235805,,
2020-04-13,65.0,8.907990919399005,,
2020-04-14,37.0,-23.808507747239375,,
2020-04-15,35.0,9.137758340176068,,
2020-04-16,26.0,9.789998226947832,,
2020-04-17,31.0,24.997548203605948,,
2020-04-18,20.0,12.35227307610587,,
2020-04-19,20.0,20.26252046414449,,
2020-04-20,8.0,15.634764029850416,,
2020-04-21,13.0,22.152540119578735,,
2020-04-22,19.0,11.824231525826825,,
2020-04-23,30.0,6.88209262035336,,
2020-04-24,28.0,-1.983883759129375,,
2020-04-25,0.0,3.009532387837652,,
2020-04-26,50.0,23.255507723579434,,
2020-04-27,8.0,-14.18406814724289,,
2020-04-28,17.0,23.469744661366967,,
2020-04-29,16.0,9.15183271340345,,
2020-04-30,39.0,19.842139661540656,,
2020-05-01,28.0,-6.421671759106255,,
2020-05-02,30.0,7.340452551047877,,
2020-05-03,32.0,3.4597226193639745,,
2020-05-04,20.0,5.475470933085266,,
2020-05-05,21.0,12.825350357606823,,
2020-05-06,28.0,13.979284346237371,,
2020-05-07,76.0,11.546446799525519,,
2020-05-08,44.0,-22.18371509283811,,
2020-05-09,34.0,7.666676305080406,,
2020-05-10,28.0,9.434829698317582,,
2020-05-11,26.0,17.581243622557192,,
2020-05-12,15.0,13.42929820613923,,
2020-05-13,38.0,26.217806187718246,,
2020-05-14,50.0,10.649035492408558,,
2020-05-15,38.0,2.1903503997463405,,
2020-05-16,45.0,4.118889509038048,,
2020-05-17,39.0,-4.133229031042358,,
2020-05-18,26.0,1.6077683071774462,,
2020-05-19,28.0,13.721379369826463,,
2020-05-20,78.0,20.23240627220561,,
2020-05-21,58.0,-10.963286525308924,,
2020-05-22,71.0,8.110655756541508,,
2020-05-23,65.0,-7.866900863677429,,
2020-05-24,42.0,0.3114589217319974,,
2020-05-25,19.0,10.531589953209803,,
2020-05-26,35.0,32.949305591690624,,
2020-05-27,28.0,24.523470283056916,,
2020-05-28,52.0,31.01667439840848,,
2020-05-29,37.0,5.612308052701881,,
2020-05-30,56.0,11.876924692528142,,
2020-05-31,43.0,-15.686461877240461,,
2020-06-01,24.0,-2.020876811585092,,
2020-06-02,28.0,13.184529546793847,,
2020-06-03,41.0,21.66153272288052,,
2020-06-04,28.0,17.203285201318245,,
2020-06-05,36.0,25.23960639175253,,
2020-06-06,42.0,11.061056577856606,,
2020-06-07,46.0,-0.6752600461572573,,
2020-06-08,18.0,-9.992113445202893,,
2020-06-09,18.0,15.393239831765023,,
2020-06-10,31.0,19.173719106031932,,
2020-06-11,30.0,16.39049709537795,,
2020-06-12,54.0,16.317890207024078,,
2020-06-13,36.0,-3.060483848513938,,
2020-06-14,36.0,7.747425157005544,,
2020-06-15,17.0,-1.1648123021944095,,
2020-06-16,9.0,16.21584853501109,,
2020-06-17,17.0,21.27264591601906,,
2020-06-18,42.0,22.17108297704886,,
2020-06-19,35.0,5.3160459693300695,,
2020-06-20,25.0,9.226467945413745,,
2020-06-21,19.0,8.041170153021174,,
2020-06-22,14.0,6.718088741247343,,
2020-06-23,25.0,7.119452383932199,,
2020-06-24,21.0,5.221099131205539,,
2020-06-25,53.0,17.894870587400824,,
2020-06-26,32.0,-2.7769776522052805,,
2020-06-27,52.0,14.132973068669802,,
2020-06-28,37.0,-10.958583191051254,,
2020-06-29,28.0,4.100973114533559,,
2020-06-30,34.0,7.1254219173620665,,
2020-07-01,41.0,13.54576625651462,,
2020-07-02,34.0,13.293683701355565,,
2020-07-03,45.0,19.958769962951408,,
2020-07-04,24.0,7.546132006187111,,
2020-07-05,18.0,16.693193581571194,,
2020-07-06,8.0,11.308906133143575,,
2020-07-07,17.0,19.68245102052149,,
2020-07-08,20.0,12.437950239668943,,
2020-07-09,26.0,15.477374064502598,,
2020-07-10,13.0,9.782626731711076,,
2020-07-11,21.0,15.878586552469717,,
2020-07-12,19.0,1.8253569386483495,,
2020-07-13,19.0,2.7998162805316253,,
2020-07-14,8.0,3.8265275941562287,,
2020-07-15,12.0,19.12641490749413,,
2020-07-16,20.0,17.260504787000674,,
2020-07-17,38.0,11.299967598262013,,
2020-07-18,9.0,-5.176339769787509,,
2020-07-19,,15.300564477847939,-7.714415686028271,38.315544641724145
2020-07-20,,11.803024046696388,-12.331923748673317,35.93797184206609
2020-07-21,,14.782194289110453,-10.296897450378712,39.86128602859962
2020-07-22,,14.169476738471067,-11.450443055322827,39.78939653226496
2020-07-23,,20.899741947114247,-6.109279904374969,47.90876379860346
2020-07-24,,22.18668708959257,-5.685063690482753,50.0584378696679
2020-07-25,,20.356161556285766,-9.002656795373412,49.714979907944944
