,Louisiana,forecast,interval_low,interval_high
2020-03-04,0.0,126.97421482631138,74.0577163696289,187.7504425048828
2020-03-05,0.0,126.97421482631138,74.0577163696289,187.7504425048828
2020-03-06,0.0,126.97421046665737,74.0577163696289,187.7504425048828
2020-03-07,0.0,126.97421046665737,74.0577163696289,187.7504425048828
2020-03-08,0.0,126.97421046665737,74.0577163696289,187.7504425048828
2020-03-09,0.0,126.97421046665737,74.0577163696289,187.7504425048828
2020-03-10,0.0,126.97421046665737,74.0577163696289,187.7504425048828
2020-03-11,5.0,126.97421046665737,74.0577163696289,187.7504425048828
2020-03-12,14.0,127.07188742501395,74.741455078125,187.7504425048828
2020-03-13,10.0,127.41363961356026,76.73950958251953,187.7504425048828
2020-03-14,48.0,127.92767007010323,78.34355163574219,187.7504425048828
2020-03-15,10.0,129.46868133544922,85.03404235839844,187.7504425048828
2020-03-16,28.0,130.9827150617327,86.97391510009766,187.7504425048828
2020-03-17,81.0,133.45741598946708,90.55271911621094,187.7504425048828
2020-03-18,61.0,137.1599829537528,99.98406219482422,188.37120056152344
2020-03-19,135.0,141.58922140938895,107.66358947753906,190.15277099609375
2020-03-20,145.0,148.28792572021484,115.61417388916016,191.51788330078125
2020-03-21,226.0,157.01559012276786,128.54946899414062,197.54344177246094
2020-03-22,74.0,168.8652125767299,145.7450408935547,199.04931640625
2020-03-23,335.0,180.85440717424666,167.51072692871094,202.33456420898438
2020-03-24,216.0,199.72349766322546,184.535400390625,218.2265167236328
2020-03-25,407.0,217.19127546037947,205.422119140625,237.85594177246094
2020-03-26,509.0,241.9490029471261,221.2964324951172,282.53143310546875
2020-03-27,440.0,269.6342010498047,237.60134887695312,336.3078918457031
2020-03-28,571.0,301.9334150041853,267.652587890625,379.72216796875
2020-03-29,225.0,337.9749843052455,281.6738586425781,431.6359558105469
2020-03-30,485.0,374.05098615373885,317.8426208496094,442.57958984375
2020-03-31,1212.0,410.5814296177455,335.043701171875,459.425537109375
