,Michigan,forecast,interval_low,interval_high
2020-03-06,0.0,6.3158135414123535,5.90816068649292,6.813898086547852
2020-03-07,0.0,8.261919975280762,7.847996711730957,8.848979949951172
2020-03-08,0.0,7.875447750091553,7.446404933929443,8.1824369430542
2020-03-09,0.0,3.5418148040771484,3.032028913497925,4.145392417907715
2020-03-10,0.0,3.6732473373413086,2.8262155055999756,4.770969867706299
2020-03-11,0.0,4.423503398895264,4.05320405960083,5.067859649658203
2020-03-12,1.0,5.531162261962891,4.964039325714111,5.931339740753174
2020-03-13,0.0,6.3158135414123535,5.90816068649292,6.813898086547852
2020-03-14,0.0,8.261919975280762,7.847996711730957,8.848979949951172
2020-03-15,0.0,7.875447750091553,7.446404933929443,8.1824369430542
2020-03-16,0.0,3.5418148040771484,3.032028913497925,4.145392417907715
2020-03-17,0.0,3.6732473373413086,2.8262155055999756,4.770969867706299
2020-03-18,1.0,4.423503398895264,4.05320405960083,5.067859649658203
2020-03-19,0.0,5.531162261962891,4.964039325714111,5.931339740753174
2020-03-20,1.0,6.3158135414123535,5.90816068649292,6.813898086547852
2020-03-21,3.0,8.261919975280762,7.847996711730957,8.848979949951172
2020-03-22,6.0,7.875447750091553,7.446404933929443,8.1824369430542
2020-03-23,6.0,3.7003543376922607,3.2152016162872314,4.294612884521484
2020-03-24,13.0,3.8233110904693604,2.9883346557617188,4.89349889755249
2020-03-25,20.0,4.596071243286133,4.167318344116211,5.266305923461914
2020-03-26,20.0,5.670815944671631,5.147986888885498,6.0683369636535645
2020-03-27,36.0,6.466705322265625,6.086663722991943,6.952669143676758
2020-03-28,23.0,8.40308666229248,7.984302520751953,9.004216194152832
2020-03-29,27.0,8.044590950012207,7.632980823516846,8.351877212524414
2020-03-30,56.0,8.653765678405762,8.534229278564453,8.83473014831543
2020-03-31,79.0,9.32934284210205,8.066933631896973,11.654731750488281
2020-04-01,78.0,11.506274223327637,10.351611137390137,12.1073579788208
2020-04-02,83.0,11.52735424041748,11.102981567382812,11.957108497619629
2020-04-03,65.0,13.550663948059082,12.416671752929688,15.564133644104004
2020-04-04,67.0,15.226834297180176,12.472540855407715,18.306446075439453
2020-04-05,90.0,14.762863159179688,13.115738868713379,16.95936393737793
2020-04-06,118.0,41.307430267333984,40.09495162963867,42.407569885253906
2020-04-07,124.0,42.91896438598633,38.85287857055664,49.394004821777344
2020-04-08,120.0,49.3277702331543,44.09137725830078,55.159202575683594
2020-04-09,127.0,45.22218704223633,41.453006744384766,48.94112014770508
2020-04-10,207.0,51.53499221801758,44.41136169433594,61.17335510253906
2020-04-11,116.0,52.045284271240234,41.41783142089844,65.68901062011719
2020-04-12,105.0,49.1213493347168,41.939857482910156,60.55854797363281
2020-04-13,132.0,90.58624267578125,88.65812683105469,91.55435180664062
2020-04-14,175.0,90.38863372802734,85.96351623535156,98.26922607421875
2020-04-15,157.0,97.57646942138672,89.14300537109375,108.4224853515625
2020-04-16,80.0,90.27799224853516,84.47506713867188,98.365234375
2020-04-17,239.0,97.9692611694336,87.42622375488281,110.37761688232422
2020-04-18,85.0,97.0445556640625,83.6478042602539,113.03431701660156
2020-04-19,91.0,89.2447738647461,80.9539794921875,103.97943878173828
2020-04-20,86.0,141.35179138183594,139.97210693359375,142.04978942871094
2020-04-21,109.0,135.7007598876953,134.712890625,136.315673828125
2020-04-22,241.0,138.49578857421875,134.10507202148438,143.11807250976562
2020-04-23,170.0,128.6719970703125,126.72576904296875,131.5266876220703
2020-04-24,110.0,132.8218231201172,126.70785522460938,138.57305908203125
2020-04-25,72.0,130.51222229003906,125.7926254272461,136.07025146484375
2020-04-26,166.0,121.13656616210938,117.7225570678711,126.82686614990234
2020-04-27,93.0,120.14594268798828,118.12110137939453,122.06932830810547
2020-04-28,168.0,117.16079711914062,117.02999114990234,117.22848510742188
2020-04-29,103.0,122.46051025390625,119.65474700927734,124.04097747802734
2020-04-30,122.0,111.8236083984375,109.2767333984375,114.23613739013672
2020-05-01,78.0,118.5892105102539,110.05949401855469,123.2791976928711
2020-05-02,155.0,116.67244720458984,109.50410461425781,120.80826568603516
2020-05-03,34.0,112.01030731201172,106.66963958740234,121.90435028076172
2020-05-04,87.0,123.86553955078125,122.75850677490234,124.61026000976562
2020-05-05,46.0,118.23480224609375,116.03804016113281,119.54765319824219
2020-05-06,74.0,120.4267807006836,116.04583740234375,125.90316009521484
2020-05-07,91.0,112.49520111083984,110.12584686279297,117.03573608398438
2020-05-08,58.0,115.83682250976562,111.04150390625,119.91544342041016
2020-05-09,143.0,114.0985336303711,109.9500732421875,118.37684631347656
2020-05-10,26.0,104.74283599853516,101.55281066894531,109.70733642578125
2020-05-11,29.0,83.75818634033203,82.86680603027344,84.39602661132812
2020-05-12,92.0,77.3308334350586,74.62376403808594,81.52291870117188
2020-05-13,41.0,75.68414306640625,75.26362609863281,76.08549499511719
2020-05-14,74.0,71.30504608154297,69.4495849609375,72.9983139038086
2020-05-15,39.0,71.64102935791016,66.53498840332031,76.21319580078125
2020-05-16,56.0,70.8039779663086,61.71720504760742,76.62628936767578
2020-05-17,10.0,66.00237274169922,64.73245239257812,68.33040618896484
2020-05-18,24.0,67.32709503173828,66.61235046386719,68.02867126464844
2020-05-19,102.0,62.80690383911133,59.90697479248047,65.4481430053711
2020-05-20,46.0,62.47012710571289,61.68023681640625,63.78777313232422
2020-05-21,70.0,59.19899368286133,56.96770477294922,62.17913818359375
2020-05-22,29.0,60.34576416015625,58.409820556640625,62.802127838134766
2020-05-23,65.0,60.14229965209961,55.886104583740234,63.65776443481445
2020-05-24,6.0,55.55094528198242,54.05094909667969,56.379119873046875
2020-05-25,13.0,45.662235260009766,44.76430892944336,47.068389892578125
2020-05-26,27.0,44.47409439086914,42.52595901489258,46.42295837402344
2020-05-27,68.0,47.41429138183594,45.6578369140625,48.96540069580078
2020-05-28,38.0,44.32452392578125,42.695098876953125,46.25624084472656
2020-05-29,34.0,47.73385238647461,44.75835037231445,50.36471176147461
2020-05-30,58.0,48.2410888671875,44.189353942871094,51.72412872314453
2020-05-31,27.0,45.46733093261719,42.80024337768555,50.30243682861328
2020-06-01,27.0,34.92697525024414,34.12339782714844,36.1466178894043
2020-06-02,37.0,33.193023681640625,31.906375885009766,34.67529296875
2020-06-03,18.0,34.69099807739258,32.7502326965332,35.88475799560547
2020-06-04,26.0,32.52934265136719,32.096370697021484,33.1944694519043
2020-06-05,70.0,34.40250015258789,33.46138381958008,35.97700881958008
2020-06-06,7.0,35.09170150756836,33.747013092041016,37.08445739746094
2020-06-07,11.0,34.399658203125,33.551841735839844,36.00883865356445
2020-06-08,15.0,34.932701110839844,34.66771697998047,35.080928802490234
2020-06-09,9.0,33.2926139831543,30.573965072631836,35.4675178527832
2020-06-10,1.0,33.87467575073242,32.15142059326172,36.398704528808594
2020-06-11,33.0,32.86635208129883,30.567594528198242,36.182308197021484
2020-06-12,5.0,34.49345779418945,33.487308502197266,35.684059143066406
2020-06-13,23.0,35.40631103515625,34.173709869384766,36.21609115600586
2020-06-14,3.0,32.260562896728516,30.734081268310547,34.12470245361328
2020-06-15,2.0,21.356048583984375,20.963712692260742,21.756643295288086
2020-06-16,16.0,19.28803825378418,17.563936233520508,21.48106575012207
2020-06-17,2.0,18.18727684020996,17.360471725463867,18.83370018005371
2020-06-18,25.0,18.69693946838379,16.952747344970703,19.860185623168945
2020-06-19,6.0,18.560794830322266,15.937505722045898,20.241596221923828
2020-06-20,20.0,20.000614166259766,15.212189674377441,22.408960342407227
2020-06-21,3.0,18.350309371948242,16.10431480407715,20.39358139038086
2020-06-22,7.0,13.581676483154297,13.145190238952637,14.068537712097168
2020-06-23,12.0,12.697135925292969,11.433345794677734,13.630806922912598
2020-06-24,5.0,12.803803443908691,12.176435470581055,13.283568382263184
2020-06-25,19.0,13.387608528137207,12.402687072753906,13.994876861572266
2020-06-26,1.0,13.961119651794434,12.88867473602295,14.783499717712402
2020-06-27,19.0,15.625418663024902,13.643210411071777,16.995738983154297
2020-06-28,4.0,14.603103637695312,13.706122398376465,15.382882118225098
2020-06-29,4.0,12.923907279968262,12.608505249023438,13.343907356262207
2020-06-30,32.0,12.316466331481934,11.006415367126465,13.119482040405273
2020-07-01,5.0,12.753466606140137,12.548768997192383,13.154594421386719
2020-07-02,14.0,13.266490936279297,12.319170951843262,14.028803825378418
2020-07-03,3.0,14.101649284362793,13.69637680053711,14.535595893859863
2020-07-04,3.0,15.763282775878906,14.77843952178955,16.770296096801758
2020-07-05,0.0,14.736618995666504,14.445845603942871,15.089767456054688
2020-07-06,3.0,13.582717895507812,13.318549156188965,13.876502990722656
2020-07-07,30.0,13.544418334960938,12.149408340454102,15.334488868713379
2020-07-08,11.0,14.883705139160156,13.854008674621582,15.637377738952637
2020-07-09,9.0,15.010289192199707,14.22021198272705,16.075040817260742
2020-07-10,14.0,16.617507934570312,16.02993392944336,17.747976303100586
2020-07-11,28.0,18.2410888671875,16.56475067138672,19.678607940673828
2020-07-12,1.0,17.026674270629883,16.26618003845215,18.326663970947266
2020-07-13,7.0,10.304842948913574,9.963430404663086,10.609457015991211
2020-07-14,5.0,10.644705772399902,9.628070831298828,12.39342212677002
2020-07-15,4.0,12.486178398132324,11.653572082519531,13.167264938354492
2020-07-16,18.0,12.53653335571289,12.329739570617676,12.838297843933105
2020-07-17,7.0,14.34475040435791,13.622601509094238,15.625165939331055
2020-07-18,9.0,16.02644920349121,13.899733543395996,18.057886123657227
2020-07-19,2.0,15.405689239501953,14.214521408081055,16.984760284423828
2020-07-20,,12.372164726257324,12.054203033447266,12.730158805847168
2020-07-21,,11.80677318572998,10.30596923828125,12.973579406738281
2020-07-22,,12.116118431091309,11.64376163482666,12.447627067565918
2020-07-23,,12.789814949035645,11.50793170928955,14.001581192016602
2020-07-24,,13.561989784240723,13.30136775970459,13.9419584274292
2020-07-25,,15.228169441223145,14.446634292602539,16.063684463500977
2020-07-26,,14.046921730041504,13.812081336975098,14.441716194152832
