,Kansas,forecast,interval_low,interval_high
2020-01-23,0.0,-0.2684134244918823,-1.0320416688919067,-0.003344297409057617
2020-01-24,0.0,0.05321001261472702,-7.957220077514648e-05,0.21375831961631775
2020-01-25,0.0,0.009203356690704823,-0.0019293427467346191,0.03760501742362976
2020-01-26,0.0,-0.0013255536323413253,-0.004323005676269531,0.001040726900100708
2020-01-27,0.0,-0.024669747799634933,-0.12879198789596558,0.004051119089126587
2020-01-28,0.0,-0.0029394507873803377,-0.0065187811851501465,-0.0019047260284423828
2020-01-29,0.0,0.2086831033229828,-0.0010897517204284668,1.0362708568572998
2020-01-30,0.0,-0.12406718730926514,-0.31565743684768677,-0.0009233355522155762
2020-01-31,0.0,-0.05375564843416214,-0.14791744947433472,0.00026723742485046387
2020-02-01,0.0,-0.0018920957809314132,-0.005680441856384277,0.0006690025329589844
2020-02-02,0.0,-0.06129481643438339,-0.30679214000701904,0.0034898221492767334
2020-02-03,0.0,0.001174670411273837,-0.0006884932518005371,0.0027580559253692627
2020-02-04,0.0,0.002753734588623047,-7.849931716918945e-05,0.006113827228546143
2020-02-05,0.0,0.0008332610013894737,-0.0013012290000915527,0.0037103593349456787
2020-02-06,0.0,-0.006580471992492676,-0.016178548336029053,-0.0008861422538757324
2020-02-07,0.0,0.003474456025287509,-0.010570645332336426,0.025582611560821533
2020-02-08,0.0,0.0018663883674889803,-0.0010393857955932617,0.006313741207122803
2020-02-09,0.0,0.002891880227252841,-0.00037419795989990234,0.009709805250167847
2020-02-10,0.0,0.0037455677520483732,-0.019207894802093506,0.04893219470977783
2020-02-11,0.0,0.02793034352362156,-0.0012497305870056152,0.10566112399101257
2020-02-12,0.0,-0.013267070055007935,-0.052708566188812256,0.0009230673313140869
2020-02-13,0.0,0.006780183408409357,0.0002009868621826172,0.015882641077041626
2020-02-14,0.0,-0.0034368098713457584,-0.009353101253509521,0.0005874335765838623
2020-02-15,0.0,-0.008873587474226952,-0.07408297061920166,0.03281161189079285
2020-02-16,0.0,0.001664191484451294,-0.04323822259902954,0.04132437705993652
2020-02-17,0.0,-0.002667719032615423,-0.010345280170440674,0.0006648004055023193
2020-02-18,0.0,-0.03434082120656967,-0.10708069801330566,-0.0028250813484191895
2020-02-19,0.0,-0.015746349468827248,-0.055662691593170166,0.0008154213428497314
2020-02-20,0.0,0.002821963978931308,-0.001298367977142334,0.010713368654251099
2020-02-21,0.0,0.03692852333188057,0.00032061338424682617,0.1599579155445099
2020-02-22,0.0,-0.005179369356483221,-0.01389002799987793,0.004262030124664307
2020-02-23,0.0,-0.1303129643201828,-0.6286183595657349,0.018359512090682983
2020-02-24,0.0,0.0029254616238176823,-0.04904377460479736,0.07023736834526062
2020-02-25,0.0,0.0035646557807922363,-0.0007693171501159668,0.007845252752304077
2020-02-26,0.0,0.0021077573765069246,-0.0030317306518554688,0.00463336706161499
2020-02-27,0.0,-0.0005348980193957686,-0.00522226095199585,0.0030173659324645996
2020-02-28,0.0,-0.010064184665679932,-0.04548442363739014,0.001095414161682129
2020-02-29,0.0,0.0010820210445672274,0.00029650330543518066,0.00181540846824646
2020-03-01,0.0,-0.0006365776062011719,-0.002016007900238037,0.0005902647972106934
2020-03-02,0.0,-0.0017709791427478194,-0.0044269561767578125,0.0015652477741241455
2020-03-03,0.0,0.003690666053444147,-0.0004920363426208496,0.006689399480819702
2020-03-04,0.0,-0.0013052761787548661,-0.007649660110473633,0.00523260235786438
2020-03-05,0.0,-0.0010076999897137284,-0.004259765148162842,0.0013660192489624023
2020-03-06,0.0,0.023725051432847977,-0.0005079507827758789,0.1013408899307251
2020-03-07,0.0,0.016530418768525124,-0.06414538621902466,0.1589999794960022
2020-03-08,0.0,-0.0037904977798461914,-0.006332218647003174,-0.0022992491722106934
2020-03-09,0.0,0.0016182779800146818,-0.0031131505966186523,0.004448264837265015
2020-03-10,0.0,0.00593721866607666,-0.009743273258209229,0.03832563757896423
2020-03-11,0.0,0.009039575234055519,-0.00010091066360473633,0.022780567407608032
2020-03-12,0.0,-0.002356118056923151,-0.008702218532562256,0.0028799474239349365
2020-03-13,1.0,0.9830218553543091,0.9705144762992859,0.9962409734725952
2020-03-14,0.0,0.012975978665053844,0.0009519755840301514,0.030318617820739746
2020-03-15,0.0,-0.0067154704593122005,-0.02620619535446167,0.00394594669342041
2020-03-16,0.0,-0.00040134190930984914,-0.008330464363098145,0.00685572624206543
2020-03-17,0.0,-0.08071418851613998,-0.25607430934906006,-0.003899872303009033
2020-03-18,0.0,-0.0027067125774919987,-0.01810479164123535,0.012976109981536865
2020-03-19,0.0,0.002318477723747492,-0.01206427812576294,0.008305162191390991
2020-03-20,0.0,0.24649207293987274,0.002241760492324829,1.2002931833267212
2020-03-21,1.0,0.9933950304985046,0.9870076179504395,0.9992736577987671
2020-03-22,0.0,0.615227222442627,0.004104405641555786,1.3025639057159424
2020-03-23,0.0,0.14690148830413818,-0.04862344264984131,0.7677873969078064
2020-03-24,0.0,0.6619507074356079,0.0034390687942504883,1.2307589054107666
2020-03-25,1.0,0.9863882064819336,0.9799486398696899,0.9956091046333313
2020-03-26,0.0,0.40286606550216675,0.007480233907699585,0.9865741729736328
2020-03-27,1.0,0.8107885122299194,0.06185460090637207,1.0093104839324951
2020-03-28,0.0,0.5734609365463257,0.003112614154815674,2.8512606620788574
2020-03-29,3.0,2.998358964920044,2.994725227355957,3.000051498413086
2020-03-30,1.0,0.871984601020813,0.36308562755584717,1.0010766983032227
2020-03-31,1.0,0.8313900232315063,0.1308051347732544,1.1307215690612793
