,Virginia,forecast,interval_low,interval_high
2020-03-10,8.0,465.4366760253906,147.01397705078125,828.2247924804688
2020-03-11,9.0,393.0662841796875,66.52564239501953,832.0755004882812
2020-03-12,12.0,526.1587524414062,162.9602813720703,1003.4987182617188
2020-03-13,27.0,675.1277465820312,242.3939208984375,1201.4964599609375
2020-03-14,37.0,687.443115234375,273.4463806152344,1262.55517578125
2020-03-15,37.0,171.2578887939453,0.0,437.7262878417969
2020-03-16,49.0,153.4084930419922,0.0,522.4278564453125
2020-03-17,67.0,466.1211242675781,147.8182830810547,828.8074340820312
2020-03-18,79.0,394.9073791503906,68.52760314941406,833.7139892578125
2020-03-19,103.0,527.7651977539062,164.75767517089844,1004.888671875
2020-03-20,123.0,676.8058471679688,244.30868530273438,1202.93798828125
2020-03-21,157.0,688.57177734375,274.7970886230469,1263.4190673828125
2020-03-22,220.0,209.9719696044922,0.0,471.9070739746094
2020-03-23,254.0,194.1243133544922,0.0,557.165771484375
2020-03-24,293.0,499.8667297363281,186.3155517578125,858.2359619140625
2020-03-25,396.0,440.3350830078125,118.84945678710938,872.2615966796875
2020-03-26,466.0,572.3671264648438,215.2852325439453,1042.2105712890625
2020-03-27,607.0,723.2440795898438,298.2749938964844,1241.5635986328125
2020-03-28,740.0,735.5137329101562,328.9131774902344,1301.0225830078125
2020-03-29,890.0,384.9877624511719,146.13156127929688,626.1239624023438
2020-03-30,1020.0,382.5481872558594,138.60337829589844,718.1287231445312
2020-03-31,1249.0,659.5964965820312,368.2245788574219,997.6204833984375
2020-04-01,1483.0,646.0149536132812,346.9278869628906,1046.032958984375
2020-04-02,1706.0,776.5409545898438,446.5244445800781,1212.748291015625
2020-04-03,2012.0,934.4921264648438,544.1760864257812,1416.6258544921875
2020-04-04,2407.0,955.15380859375,581.4400024414062,1477.3380126953125
2020-04-05,2640.0,1121.02099609375,955.7896728515625,1277.50830078125
2020-04-06,2878.0,1179.533203125,993.9193725585938,1402.9925537109375
2020-04-07,3335.0,1344.9324951171875,1145.0010986328125,1598.5791015625
2020-04-08,3645.0,1510.4986572265625,1303.0657958984375,1779.541748046875
2020-04-09,4042.0,1638.7479248046875,1419.5177001953125,1936.7828369140625
2020-04-10,4509.0,1823.5078125,1574.9534912109375,2157.060791015625
2020-04-11,5077.0,1887.6663818359375,1648.6083984375,2231.887451171875
2020-04-12,5274.0,3145.666015625,3097.535888671875,3179.27685546875
2020-04-13,5747.0,3411.149658203125,3359.692138671875,3506.568359375
2020-04-14,6182.0,3343.3779296875,3275.583984375,3379.69580078125
2020-04-15,6500.0,3867.172119140625,3809.28271484375,3905.86962890625
2020-04-16,6889.0,4024.356689453125,3976.343994140625,4079.595947265625
2020-04-17,7491.0,4270.86376953125,4206.92333984375,4372.60009765625
2020-04-18,8053.0,4523.0146484375,4421.6328125,4617.9443359375
2020-04-19,8542.0,6411.509765625,6138.33984375,6631.37646484375
2020-04-20,8990.0,7007.10888671875,6641.75830078125,7254.998046875
2020-04-21,9630.0,6732.05908203125,6494.9638671875,7045.83056640625
2020-04-22,10266.0,7610.57373046875,7161.8271484375,7898.28564453125
2020-04-23,10998.0,7861.83056640625,7394.6064453125,8244.828125
2020-04-24,11594.0,8191.58447265625,7704.025390625,8708.1064453125
2020-04-25,12366.0,8779.3671875,8142.0185546875,9271.8232421875
2020-04-26,12970.0,10159.8564453125,9786.673828125,10486.6611328125
2020-04-27,13538.0,11028.0654296875,10500.623046875,11354.1552734375
2020-04-28,14339.0,10705.3115234375,10288.533203125,11193.931640625
2020-04-29,14962.0,11821.3095703125,11138.931640625,12267.5791015625
2020-04-30,15847.0,12197.5966796875,11469.1787109375,12779.6015625
