,District of Columbia,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,11115.34281806276,,
2020-01-25,0.0,11115.49117297933,,
2020-01-26,0.0,11115.600268036433,,
2020-01-27,0.0,11115.707728844727,,
2020-01-28,0.0,11115.90969912105,,
2020-01-29,0.0,11116.036832512964,,
2020-01-30,0.0,11116.18399212602,,
2020-01-31,0.0,11116.252009225906,,
2020-02-01,0.0,11116.20018919343,,
2020-02-02,0.0,11116.09269674697,,
2020-02-03,0.0,11116.015825077733,,
2020-02-04,0.0,11116.00361491882,,
2020-02-05,0.0,11116.043562863357,,
2020-02-06,0.0,11116.100206153023,,
2020-02-07,0.0,11116.13474163912,,
2020-02-08,0.0,11116.128217914458,,
2020-02-09,0.0,11116.09380821397,,
2020-02-10,0.0,11116.060680498775,,
2020-02-11,0.0,11116.048870055332,,
2020-02-12,0.0,11116.059890205086,,
2020-02-13,0.0,11116.08158549611,,
2020-02-14,0.0,11116.098078420753,,
2020-02-15,0.0,11116.099923234622,,
2020-02-16,0.0,11116.089183404885,,
2020-02-17,0.0,11116.075681413029,,
2020-02-18,0.0,11116.068550347678,,
2020-02-19,0.0,11116.070634403679,,
2020-02-20,0.0,11116.078446561693,,
2020-02-21,0.0,11116.085790514038,,
2020-02-22,0.0,11116.088136419821,,
2020-02-23,0.0,11116.085135959378,,
2020-02-24,0.0,11116.079935026715,,
2020-02-25,0.0,11116.076325648683,,
2020-02-26,0.0,11116.07618343703,,
2020-02-27,0.0,11116.078776838867,,
2020-02-28,0.0,11116.081844479,,
2020-02-29,0.0,11116.083348418919,,
2020-03-01,0.0,11116.082702479629,,
2020-03-02,0.0,11116.080814856414,,
2020-03-03,0.0,11116.07916408261,,
2020-03-04,0.0,11116.07872956814,,
2020-03-05,0.0,11116.079497376539,,
2020-03-06,0.0,11116.080704739165,,
2020-03-07,0.0,11116.081491049938,,
2020-03-08,0.0,11116.081459962457,,
2020-03-09,0.0,11116.080821826767,,
2020-03-10,0.0,11116.080119837225,,
2020-03-11,0.0,11116.079809696386,,
2020-03-12,0.0,11116.079994089869,,
2020-03-13,0.0,11116.08044152057,,
2020-03-14,0.0,11116.080809587387,,
2020-03-15,0.0,11116.080885596799,,
2020-03-16,22.0,11116.080690037574,,
2020-03-17,22.0,11100.648760683518,,
2020-03-18,31.0,11120.068457615795,,
2020-03-19,40.0,11111.406855938141,,
2020-03-20,71.0,11112.567142877684,,
2020-03-21,98.0,11101.576459573444,,
2020-03-22,102.0,11105.82620445412,,
2020-03-23,120.0,11125.56431374167,,
2020-03-24,141.0,11112.117701792804,,
2020-03-25,187.0,11114.843489156725,,
2020-03-26,231.0,11098.123234905448,,
2020-03-27,271.0,11102.004922693808,,
2020-03-28,304.0,11108.941972355355,,
2020-03-29,342.0,11113.368633451826,,
