,Virginia,forecast,interval_low,interval_high
2020-01-22,0.0,0.40886935591697693,-0.4336147904396057,1.124560832977295
2020-01-23,0.0,-0.20895259082317352,-1.8513195514678955,1.1382873058319092
2020-01-24,0.0,-29.873693466186523,-152.2528076171875,3.3248634338378906
2020-01-25,0.0,0.18317723274230957,-1.514153242111206,1.4492402076721191
2020-01-26,0.0,-0.3459254205226898,-1.8479807376861572,0.6151233315467834
2020-01-27,0.0,0.13097457587718964,-0.41387617588043213,1.0805490016937256
2020-01-28,0.0,8.381994247436523,-0.4712878465652466,41.124977111816406
2020-01-29,0.0,-6.165572166442871,-22.200979232788086,0.06161189079284668
2020-01-30,0.0,2.368056535720825,0.013348817825317383,9.940174102783203
2020-01-31,0.0,0.02398119494318962,-0.182714581489563,0.42872074246406555
2020-02-01,0.0,-0.2819374203681946,-1.4051653146743774,0.23289573192596436
2020-02-02,0.0,0.14506861567497253,-0.12927508354187012,0.8907214403152466
2020-02-03,0.0,0.38310980796813965,-0.11529779434204102,0.956027626991272
2020-02-04,0.0,-0.8561288118362427,-2.124850273132324,0.7245858907699585
2020-02-05,0.0,-7.3299713134765625,-31.78948974609375,1.9811700582504272
2020-02-06,0.0,0.14943590760231018,-1.5643665790557861,1.3540475368499756
2020-02-07,0.0,-0.10425083339214325,-0.9108859300613403,0.5919989347457886
2020-02-08,0.0,-2.137907028198242,-4.4942522048950195,-0.46550410985946655
2020-02-09,0.0,-0.5169796943664551,-5.551938533782959,1.6996135711669922
2020-02-10,0.0,3.791407823562622,-0.5108236074447632,18.522903442382812
2020-02-11,0.0,0.3349076211452484,-0.5256500244140625,1.310770034790039
2020-02-12,0.0,-3.3782050609588623,-17.61259651184082,0.5091832876205444
2020-02-13,0.0,-0.7635017037391663,-1.830272912979126,0.17088696360588074
2020-02-14,0.0,0.46177682280540466,-0.7065200805664062,2.24924373626709
2020-02-15,0.0,0.2243717610836029,-0.5682835578918457,0.9600595235824585
2020-02-16,0.0,-10.550084114074707,-39.220603942871094,1.5144118070602417
2020-02-17,0.0,0.1081748828291893,-0.7549216747283936,0.6480401158332825
2020-02-18,0.0,-0.2069288045167923,-1.6802198886871338,1.7141497135162354
2020-02-19,0.0,-4.52172327041626,-20.16971206665039,-0.13064563274383545
2020-02-20,0.0,2.0456109046936035,-0.5755113363265991,7.375558376312256
2020-02-21,0.0,-0.45431241393089294,-1.1278119087219238,1.8775343894958496
2020-02-22,0.0,-1.063784122467041,-8.713438034057617,5.507790565490723
2020-02-23,0.0,3.5406734943389893,-1.3154866695404053,18.005701065063477
2020-02-24,0.0,-0.24551621079444885,-0.9097846746444702,0.7898985147476196
2020-02-25,0.0,-0.5081554651260376,-5.804777145385742,4.311103343963623
2020-02-26,0.0,-1.8885633945465088,-11.441354751586914,1.5654778480529785
2020-02-27,0.0,2.998842716217041,-0.7581156492233276,15.535300254821777
2020-02-28,0.0,2.897636651992798,-1.57533597946167,15.555646896362305
2020-02-29,0.0,-0.27711567282676697,-1.3738131523132324,0.321167916059494
2020-03-01,0.0,-0.2863900065422058,-2.2288618087768555,0.623606264591217
2020-03-02,0.0,-5.466642379760742,-29.959108352661133,1.4754700660705566
2020-03-03,0.0,-1.452850103378296,-6.072920799255371,0.40361806750297546
2020-03-04,0.0,0.3507142961025238,-0.2791439890861511,1.6039493083953857
2020-03-05,0.0,-0.8241456151008606,-1.5306243896484375,0.7070446014404297
2020-03-06,0.0,0.4891572892665863,-1.3847178220748901,3.5177595615386963
2020-03-07,0.0,-0.8248516321182251,-7.615942001342773,1.9506644010543823
2020-03-08,2.0,-0.08841514587402344,-6.572081565856934,2.5033349990844727
2020-03-09,2.0,0.7676584124565125,-3.1303601264953613,2.1825437545776367
2020-03-10,8.0,8.885136604309082,7.954131126403809,10.433753967285156
2020-03-11,9.0,5.749770164489746,-9.867429733276367,14.601494789123535
2020-03-12,12.0,15.691317558288574,11.832131385803223,29.196212768554688
2020-03-13,27.0,26.977508544921875,26.196317672729492,27.443893432617188
2020-03-14,37.0,36.79805374145508,35.766380310058594,39.53012466430664
2020-03-15,37.0,37.457984924316406,35.872982025146484,38.82923889160156
2020-03-16,49.0,49.37785339355469,48.820465087890625,50.34455490112305
2020-03-17,67.0,69.195556640625,65.03284454345703,81.49987030029297
2020-03-18,79.0,84.79804992675781,73.70285034179688,112.45191192626953
2020-03-19,103.0,109.22859191894531,102.4354019165039,131.8056182861328
2020-03-20,123.0,137.85714721679688,123.1235580444336,162.43099975585938
2020-03-21,157.0,168.06922912597656,155.12242126464844,217.12045288085938
2020-03-22,220.0,229.3278350830078,220.35508728027344,262.82501220703125
