,Kansas,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,1.714581847190857,0.0,4.512147903442383
2020-02-03,0.0,7.532576084136963,3.3109052181243896,14.977910995483398
2020-02-04,0.0,3.7319164276123047,1.2278060913085938,6.762248992919922
2020-02-05,0.0,3.422051429748535,0.0,6.920564651489258
2020-02-06,0.0,5.51776647567749,0.0,11.122159004211426
2020-02-07,0.0,8.112475395202637,3.9180893898010254,11.46861457824707
2020-02-08,0.0,10.121004104614258,1.293147325515747,17.070146560668945
2020-02-09,0.0,1.714581847190857,0.0,4.512147903442383
2020-02-10,0.0,7.532576084136963,3.3109052181243896,14.977910995483398
2020-02-11,0.0,3.7319164276123047,1.2278060913085938,6.762248992919922
2020-02-12,0.0,3.422051429748535,0.0,6.920564651489258
2020-02-13,0.0,5.51776647567749,0.0,11.122159004211426
2020-02-14,0.0,8.112475395202637,3.9180893898010254,11.46861457824707
2020-02-15,0.0,10.121004104614258,1.293147325515747,17.070146560668945
2020-02-16,0.0,1.714581847190857,0.0,4.512147903442383
2020-02-17,0.0,7.532576084136963,3.3109052181243896,14.977910995483398
2020-02-18,0.0,3.7319164276123047,1.2278060913085938,6.762248992919922
2020-02-19,0.0,3.422051429748535,0.0,6.920564651489258
2020-02-20,0.0,5.51776647567749,0.0,11.122159004211426
2020-02-21,0.0,8.112475395202637,3.9180893898010254,11.46861457824707
2020-02-22,0.0,10.121004104614258,1.293147325515747,17.070146560668945
2020-02-23,0.0,1.714581847190857,0.0,4.512147903442383
2020-02-24,0.0,7.532576084136963,3.3109052181243896,14.977910995483398
2020-02-25,0.0,3.7319164276123047,1.2278060913085938,6.762248992919922
2020-02-26,0.0,3.422051429748535,0.0,6.920564651489258
2020-02-27,0.0,5.51776647567749,0.0,11.122159004211426
2020-02-28,0.0,8.112475395202637,3.9180893898010254,11.46861457824707
2020-02-29,0.0,10.121004104614258,1.293147325515747,17.070146560668945
2020-03-01,0.0,1.714581847190857,0.0,4.512147903442383
2020-03-02,0.0,7.532576084136963,3.3109052181243896,14.977910995483398
2020-03-03,0.0,3.7319164276123047,1.2278060913085938,6.762248992919922
2020-03-04,0.0,3.422051429748535,0.0,6.920564651489258
2020-03-05,0.0,5.51776647567749,0.0,11.122159004211426
2020-03-06,0.0,8.112475395202637,3.9180893898010254,11.46861457824707
2020-03-07,0.0,10.121004104614258,1.293147325515747,17.070146560668945
2020-03-08,1.0,1.714581847190857,0.0,4.512147903442383
2020-03-09,0.0,7.532576084136963,3.3109052181243896,14.977910995483398
2020-03-10,0.0,3.7319164276123047,1.2278060913085938,6.762248992919922
2020-03-11,0.0,3.422051429748535,0.0,6.920564651489258
2020-03-12,3.0,5.51776647567749,0.0,11.122159004211426
2020-03-13,2.0,8.112475395202637,3.9180893898010254,11.46861457824707
2020-03-14,2.0,10.121004104614258,1.293147325515747,17.070146560668945
2020-03-15,0.0,1.8957749605178833,0.0,4.680490970611572
2020-03-16,3.0,7.7043137550354,3.49353289604187,15.14426040649414
2020-03-17,7.0,3.955594301223755,1.4639105796813965,6.965041160583496
2020-03-18,4.0,3.6752731800079346,0.0,7.147335052490234
2020-03-19,13.0,5.773611545562744,0.0,11.431385040283203
2020-03-20,13.0,8.360574722290039,4.199706554412842,11.689342498779297
2020-03-21,9.0,10.29831314086914,1.4680747985839844,17.26157569885254
2020-03-22,8.0,4.213502407073975,0.0,7.195721626281738
2020-03-23,19.0,10.717720985412598,6.23578405380249,18.402896881103516
2020-03-24,16.0,6.971555233001709,4.794979572296143,9.688414573669434
2020-03-25,34.0,6.774652004241943,0.7334177494049072,10.025436401367188
2020-03-26,38.0,9.541550636291504,3.0018322467803955,15.35019302368164
2020-03-27,34.0,12.343864440917969,8.348350524902344,14.886343002319336
2020-03-28,60.0,15.483619689941406,6.921168327331543,21.59992218017578
2020-03-29,64.0,14.428120613098145,9.618914604187012,17.854352951049805
2020-03-30,42.0,24.68428611755371,18.830141067504883,33.40066146850586
2020-03-31,62.0,21.120275497436523,20.3120059967041,22.236743927001953
2020-04-01,51.0,20.29315757751465,14.291722297668457,23.76043701171875
2020-04-02,68.0,26.795507431030273,20.953866958618164,34.05229187011719
2020-04-03,76.0,28.368330001831055,25.643901824951172,30.308326721191406
2020-04-04,69.0,39.5451774597168,32.43695068359375,44.98013687133789
2020-04-05,53.0,51.39634323120117,48.593753814697266,55.47276306152344
2020-04-06,98.0,62.2064208984375,55.61110305786133,71.80519104003906
2020-04-07,63.0,63.81871032714844,61.76442337036133,66.74492645263672
2020-04-08,134.0,64.02568817138672,59.06618881225586,70.14383697509766
2020-04-09,70.0,72.28421783447266,65.71431732177734,84.68944549560547
2020-04-10,1.0,74.59017944335938,69.54316711425781,77.21151733398438
2020-04-11,158.0,81.55298614501953,75.45025634765625,87.0482406616211
2020-04-12,69.0,72.57804870605469,68.56568908691406,76.72267150878906
2020-04-13,46.0,95.30326080322266,83.29714965820312,108.58984375
2020-04-14,51.0,94.68485260009766,88.75902557373047,100.90597534179688
2020-04-15,63.0,88.79672241210938,83.47549438476562,95.22342681884766
2020-04-16,111.0,107.8654556274414,96.92041778564453,123.28936767578125
2020-04-17,115.0,103.00628662109375,97.95843505859375,108.37403869628906
2020-04-18,91.0,138.31686401367188,125.111083984375,153.35635375976562
