,District of Columbia,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,0.480734258890152,0.4186667501926422,0.5491147637367249
2020-02-04,0.0,0.39218416810035706,0.29011693596839905,0.5069466233253479
2020-02-05,0.0,0.4086390435695648,0.3620387017726898,0.47284239530563354
2020-02-06,0.0,0.5239019393920898,0.412570983171463,0.6282438039779663
2020-02-07,0.0,0.4970117509365082,0.4667040705680847,0.5513618588447571
2020-02-08,0.0,0.6125398278236389,0.5203059911727905,0.7633845210075378
2020-02-09,0.0,0.7996723651885986,0.5907185077667236,1.0087125301361084
2020-02-10,0.0,0.480734258890152,0.4186667501926422,0.5491147637367249
2020-02-11,0.0,0.39218416810035706,0.29011693596839905,0.5069466233253479
2020-02-12,0.0,0.4086390435695648,0.3620387017726898,0.47284239530563354
2020-02-13,0.0,0.5239019393920898,0.412570983171463,0.6282438039779663
2020-02-14,0.0,0.4970117509365082,0.4667040705680847,0.5513618588447571
2020-02-15,0.0,0.6125398278236389,0.5203059911727905,0.7633845210075378
2020-02-16,0.0,0.7996723651885986,0.5907185077667236,1.0087125301361084
2020-02-17,0.0,0.480734258890152,0.4186667501926422,0.5491147637367249
2020-02-18,0.0,0.39218416810035706,0.29011693596839905,0.5069466233253479
2020-02-19,0.0,0.4086390435695648,0.3620387017726898,0.47284239530563354
2020-02-20,0.0,0.5239019393920898,0.412570983171463,0.6282438039779663
2020-02-21,0.0,0.4970117509365082,0.4667040705680847,0.5513618588447571
2020-02-22,0.0,0.6125398278236389,0.5203059911727905,0.7633845210075378
2020-02-23,0.0,0.7996723651885986,0.5907185077667236,1.0087125301361084
2020-02-24,0.0,0.480734258890152,0.4186667501926422,0.5491147637367249
2020-02-25,0.0,0.39218416810035706,0.29011693596839905,0.5069466233253479
2020-02-26,0.0,0.4086390435695648,0.3620387017726898,0.47284239530563354
2020-02-27,0.0,0.5239019393920898,0.412570983171463,0.6282438039779663
2020-02-28,0.0,0.4970117509365082,0.4667040705680847,0.5513618588447571
2020-02-29,0.0,0.6125398278236389,0.5203059911727905,0.7633845210075378
2020-03-01,0.0,0.7996723651885986,0.5907185077667236,1.0087125301361084
2020-03-02,0.0,0.480734258890152,0.4186667501926422,0.5491147637367249
2020-03-03,0.0,0.39218416810035706,0.29011693596839905,0.5069466233253479
2020-03-04,0.0,0.4086390435695648,0.3620387017726898,0.47284239530563354
2020-03-05,0.0,0.5239019393920898,0.412570983171463,0.6282438039779663
2020-03-06,0.0,0.4970117509365082,0.4667040705680847,0.5513618588447571
2020-03-07,0.0,0.6125398278236389,0.5203059911727905,0.7633845210075378
2020-03-08,0.0,0.7996723651885986,0.5907185077667236,1.0087125301361084
2020-03-09,0.0,0.480734258890152,0.4186667501926422,0.5491147637367249
2020-03-10,0.0,0.39218416810035706,0.29011693596839905,0.5069466233253479
2020-03-11,0.0,0.4086390435695648,0.3620387017726898,0.47284239530563354
2020-03-12,0.0,0.5239019393920898,0.412570983171463,0.6282438039779663
2020-03-13,0.0,0.4970117509365082,0.4667040705680847,0.5513618588447571
2020-03-14,0.0,0.6125398278236389,0.5203059911727905,0.7633845210075378
2020-03-15,0.0,0.7996723651885986,0.5907185077667236,1.0087125301361084
2020-03-16,0.0,0.480734258890152,0.4186667501926422,0.5491147637367249
2020-03-17,0.0,0.39218416810035706,0.29011693596839905,0.5069466233253479
2020-03-18,0.0,0.4086390435695648,0.3620387017726898,0.47284239530563354
2020-03-19,0.0,0.5239019393920898,0.412570983171463,0.6282438039779663
2020-03-20,1.0,0.4970117509365082,0.4667040705680847,0.5513618588447571
2020-03-21,-1.0,0.6125398278236389,0.5203059911727905,0.7633845210075378
2020-03-22,2.0,0.7996723651885986,0.5907185077667236,1.0087125301361084
2020-03-23,0.0,0.480734258890152,0.4186667501926422,0.5491147637367249
2020-03-24,0.0,0.39218416810035706,0.29011693596839905,0.5069466233253479
2020-03-25,0.0,0.4086390435695648,0.3620387017726898,0.47284239530563354
2020-03-26,1.0,0.5239019393920898,0.412570983171463,0.6282438039779663
2020-03-27,0.0,0.4970117509365082,0.4667040705680847,0.5513618588447571
2020-03-28,1.0,0.6125398278236389,0.5203059911727905,0.7633845210075378
2020-03-29,1.0,0.7996723651885986,0.5907185077667236,1.0087125301361084
2020-03-30,4.0,0.7263035178184509,0.6644381284713745,0.8026975393295288
2020-03-31,0.0,0.633910596370697,0.5443584322929382,0.7507020235061646
2020-04-01,0.0,0.6437339186668396,0.5807499885559082,0.6991408467292786
2020-04-02,3.0,0.7589448094367981,0.6535239815711975,0.8746225833892822
2020-04-03,3.0,0.7142147421836853,0.6707682609558105,0.7629789710044861
2020-04-04,6.0,0.8302925229072571,0.734936535358429,0.9849618673324585
2020-04-05,1.0,1.009658932685852,0.8062366843223572,1.2049740552902222
2020-04-06,2.0,1.3439513444900513,1.3074582815170288,1.4160352945327759
2020-04-07,-2.0,1.234589695930481,1.1623287200927734,1.33937406539917
2020-04-08,5.0,1.2399258613586426,1.1587213277816772,1.2983938455581665
2020-04-09,5.0,1.3471078872680664,1.2812061309814453,1.4657964706420898
2020-04-10,6.0,1.2896713018417358,1.2551811933517456,1.3094760179519653
2020-04-11,9.0,1.3975874185562134,1.288192868232727,1.539419412612915
