,Northern Mariana Islands,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.0941806212067604,0.054468221962451935,0.13155771791934967
2020-02-03,0.0,0.13849197328090668,0.12608255445957184,0.14714762568473816
2020-02-04,0.0,0.18839968740940094,0.1825156807899475,0.1980905532836914
2020-02-05,0.0,0.18172283470630646,0.15905441343784332,0.2191980928182602
2020-02-06,0.0,0.18352758884429932,0.16435399651527405,0.21800599992275238
2020-02-07,0.0,0.20427127182483673,0.19788645207881927,0.20931804180145264
2020-02-08,0.0,0.21708689630031586,0.19064274430274963,0.25424450635910034
2020-02-09,0.0,0.0941806212067604,0.054468221962451935,0.13155771791934967
2020-02-10,0.0,0.13849197328090668,0.12608255445957184,0.14714762568473816
2020-02-11,0.0,0.18839968740940094,0.1825156807899475,0.1980905532836914
2020-02-12,0.0,0.18172283470630646,0.15905441343784332,0.2191980928182602
2020-02-13,0.0,0.18352758884429932,0.16435399651527405,0.21800599992275238
2020-02-14,0.0,0.20427127182483673,0.19788645207881927,0.20931804180145264
2020-02-15,0.0,0.21708689630031586,0.19064274430274963,0.25424450635910034
2020-02-16,0.0,0.0941806212067604,0.054468221962451935,0.13155771791934967
2020-02-17,0.0,0.13849197328090668,0.12608255445957184,0.14714762568473816
2020-02-18,0.0,0.18839968740940094,0.1825156807899475,0.1980905532836914
2020-02-19,0.0,0.18172283470630646,0.15905441343784332,0.2191980928182602
2020-02-20,0.0,0.18352758884429932,0.16435399651527405,0.21800599992275238
2020-02-21,0.0,0.20427127182483673,0.19788645207881927,0.20931804180145264
2020-02-22,0.0,0.21708689630031586,0.19064274430274963,0.25424450635910034
2020-02-23,0.0,0.0941806212067604,0.054468221962451935,0.13155771791934967
2020-02-24,0.0,0.13849197328090668,0.12608255445957184,0.14714762568473816
2020-02-25,0.0,0.18839968740940094,0.1825156807899475,0.1980905532836914
2020-02-26,0.0,0.18172283470630646,0.15905441343784332,0.2191980928182602
2020-02-27,0.0,0.18352758884429932,0.16435399651527405,0.21800599992275238
2020-02-28,0.0,0.20427127182483673,0.19788645207881927,0.20931804180145264
2020-02-29,0.0,0.21708689630031586,0.19064274430274963,0.25424450635910034
2020-03-01,0.0,0.0941806212067604,0.054468221962451935,0.13155771791934967
2020-03-02,0.0,0.13849197328090668,0.12608255445957184,0.14714762568473816
2020-03-03,0.0,0.18839968740940094,0.1825156807899475,0.1980905532836914
2020-03-04,0.0,0.18172283470630646,0.15905441343784332,0.2191980928182602
2020-03-05,0.0,0.18352758884429932,0.16435399651527405,0.21800599992275238
2020-03-06,0.0,0.20427127182483673,0.19788645207881927,0.20931804180145264
2020-03-07,0.0,0.21708689630031586,0.19064274430274963,0.25424450635910034
2020-03-08,0.0,0.0941806212067604,0.054468221962451935,0.13155771791934967
2020-03-09,0.0,0.13849197328090668,0.12608255445957184,0.14714762568473816
2020-03-10,0.0,0.18839968740940094,0.1825156807899475,0.1980905532836914
2020-03-11,0.0,0.18172283470630646,0.15905441343784332,0.2191980928182602
2020-03-12,0.0,0.18352758884429932,0.16435399651527405,0.21800599992275238
2020-03-13,0.0,0.20427127182483673,0.19788645207881927,0.20931804180145264
2020-03-14,0.0,0.21708689630031586,0.19064274430274963,0.25424450635910034
2020-03-15,0.0,0.0941806212067604,0.054468221962451935,0.13155771791934967
2020-03-16,0.0,0.13849197328090668,0.12608255445957184,0.14714762568473816
2020-03-17,0.0,0.18839968740940094,0.1825156807899475,0.1980905532836914
2020-03-18,0.0,0.18172283470630646,0.15905441343784332,0.2191980928182602
2020-03-19,0.0,0.18352758884429932,0.16435399651527405,0.21800599992275238
2020-03-20,0.0,0.20427127182483673,0.19788645207881927,0.20931804180145264
2020-03-21,0.0,0.21708689630031586,0.19064274430274963,0.25424450635910034
2020-03-22,0.0,0.0941806212067604,0.054468221962451935,0.13155771791934967
2020-03-23,0.0,0.13849197328090668,0.12608255445957184,0.14714762568473816
2020-03-24,0.0,0.18839968740940094,0.1825156807899475,0.1980905532836914
2020-03-25,0.0,0.18172283470630646,0.15905441343784332,0.2191980928182602
2020-03-26,0.0,0.18352758884429932,0.16435399651527405,0.21800599992275238
2020-03-27,0.0,0.20427127182483673,0.19788645207881927,0.20931804180145264
2020-03-28,0.0,0.21708689630031586,0.19064274430274963,0.25424450635910034
2020-03-29,0.0,0.0941806212067604,0.054468221962451935,0.13155771791934967
2020-03-30,0.0,0.13849197328090668,0.12608255445957184,0.14714762568473816
2020-03-31,2.0,0.18839968740940094,0.1825156807899475,0.1980905532836914
2020-04-01,4.0,0.18172283470630646,0.15905441343784332,0.2191980928182602
2020-04-02,0.0,0.18352758884429932,0.16435399651527405,0.21800599992275238
2020-04-03,2.0,0.20427127182483673,0.19788645207881927,0.20931804180145264
2020-04-04,0.0,0.21708689630031586,0.19064274430274963,0.25424450635910034
2020-04-05,0.0,0.771660327911377,0.4585660696029663,1.2153679132461548
2020-04-06,0.0,0.8127610087394714,0.5633841156959534,1.0641213655471802
2020-04-07,0.0,0.6694943308830261,0.5564142465591431,0.8701866865158081
2020-04-08,3.0,0.15897151827812195,0.016290657222270966,0.24391482770442963
2020-04-09,0.0,1.3523377180099487,1.196745753288269,1.4391839504241943
2020-04-10,0.0,0.3706444799900055,0.2582874298095703,0.5387863516807556
