,Arizona,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,138542.14684484946,,
2020-01-25,0.0,138552.60549709416,,
2020-01-26,1.0,138563.32970743199,,
2020-01-27,1.0,138567.5072317901,,
2020-01-28,1.0,138586.53048722356,,
2020-01-29,1.0,138582.65852151366,,
2020-01-30,1.0,138602.7583192224,,
2020-01-31,1.0,138589.79483765748,,
2020-02-01,1.0,138600.78807772943,,
2020-02-02,1.0,138590.92815493513,,
2020-02-03,1.0,138598.32332276367,,
2020-02-04,1.0,138591.0882184722,,
2020-02-05,1.0,138596.77968102627,,
2020-02-06,1.0,138591.23221494077,,
2020-02-07,1.0,138595.7666016752,,
2020-02-08,1.0,138591.374724164,,
2020-02-09,1.0,138595.06374253333,,
2020-02-10,1.0,138591.51244007226,,
2020-02-11,1.0,138594.55450130702,,
2020-02-12,1.0,138591.6421643665,,
2020-02-13,1.0,138594.17343392433,,
2020-02-14,1.0,138591.76206640952,,
2020-02-15,1.0,138593.88125346383,,
2020-02-16,1.0,138591.87131679308,,
2020-02-17,1.0,138593.65298864897,,
2020-02-18,1.0,138591.9697457834,,
2020-02-19,1.0,138593.47201613584,,
2020-02-20,1.0,138592.05761418675,,
2020-02-21,1.0,138593.32684677868,,
2020-02-22,1.0,138592.13545774805,,
2020-02-23,1.0,138593.20929142504,,
2020-02-24,1.0,138592.20397765178,,
2020-02-25,1.0,138593.11336153478,,
2020-02-26,1.0,138592.26396219514,,
2020-02-27,1.0,138593.03458247485,,
2020-02-28,1.0,138592.31623101822,,
2020-02-29,1.0,138592.96954923705,,
2020-03-01,1.0,138592.3615962691,,
2020-03-02,1.0,138592.91563015472,,
2020-03-03,1.0,138592.40083661958,,
2020-03-04,1.0,138592.87076402715,,
2020-03-05,1.0,138592.43468096905,,
2020-03-06,2.0,138592.8333179335,,
2020-03-07,4.0,138591.85822366882,,
2020-03-08,4.0,138591.42620213085,,
2020-03-09,4.0,138592.61217044684,,
2020-03-10,6.0,138593.3805955914,,
2020-03-11,9.0,138591.32465527512,,
2020-03-12,9.0,138591.42948925868,,
2020-03-13,9.0,138592.7451005121,,
2020-03-14,12.0,138594.3094307237,,
2020-03-15,12.0,138590.5469442757,,
2020-03-16,18.0,138593.8078909829,,
2020-03-17,20.0,138589.83144999115,,
2020-03-18,27.0,138591.03275981123,,
2020-03-19,45.0,138591.6345293471,,
2020-03-20,68.0,138579.45613208,,
2020-03-21,104.0,138583.14192962446,,
2020-03-22,152.0,138571.06603917928,,
2020-03-23,235.0,138570.92328249433,,
2020-03-24,326.0,138549.6768307821,,
2020-03-25,401.0,138548.7401594702,,
2020-03-26,508.0,138574.11182182576,,
2020-03-27,665.0,138558.02390012617,,
2020-03-28,773.0,138533.96677628017,,
2020-03-29,919.0,138570.1040875505,,
