,Virginia,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.0,0.0,0.14151625335216522
2020-02-03,0.0,0.10659277439117432,0.0,0.9673986434936523
2020-02-04,0.0,0.020972857251763344,0.0,0.8039079904556274
2020-02-05,0.0,0.05484237149357796,0.0,1.1228305101394653
2020-02-06,0.0,0.0,0.0,0.8060873746871948
2020-02-07,0.0,0.16188475489616394,0.0,0.7041653394699097
2020-02-08,0.0,0.46193116903305054,0.0,1.1836185455322266
2020-02-09,0.0,0.0,0.0,0.14151625335216522
2020-02-10,0.0,0.10659277439117432,0.0,0.9673986434936523
2020-02-11,0.0,0.020972857251763344,0.0,0.8039079904556274
2020-02-12,0.0,0.05484237149357796,0.0,1.1228305101394653
2020-02-13,0.0,0.0,0.0,0.8060873746871948
2020-02-14,0.0,0.16188475489616394,0.0,0.7041653394699097
2020-02-15,0.0,0.46193116903305054,0.0,1.1836185455322266
2020-02-16,0.0,0.0,0.0,0.14151625335216522
2020-02-17,0.0,0.10659277439117432,0.0,0.9673986434936523
2020-02-18,0.0,0.020972857251763344,0.0,0.8039079904556274
2020-02-19,0.0,0.05484237149357796,0.0,1.1228305101394653
2020-02-20,0.0,0.0,0.0,0.8060873746871948
2020-02-21,0.0,0.16188475489616394,0.0,0.7041653394699097
2020-02-22,0.0,0.46193116903305054,0.0,1.1836185455322266
2020-02-23,0.0,0.0,0.0,0.14151625335216522
2020-02-24,0.0,0.10659277439117432,0.0,0.9673986434936523
2020-02-25,0.0,0.020972857251763344,0.0,0.8039079904556274
2020-02-26,0.0,0.05484237149357796,0.0,1.1228305101394653
2020-02-27,0.0,0.0,0.0,0.8060873746871948
2020-02-28,0.0,0.16188475489616394,0.0,0.7041653394699097
2020-02-29,0.0,0.46193116903305054,0.0,1.1836185455322266
2020-03-01,0.0,0.0,0.0,0.14151625335216522
2020-03-02,0.0,0.10659277439117432,0.0,0.9673986434936523
2020-03-03,0.0,0.020972857251763344,0.0,0.8039079904556274
2020-03-04,0.0,0.05484237149357796,0.0,1.1228305101394653
2020-03-05,0.0,0.0,0.0,0.8060873746871948
2020-03-06,0.0,0.16188475489616394,0.0,0.7041653394699097
2020-03-07,0.0,0.46193116903305054,0.0,1.1836185455322266
2020-03-08,0.0,0.0,0.0,0.14151625335216522
2020-03-09,0.0,0.10659277439117432,0.0,0.9673986434936523
2020-03-10,0.0,0.020972857251763344,0.0,0.8039079904556274
2020-03-11,0.0,0.05484237149357796,0.0,1.1228305101394653
2020-03-12,0.0,0.0,0.0,0.8060873746871948
2020-03-13,0.0,0.16188475489616394,0.0,0.7041653394699097
2020-03-14,1.0,0.46193116903305054,0.0,1.1836185455322266
2020-03-15,0.0,0.0,0.0,0.14151625335216522
2020-03-16,1.0,0.10659277439117432,0.0,0.9673986434936523
2020-03-17,0.0,0.020972857251763344,0.0,0.8039079904556274
2020-03-18,0.0,0.05484237149357796,0.0,1.1228305101394653
2020-03-19,0.0,0.0,0.0,0.8060873746871948
2020-03-20,0.0,0.16188475489616394,0.0,0.7041653394699097
2020-03-21,1.0,0.46193116903305054,0.0,1.1836185455322266
2020-03-22,3.0,0.20215773582458496,0.0,0.5148118138313293
2020-03-23,0.0,0.6036664843559265,0.3708078861236572,1.3366177082061768
2020-03-24,3.0,0.6027164459228516,0.18116560578346252,1.2670339345932007
2020-03-25,0.0,0.8733139038085938,0.4512355625629425,1.685902714729309
2020-03-26,1.0,0.7529762387275696,0.24041813611984253,1.3687596321105957
2020-03-27,0.0,0.9754428863525391,0.7339786887168884,1.3410485982894897
2020-03-28,3.0,1.2154567241668701,0.7132142186164856,1.6150163412094116
2020-03-29,7.0,0.9661579132080078,0.6049207448959351,1.408614158630371
2020-03-30,-5.0,1.3484874963760376,1.083054542541504,1.9659212827682495
2020-03-31,12.0,1.4481942653656006,1.0615472793579102,2.091578483581543
2020-04-01,7.0,2.394623279571533,2.1145994663238525,2.902848958969116
2020-04-02,7.0,2.7102179527282715,2.1107609272003174,3.3785533905029297
2020-04-03,5.0,2.985241651535034,2.4737091064453125,3.4190282821655273
2020-04-04,6.0,2.906979560852051,2.36293363571167,3.4111549854278564
2020-04-05,0.0,4.111505031585693,3.511817455291748,4.93303108215332
2020-04-06,14.0,3.525723934173584,3.0656981468200684,4.148301601409912
2020-04-07,0.0,3.117283582687378,2.649449348449707,3.7235567569732666
2020-04-08,0.0,4.707259654998779,4.302896022796631,5.425834655761719
2020-04-09,43.0,7.111868381500244,6.687558174133301,7.8859357833862305
2020-04-10,12.0,8.700212478637695,6.755786418914795,9.760418891906738
2020-04-11,9.0,7.9701409339904785,5.630951881408691,9.14955997467041
2020-04-12,11.0,6.775355339050293,6.026674747467041,7.429353713989258
2020-04-13,8.0,8.349003791809082,7.668443202972412,8.749367713928223
2020-04-14,5.0,9.100679397583008,8.116134643554688,9.627127647399902
2020-04-15,41.0,9.062292098999023,8.074664115905762,9.580924034118652
2020-04-16,13.0,7.723837375640869,6.714334011077881,8.343056678771973
2020-04-17,23.0,7.1057024002075195,5.761377334594727,8.442164421081543
2020-04-18,27.0,8.543378829956055,5.957881450653076,9.516798973083496
2020-04-19,19.0,26.354812622070312,23.103307723999023,29.17230987548828
2020-04-20,23.0,20.566112518310547,18.044591903686523,21.53917694091797
