,Washington,forecast,interval_low,interval_high
2020-01-23,0.0,0.009396863169968128,0.0029309093952178955,0.016580939292907715
2020-01-24,0.0,-0.21258953213691711,-1.0093958377838135,-0.0048683881759643555
2020-01-25,0.0,0.1301714926958084,-0.0004583001136779785,0.6358550786972046
2020-01-26,0.0,0.10963443666696548,-0.006790339946746826,0.5535494685173035
2020-01-27,0.0,-0.0027249096892774105,-0.00692826509475708,0.0011783838272094727
2020-01-28,0.0,0.20928671956062317,-0.0004323124885559082,1.0156960487365723
2020-01-29,0.0,-0.19295063614845276,-1.3697489500045776,0.25157928466796875
2020-01-30,0.0,-0.0033048212062567472,-0.012913227081298828,0.002671748399734497
2020-01-31,0.0,-0.0004955112817697227,-0.0018860697746276855,0.0022256970405578613
2020-02-01,0.0,-0.019974004477262497,-0.20723956823349,0.09639844298362732
2020-02-02,0.0,-0.026675337925553322,-0.1315862536430359,0.0013813674449920654
2020-02-03,0.0,0.0031898976303637028,-0.0012506842613220215,0.011494725942611694
2020-02-04,0.0,0.005055821035057306,0.0006347596645355225,0.013913184404373169
2020-02-05,0.0,0.08166675269603729,-0.02366006374359131,0.4502997100353241
2020-02-06,0.0,-0.007225042674690485,-0.02566993236541748,0.013894647359848022
2020-02-07,0.0,0.16268420219421387,-0.014310896396636963,0.7801376581192017
2020-02-08,0.0,0.13172128796577454,0.0041665732860565186,0.33172476291656494
2020-02-09,0.0,-0.003792965319007635,-0.014492213726043701,0.0022198259830474854
2020-02-10,0.0,0.3408694863319397,-0.004966616630554199,1.70513916015625
2020-02-11,0.0,-0.017514610663056374,-0.07665246725082397,0.006167769432067871
2020-02-12,0.0,-0.05017610639333725,-0.2166581153869629,0.010715246200561523
2020-02-13,0.0,-0.02732573077082634,-0.18006014823913574,0.025471538305282593
2020-02-14,0.0,-0.018576014786958694,-0.042030274868011475,-0.0016741156578063965
2020-02-15,0.0,-0.0037443935871124268,-0.020937085151672363,0.031237393617630005
2020-02-16,0.0,0.016318267211318016,0.004530996084213257,0.034079521894454956
2020-02-17,0.0,-0.0019186257850378752,-0.019878625869750977,0.02105003595352173
2020-02-18,0.0,0.052871912717819214,-0.020571768283843994,0.2937045097351074
2020-02-19,0.0,-0.006501424126327038,-0.02429795265197754,0.005374103784561157
2020-02-20,0.0,0.12143908441066742,-0.05311471223831177,0.6774338483810425
2020-02-21,0.0,0.016267836093902588,-0.013472259044647217,0.041889190673828125
2020-02-22,0.0,-0.08211349695920944,-0.4436638355255127,0.02318418025970459
2020-02-23,0.0,0.10030984878540039,-0.5281463861465454,1.094148874282837
2020-02-24,0.0,-0.056535281240940094,-0.6771111488342285,0.5763273239135742
2020-02-25,0.0,-0.00355164404027164,-0.02135533094406128,0.006534159183502197
2020-02-26,0.0,0.020999718457460403,-0.31978487968444824,0.38660678267478943
2020-02-27,0.0,-0.0034349977504462004,-0.025564491748809814,0.01607149839401245
2020-02-28,0.0,0.8128244280815125,0.0003679990768432617,2.5348916053771973
2020-02-29,1.0,0.8612298965454102,0.30296826362609863,1.0058386325836182
2020-03-01,0.0,0.48857060074806213,-0.007124483585357666,1.4378139972686768
2020-03-02,5.0,3.4052932262420654,0.7061115503311157,4.999220371246338
2020-03-03,1.0,2.2870712280273438,0.9923673272132874,4.441754341125488
2020-03-04,3.0,2.04510760307312,0.588990330696106,2.9881434440612793
2020-03-05,1.0,1.0256191492080688,1.011505365371704,1.042709231376648
2020-03-06,2.0,1.7477552890777588,0.7430704832077026,2.011651039123535
2020-03-07,3.0,2.7135202884674072,1.656624436378479,2.997277021408081
2020-03-08,2.0,2.0008058547973633,1.9794479608535767,2.0182924270629883
2020-03-09,1.0,1.5134845972061157,1.010132074356079,3.468937873840332
2020-03-10,4.0,3.3348631858825684,0.8086370229721069,3.974686622619629
2020-03-11,1.0,1.0369468927383423,1.0243051052093506,1.0633996725082397
2020-03-12,7.0,6.972745418548584,6.961825847625732,6.995945930480957
2020-03-13,6.0,5.995813846588135,5.979396343231201,6.0153727531433105
2020-03-14,2.0,2.0054264068603516,1.99590003490448,2.0302672386169434
2020-03-15,1.0,0.9895275235176086,0.9773620367050171,0.9995057582855225
2020-03-16,8.0,7.758528232574463,6.787585735321045,8.031109809875488
2020-03-17,7.0,8.293536186218262,5.478603363037109,11.273649215698242
2020-03-18,12.0,8.352289199829102,5.3477864265441895,11.972569465637207
2020-03-19,6.0,6.043015480041504,6.019972324371338,6.056435585021973
2020-03-20,10.0,9.985243797302246,9.932861328125,10.022940635681152
2020-03-21,11.0,9.417304992675781,3.200847625732422,11.005590438842773
2020-03-22,3.0,4.503026485443115,3.0076956748962402,10.413262367248535
2020-03-23,12.0,10.60453987121582,5.118564605712891,12.004215240478516
2020-03-24,7.0,8.809404373168945,7.012429237365723,15.926934242248535
2020-03-25,17.0,16.946638107299805,16.800701141357422,17.0014591217041
2020-03-26,17.0,16.98320198059082,16.963001251220703,17.0128116607666
2020-03-27,7.0,11.362653732299805,7.001200199127197,28.697181701660156
2020-03-28,31.0,26.192195892333984,7.045011520385742,30.994915008544922
2020-03-29,10.0,13.560928344726562,3.2684390544891357,25.855621337890625
2020-03-30,7.0,7.00823974609375,6.999277114868164,7.020242214202881
2020-03-31,20.0,19.995105743408203,19.9876708984375,20.001766204833984
2020-04-01,9.0,14.777002334594727,9.003430366516113,37.81599426269531
2020-04-02,37.0,29.22540855407715,17.44117546081543,37.00181198120117
2020-04-03,20.0,20.02020835876465,20.012407302856445,20.035306930541992
2020-04-04,24.0,23.987356185913086,23.972412109375,24.006635665893555
