,Massachusetts,forecast,interval_low,interval_high
2020-03-09,0.0,24.11876106262207,0.0,60.252777099609375
2020-03-10,19.0,34.86903762817383,0.0,76.36787414550781
2020-03-11,51.0,43.3051872253418,0.0,88.98771667480469
2020-03-12,15.0,45.68626022338867,0.0,93.93730926513672
2020-03-13,16.0,50.42333221435547,1.9402142763137817,95.12362670898438
2020-03-14,15.0,74.93123626708984,10.27221393585205,123.31720733642578
2020-03-15,0.0,54.5185661315918,5.650973320007324,113.16793823242188
2020-03-16,49.0,65.08019256591797,0.6097604632377625,113.57328033447266
2020-03-17,30.0,75.98431396484375,16.408227920532227,120.30049133300781
2020-03-18,35.0,79.10568237304688,14.555025100708008,141.4908447265625
2020-03-19,76.0,90.94098663330078,5.329864501953125,157.6625213623047
2020-03-20,85.0,104.8454818725586,41.043766021728516,160.4896697998047
2020-03-21,110.0,137.15219116210938,57.997928619384766,206.89132690429688
2020-03-22,117.0,47.74039077758789,13.652018547058105,91.47175598144531
2020-03-23,137.0,55.362060546875,12.41064167022705,92.94353485107422
2020-03-24,382.0,67.10015869140625,13.216984748840332,115.15198516845703
2020-03-25,679.0,80.1585693359375,28.31183433532715,129.7684783935547
2020-03-26,579.0,88.83692169189453,15.36205768585205,140.59559631347656
2020-03-27,823.0,97.67304992675781,51.326271057128906,141.8284912109375
2020-03-28,1017.0,121.86689758300781,60.515464782714844,166.57481384277344
2020-03-29,698.0,554.1463012695312,297.477783203125,698.4136962890625
2020-03-30,797.0,557.2764282226562,200.55111694335938,755.716064453125
2020-03-31,868.0,559.4842529296875,214.69947814941406,779.6832885742188
2020-04-01,1118.0,535.5679321289062,257.4508056640625,761.3285522460938
2020-04-02,1228.0,666.7098388671875,393.8293762207031,919.1061401367188
2020-04-03,1436.0,784.8290405273438,385.00164794921875,1053.4423828125
2020-04-04,1334.0,894.7058715820312,446.045166015625,1158.03759765625
2020-04-05,764.0,1040.206787109375,907.7861938476562,1143.9302978515625
2020-04-06,1337.0,1071.3388671875,886.9473876953125,1299.5255126953125
2020-04-07,1365.0,1116.941650390625,889.6219482421875,1395.747802734375
2020-04-08,1588.0,1062.843505859375,876.1443481445312,1284.4910888671875
2020-04-09,2151.0,1084.261962890625,945.066162109375,1219.92236328125
2020-04-10,2033.0,1136.92529296875,976.1845092773438,1371.92724609375
2020-04-11,1886.0,1213.3092041015625,996.2084350585938,1428.5631103515625
2020-04-12,2615.0,1539.6246337890625,1389.1055908203125,1655.1778564453125
2020-04-13,1392.0,1450.282470703125,1315.3218994140625,1687.3040771484375
2020-04-14,1297.0,1390.9993896484375,1209.4149169921875,1653.01806640625
2020-04-15,1755.0,1272.094482421875,1117.8673095703125,1428.4146728515625
2020-04-16,2262.0,1304.873046875,1195.330078125,1455.6231689453125
2020-04-17,2804.0,1428.6483154296875,1330.9678955078125,1573.2314453125
2020-04-18,1978.0,1556.434326171875,1376.844482421875,1712.392333984375
2020-04-19,1711.0,2111.61572265625,1848.0322265625,2479.91357421875
2020-04-20,1578.0,2314.55224609375,1894.0211181640625,2698.94140625
2020-04-21,1580.0,2056.244140625,1764.231689453125,2588.742919921875
2020-04-22,1782.0,1740.7982177734375,1420.265869140625,2096.6640625
2020-04-23,3113.0,1502.085693359375,1253.1658935546875,1662.02587890625
2020-04-24,4973.0,1357.4434814453125,1091.4207763671875,1599.274169921875
2020-04-25,2435.0,1495.950927734375,1177.3726806640625,1846.4737548828125
2020-04-26,1618.0,2583.1220703125,1914.3104248046875,3214.61279296875
2020-04-27,1542.0,3231.498046875,1993.2099609375,4980.298828125
2020-04-28,1898.0,2271.511962890625,1865.466796875,2860.771728515625
2020-04-29,2008.0,1584.4185791015625,1318.9947509765625,1754.9239501953125
2020-04-30,2010.0,1470.1029052734375,1221.8409423828125,1791.12109375
2020-05-01,2177.0,1685.747314453125,1337.8109130859375,2147.640625
2020-05-02,2050.0,1812.162109375,1539.971923828125,2226.78369140625
2020-05-03,1880.0,2265.564208984375,1876.6588134765625,2698.9755859375
2020-05-04,1070.0,2383.50537109375,2063.4921875,2744.071533203125
2020-05-05,1266.0,2195.01904296875,2023.7735595703125,2419.805908203125
2020-05-06,1884.0,1680.469970703125,1459.935791015625,1938.7071533203125
2020-05-07,1800.0,1253.905029296875,1030.95556640625,1476.6634521484375
2020-05-08,1752.0,1360.988525390625,1112.0516357421875,1684.8251953125
2020-05-09,1471.0,1800.857177734375,1553.287353515625,2062.587158203125
2020-05-10,1115.0,2236.175048828125,1763.1146240234375,2589.42724609375
2020-05-11,733.0,2045.324951171875,1708.824951171875,2571.490966796875
2020-05-12,961.0,1731.849365234375,1164.9461669921875,2171.949951171875
2020-05-13,1287.0,1410.55615234375,1025.7410888671875,1747.6295166015625
2020-05-14,1803.0,1223.8470458984375,992.76904296875,1441.1026611328125
2020-05-15,1326.0,1191.677001953125,832.2962646484375,1505.2254638671875
