,Oregon,forecast,interval_low,interval_high
2020-03-09,14.0,96.70965576171875,83.2911148071289,114.37678527832031
2020-03-10,14.0,117.4539566040039,106.04549407958984,130.98402404785156
2020-03-11,19.0,132.7080078125,120.53987121582031,146.7299041748047
2020-03-12,24.0,144.25103759765625,124.5123062133789,161.30685424804688
2020-03-13,30.0,173.7769775390625,156.90887451171875,191.49839782714844
2020-03-14,36.0,188.97344970703125,168.60169982910156,207.3579864501953
2020-03-15,36.0,90.5726318359375,83.38064575195312,104.51933288574219
2020-03-16,39.0,103.49627685546875,89.78982543945312,121.51083374023438
2020-03-17,66.0,124.15164947509766,112.44194030761719,138.0275421142578
2020-03-18,75.0,139.3765106201172,126.88508605957031,153.7735137939453
2020-03-19,88.0,151.27122497558594,131.20675659179688,168.72109985351562
2020-03-20,114.0,179.99220275878906,162.7896728515625,198.1117706298828
2020-03-21,137.0,195.92823791503906,175.23526000976562,214.7042999267578
2020-03-22,161.0,116.4477767944336,109.06413269042969,131.1045379638672
2020-03-23,191.0,130.22679138183594,115.94140625,149.00704956054688
2020-03-24,210.0,150.78236389160156,138.39501953125,165.46055603027344
2020-03-25,266.0,166.16619873046875,152.9695587158203,181.41554260253906
2020-03-26,316.0,179.1510772705078,158.43540954589844,197.46315002441406
2020-03-27,416.0,206.01930236816406,188.09335327148438,225.05722045898438
2020-03-28,479.0,223.94317626953125,202.53997802734375,243.65582275390625
2020-03-29,548.0,214.34608459472656,204.03578186035156,232.28857421875
2020-03-30,606.0,232.39837646484375,215.2350616455078,254.82127380371094
2020-03-31,690.0,252.56321716308594,236.9671630859375,270.9888916015625
2020-04-01,736.0,268.3498840332031,251.7639923095703,287.6176452636719
2020-04-02,826.0,285.7727966308594,261.8077697753906,308.2049255371094
2020-04-03,899.0,305.2074279785156,283.723388671875,328.6239013671875
2020-04-04,899.0,330.22216796875,305.4311218261719,354.2457580566406
2020-04-05,1068.0,536.037109375,517.5619506835938,563.2240600585938
2020-04-06,1068.0,566.4851684570312,541.4705810546875,599.0921020507812
2020-04-07,1132.0,586.2666625976562,561.6974487304688,615.2978515625
2020-04-08,1181.0,604.2404174804688,578.1903076171875,634.8649291992188
2020-04-09,1321.0,635.04248046875,602.1226196289062,669.08349609375
2020-04-10,1322.0,634.9810791015625,603.413330078125,671.0111083984375
2020-04-11,1371.0,680.4453125,646.1117553710938,716.860107421875
2020-04-12,1527.0,1019.39794921875,998.5429077148438,1049.862548828125
2020-04-13,1584.0,1057.643798828125,1032.8004150390625,1092.513427734375
2020-04-14,1633.0,1085.2596435546875,1058.4666748046875,1117.99609375
2020-04-15,1663.0,1112.9779052734375,1085.090576171875,1147.1329345703125
2020-04-16,1736.0,1156.5263671875,1123.42724609375,1193.466796875
2020-04-17,1785.0,1164.8311767578125,1130.5142822265625,1206.316650390625
2020-04-18,1844.0,1210.309326171875,1173.8310546875,1252.00244140625
2020-04-19,1910.0,1509.02734375,1485.8046875,1542.9041748046875
2020-04-20,1957.0,1557.0137939453125,1531.3330078125,1595.1771240234375
2020-04-21,2004.0,1591.9517822265625,1562.3729248046875,1629.12744140625
2020-04-22,2059.0,1628.8082275390625,1598.2132568359375,1667.490966796875
2020-04-23,2127.0,1685.4041748046875,1650.560791015625,1726.8709716796875
2020-04-24,2177.0,1697.83740234375,1659.7041015625,1745.9595947265625
2020-04-25,2253.0,1752.3770751953125,1712.73388671875,1800.3841552734375
