,Northern Mariana Islands,forecast,interval_low,interval_high
2020-01-23,0.0,-0.006752663757652044,-0.0241391658782959,0.00073203444480896
2020-01-24,0.0,-6.296038918662816e-05,-0.000637054443359375,0.0005920827388763428
2020-01-25,0.0,0.00012750030145980418,-0.0003345608711242676,0.0011442899703979492
2020-01-26,0.0,-0.0002432703913655132,-0.0013162493705749512,0.0008317232131958008
2020-01-27,0.0,0.0004651188792195171,-0.0009456872940063477,0.002172142267227173
2020-01-28,0.0,-0.00028380154981277883,-0.002870798110961914,0.000649869441986084
2020-01-29,0.0,0.0013259112602099776,3.904104232788086e-06,0.0063266754150390625
2020-01-30,0.0,-0.00043739675311371684,-0.0011271238327026367,8.210539817810059e-05
2020-01-31,0.0,0.025586336851119995,0.00019919872283935547,0.10283729434013367
2020-02-01,0.0,0.19727888703346252,-0.007113933563232422,0.9937253594398499
2020-02-02,0.0,-0.012892073020339012,-0.04197901487350464,0.00019475817680358887
2020-02-03,0.0,-0.0003641069051809609,-0.001384437084197998,0.000403672456741333
2020-02-04,0.0,0.012880372814834118,-0.017801761627197266,0.08267006278038025
2020-02-05,0.0,0.09974116832017899,-0.0006926059722900391,0.4920143485069275
2020-02-06,0.0,0.03465742990374565,-0.005617856979370117,0.17769935727119446
2020-02-07,0.0,-0.0015409470070153475,-0.0023493170738220215,-0.0006781220436096191
2020-02-08,0.0,0.0011872767936438322,0.00014099478721618652,0.002693384885787964
2020-02-09,0.0,-0.00177204015199095,-0.012354493141174316,0.004427284002304077
2020-02-10,0.0,-4.429221007740125e-05,-0.001144111156463623,0.0010410845279693604
2020-02-11,0.0,-0.00011541843559825793,-0.0009091496467590332,0.0006837248802185059
2020-02-12,0.0,0.002133655594661832,0.0005557537078857422,0.004225045442581177
2020-02-13,0.0,-0.0023474693298339844,-0.0033400654792785645,-0.0008181929588317871
2020-02-14,0.0,-0.0009942054748535156,-0.0023216605186462402,-7.534027099609375e-05
2020-02-15,0.0,0.0007073223823681474,-0.00027376413345336914,0.0015200972557067871
2020-02-16,0.0,0.0027682066429406404,0.00022074580192565918,0.011296629905700684
2020-02-17,0.0,-0.00025307535543106496,-0.00202864408493042,0.0008566081523895264
2020-02-18,0.0,0.0002745091915130615,-0.0018649101257324219,0.0021905899047851562
2020-02-19,0.0,0.005012804176658392,-0.004063546657562256,0.03197139501571655
2020-02-20,0.0,0.0028272331692278385,-0.0007791519165039062,0.007725149393081665
2020-02-21,0.0,0.0013949454296380281,-8.684396743774414e-05,0.00429341197013855
2020-02-22,0.0,-0.00219554896466434,-0.007899641990661621,-5.3763389587402344e-05
2020-02-23,0.0,-0.002953433897346258,-0.013334572315216064,-0.00010687112808227539
2020-02-24,0.0,-0.00014166832261253148,-0.0007997751235961914,0.000829160213470459
2020-02-25,0.0,-0.0001871645508799702,-0.000841975212097168,0.0010568499565124512
2020-02-26,0.0,0.0028108120895922184,-0.00015437602996826172,0.010788649320602417
