,Tennessee,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,73840.8673254057,,
2020-01-25,0.0,73852.26123280433,,
2020-01-26,0.0,73865.26175820101,,
2020-01-27,0.0,73871.6216816028,,
2020-01-28,0.0,73885.94248970877,,
2020-01-29,0.0,73896.42839597576,,
2020-01-30,0.0,73901.97133316546,,
2020-01-31,0.0,73902.59893067907,,
2020-02-01,0.0,73899.36148994483,,
2020-02-02,0.0,73893.73185267822,,
2020-02-03,0.0,73887.04010858363,,
2020-02-04,0.0,73880.21907687074,,
2020-02-05,0.0,73873.80652605735,,
2020-02-06,0.0,73868.05230004937,,
2020-02-07,0.0,73863.0304573297,,
2020-02-08,0.0,73858.72141842343,,
2020-02-09,0.0,73855.06282552604,,
2020-02-10,0.0,73851.97780307905,,
2020-02-11,0.0,73849.3892553559,,
2020-02-12,0.0,73847.22628445546,,
2020-02-13,0.0,73845.42645190383,,
2020-02-14,0.0,73843.93599365363,,
2020-02-15,0.0,73842.70912349882,,
2020-02-16,0.0,73841.70700847513,,
2020-02-17,0.0,73840.89670059725,,
2020-02-18,0.0,73840.25015214564,,
2020-02-19,0.0,73839.74336191235,,
2020-02-20,0.0,73839.35566104983,,
2020-02-21,0.0,73839.06912966123,,
2020-02-22,0.0,73838.86812845623,,
2020-02-23,0.0,73838.73892812895,,
2020-02-24,0.0,73838.66941974706,,
2020-02-25,0.0,73838.64889096566,,
2020-02-26,0.0,73838.66785463948,,
2020-02-27,0.0,73838.71791813143,,
2020-02-28,0.0,73838.7916832242,,
2020-02-29,0.0,73838.8826680352,,
2020-03-01,0.0,73838.98524373898,,
2020-03-02,0.0,73839.09458024232,,
2020-03-03,0.0,73839.20659624081,,
2020-03-04,0.0,73839.31791030445,,
2020-03-05,1.0,73839.42579077101,,
2020-03-06,1.0,73838.55134134162,,
2020-03-07,1.0,73839.69490053356,,
2020-03-08,3.0,73839.87546272806,,
2020-03-09,3.0,73837.84843911012,,
2020-03-10,3.0,73840.23558286847,,
2020-03-11,9.0,73840.44821105292,,
2020-03-12,18.0,73834.30218652537,,
2020-03-13,26.0,73832.25544574707,,
2020-03-14,32.0,73834.37582292655,,
2020-03-15,32.0,73836.7730800207,,
2020-03-16,52.0,73843.71737487083,,
2020-03-17,74.0,73825.26008049885,,
2020-03-18,100.0,73825.04121516654,,
2020-03-19,154.0,73825.10673448826,,
2020-03-20,223.0,73797.69014049615,,
2020-03-21,304.0,73789.55040147665,,
2020-03-22,393.0,73787.27250796146,,
2020-03-23,614.0,73787.17978143391,,
2020-03-24,772.0,73670.86312697182,,
2020-03-25,916.0,73755.1157079697,,
2020-03-26,1097.0,73798.78128330848,,
2020-03-27,1318.0,73765.23205569522,,
2020-03-28,1511.0,73766.49918716845,,
