,Tennessee,forecast,interval_low,interval_high
2020-03-09,3.0,615.353271484375,497.31610107421875,835.6834716796875
2020-03-10,3.0,687.5390014648438,556.6351928710938,909.5640258789062
2020-03-11,9.0,763.574951171875,622.2271118164062,1001.75927734375
2020-03-12,18.0,926.2794799804688,767.8452758789062,1191.25244140625
2020-03-13,26.0,978.8623046875,843.5751342773438,1225.7266845703125
2020-03-14,32.0,1085.4732666015625,926.4462280273438,1341.15869140625
2020-03-15,32.0,466.3130798339844,347.98944091796875,694.8255004882812
2020-03-16,52.0,616.8434448242188,498.93121337890625,837.05712890625
2020-03-17,74.0,688.97314453125,558.2120361328125,910.86474609375
2020-03-18,100.0,765.2734985351562,624.0829467773438,1003.3114624023438
2020-03-19,154.0,927.7149047851562,769.418701171875,1192.564697265625
2020-03-20,223.0,980.52001953125,845.3715209960938,1227.2574462890625
2020-03-21,304.0,1087.1915283203125,928.3086547851562,1342.74462890625
2020-03-22,393.0,497.0196533203125,380.7164001464844,723.7023315429688
2020-03-23,614.0,645.4686889648438,529.5791625976562,863.7968139648438
2020-03-24,772.0,716.12548828125,587.6181640625,935.9156494140625
2020-03-25,916.0,797.3367309570312,658.690673828125,1033.0125732421875
2020-03-26,1097.0,955.6019897460938,799.5505981445312,1218.4661865234375
2020-03-27,1318.0,1011.9249877929688,878.9837646484375,1256.6500244140625
2020-03-28,1511.0,1119.8524169921875,963.2807006835938,1373.2908935546875
2020-03-29,1720.0,804.40869140625,691.9832763671875,1011.0441284179688
2020-03-30,1917.0,929.6163940429688,825.6682739257812,1127.5714111328125
2020-03-31,2391.0,983.9347534179688,880.23193359375,1180.61328125
2020-04-01,2933.0,1119.3870849609375,1008.659912109375,1329.155029296875
2020-04-02,3013.0,1229.47216796875,1097.7198486328125,1470.75634765625
2020-04-03,3067.0,1325.6439208984375,1211.7275390625,1548.15625
2020-04-04,3322.0,1446.6861572265625,1315.5718994140625,1676.8216552734375
2020-04-05,3633.0,1963.22314453125,1845.2237548828125,2134.15966796875
2020-04-06,3802.0,2050.716552734375,1943.10546875,2207.2109375
2020-04-07,4139.0,2116.026611328125,2019.07275390625,2270.672607421875
2020-04-08,4363.0,2317.811279296875,2213.892822265625,2481.857177734375
2020-04-09,4634.0,2379.8720703125,2261.90185546875,2579.913330078125
2020-04-10,4891.0,2536.5224609375,2417.41357421875,2720.813232421875
2020-04-11,5132.0,2686.46875,2582.350830078125,2876.566650390625
2020-04-12,5508.0,3834.7724609375,3708.684814453125,3991.69580078125
2020-04-13,5610.0,3911.783203125,3799.16015625,4043.179443359375
2020-04-14,5827.0,4040.576416015625,3938.360107421875,4177.85693359375
2020-04-15,5827.0,4246.65234375,4135.93212890625,4392.333984375
2020-04-16,6166.0,4345.57763671875,4214.736328125,4525.236328125
2020-04-17,6263.0,4521.23779296875,4395.2275390625,4692.91162109375
2020-04-18,6589.0,4704.474609375,4593.806640625,4880.74169921875
2020-04-19,7070.0,5592.49365234375,5457.22607421875,5730.4052734375
2020-04-20,7238.0,5657.150390625,5538.15380859375,5760.626953125
2020-04-21,7394.0,5840.59130859375,5731.6025390625,5952.2841796875
2020-04-22,7394.0,6073.09521484375,5953.91650390625,6194.24951171875
2020-04-23,8266.0,6177.962890625,6033.4755859375,6331.88134765625
2020-04-24,8728.0,6396.80078125,6262.46484375,6547.93603515625
2020-04-25,9189.0,6611.98974609375,6493.3857421875,6766.23095703125
2020-04-26,9667.0,7144.30908203125,7000.15234375,7276.80126953125
2020-04-27,9918.0,7209.9921875,7084.642578125,7301.814453125
2020-04-28,10052.0,7432.38671875,7316.6708984375,7535.13916015625
2020-04-29,10366.0,7691.95849609375,7564.25439453125,7805.43017578125
2020-04-30,10735.0,7813.455078125,7656.18798828125,7957.986328125
2020-05-01,11891.0,8062.16845703125,7919.70166015625,8207.482421875
2020-05-02,12661.0,8308.2373046875,8181.892578125,8455.3671875
2020-05-03,13177.0,9620.4697265625,9459.7919921875,9727.482421875
2020-05-04,13571.0,9675.6630859375,9537.7470703125,9755.271484375
2020-05-05,13690.0,9952.2841796875,9823.068359375,10017.08203125
2020-05-06,13938.0,10299.23828125,10154.8740234375,10379.7314453125
2020-05-07,14096.0,10389.5,10209.541015625,10499.927734375
2020-05-08,14441.0,10736.3037109375,10578.0,10850.15234375
2020-05-09,14768.0,11034.4990234375,10892.9697265625,11147.484375
2020-05-10,14985.0,13069.4501953125,12882.8271484375,13175.0927734375
2020-05-11,15544.0,13148.8271484375,12990.5234375,13257.0048828125
2020-05-12,16111.0,13494.78125,13343.740234375,13594.1220703125
2020-05-13,16370.0,13955.5849609375,13784.0498046875,14049.8623046875
2020-05-14,16699.0,14044.7294921875,13830.234375,14156.45703125
2020-05-15,16960.0,14504.453125,14321.0322265625,14611.3994140625
2020-05-16,17263.0,14879.3310546875,14713.71875,14982.099609375
2020-05-17,17359.0,15831.1787109375,15622.958984375,16038.4609375
2020-05-18,18011.0,16048.1904296875,15872.4765625,16197.1904296875
2020-05-19,18412.0,16471.525390625,16303.013671875,16639.955078125
2020-05-20,18412.0,16877.017578125,16682.5234375,17081.06640625
2020-05-21,18961.0,17200.33203125,16956.927734375,17414.255859375
2020-05-22,19394.0,17578.173828125,17375.01953125,17800.7421875
2020-05-23,19785.0,18007.958984375,17823.71484375,18226.0859375
2020-05-24,20111.0,18535.53515625,18302.80859375,18801.322265625
2020-05-25,20535.0,18849.955078125,18653.7109375,19056.205078125
2020-05-26,20895.0,19348.484375,19158.599609375,19577.15625
2020-05-27,21285.0,19774.783203125,19553.392578125,20051.814453125
2020-05-28,21679.0,20212.974609375,19937.98828125,20489.548828125
2020-05-29,22063.0,20611.037109375,20384.080078125,20896.4453125
2020-05-30,22566.0,21097.685546875,20890.619140625,21377.244140625
