,North Carolina,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.19979244538775706,,
2020-01-26,0.0,0.34619720511503527,,
2020-01-27,0.0,0.5079708109922796,,
2020-01-28,0.0,0.6541009504498799,,
2020-01-29,0.0,0.777235582715256,,
2020-01-30,0.0,0.9671935565384926,,
2020-01-31,0.0,1.4346961928861244,,
2020-02-01,0.0,2.0402280879603456,,
2020-02-02,0.0,2.741208253578718,,
2020-02-03,0.0,3.5099738189202476,,
2020-02-04,0.0,4.325785429341277,,
2020-02-05,0.0,5.1732582059951575,,
2020-02-06,0.0,6.041425971949234,,
2020-02-07,0.0,6.922783114957383,,
2020-02-08,0.0,7.812369657419447,,
2020-02-09,0.0,8.707001301870061,,
2020-02-10,0.0,9.604681186360112,,
2020-02-11,0.0,10.504180694736489,,
2020-02-12,0.0,11.404755512369952,,
2020-02-13,0.0,12.305960414292596,,
2020-02-14,0.0,13.207531867321011,,
2020-02-15,0.0,14.109315249215285,,
2020-02-16,0.0,15.011220510365025,,
2020-02-17,0.0,15.913195538763162,,
2020-02-18,0.0,16.81521034135103,,
2020-02-19,0.0,17.71724773744151,,
2020-02-20,0.0,18.61929792645862,,
2020-02-21,0.0,19.5213553382763,,
2020-02-22,0.0,20.423416817472475,,
2020-02-23,0.0,21.325480581758306,,
2020-02-24,0.0,22.227545627087064,,
2020-02-25,0.0,23.129611389179537,,
2020-02-26,0.0,24.03167755159499,,
2020-02-27,0.0,24.933743937228268,,
2020-02-28,0.0,25.8358104471371,,
2020-02-29,0.0,26.737877026138186,,
2020-03-01,0.0,27.639943643501347,,
2020-03-02,0.0,28.54201028213822,,
2020-03-03,1.0,30.444076932558872,,
2020-03-04,0.0,28.186579017044124,,
2020-03-05,0.0,32.366068345636236,,
2020-03-06,1.0,33.16329295195691,,
2020-03-07,0.0,30.834724220049857,,
2020-03-08,0.0,35.07287190640682,,
2020-03-09,0.0,35.14625957393858,,
2020-03-10,5.0,41.18923116909963,,
2020-03-11,0.0,26.098207137248295,,
2020-03-12,8.0,51.538308988849025,,
2020-03-13,2.0,23.735107884580657,,
2020-03-14,8.0,51.9137217236996,,
2020-03-15,7.0,32.3532951116129,,
2020-03-16,7.0,42.84318140723124,,
2020-03-17,25.0,62.01768461604781,,
2020-03-18,28.0,27.54037880267849,,
2020-03-19,44.0,59.50096099354202,,
2020-03-20,53.0,38.51673651210015,,
2020-03-21,67.0,52.392308775237815,,
2020-03-22,49.0,15.272473988198776,,
2020-03-23,48.0,73.84749626501011,,
2020-03-24,142.0,159.93843841614543,,
