,Minnesota,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,3.662259677966531,3.662259677966531,3.662259677966531
2020-01-25,0.0,4.628433482758147,4.628433482758147,4.628433482758147
2020-01-26,0.0,5.478649906057539,5.478649906057539,5.478649906057539
2020-01-27,0.0,6.629347475244975,6.629347475244975,6.629347475244975
2020-01-28,0.0,8.37367441535711,8.37367441535711,8.37367441535711
2020-01-29,0.0,8.059161153597952,8.059161153597952,8.059161153597952
2020-01-30,0.0,8.707536766282498,8.707536766282498,8.707536766282498
2020-01-31,0.0,8.52196816833833,8.52196816833833,8.52196816833833
2020-02-01,0.0,8.013385764842948,8.013385764842948,8.013385764842948
2020-02-02,0.0,8.504556936480125,8.504556936480125,8.504556936480125
2020-02-03,0.0,8.613440710217077,8.613440710217077,8.613440710217077
2020-02-04,0.0,8.044285589901682,8.044285589901682,8.044285589901682
2020-02-05,0.0,8.319671212252212,8.319671212252212,8.319671212252212
2020-02-06,0.0,8.636011756607628,8.636011756607628,8.636011756607628
2020-02-07,0.0,8.1289594845017,8.1289594845017,8.1289594845017
2020-02-08,0.0,8.172766908004876,8.172766908004876,8.172766908004876
2020-02-09,0.0,8.594209618718093,8.594209618718093,8.594209618718093
2020-02-10,0.0,8.239492200499704,8.239492200499704,8.239492200499704
2020-02-11,0.0,8.076380969204957,8.076380969204957,8.076380969204957
2020-02-12,0.0,8.504201750149507,8.504201750149507,8.504201750149507
2020-02-13,0.0,8.346895378442323,8.346895378442323,8.346895378442323
2020-02-14,0.0,8.035440243008873,8.035440243008873,8.035440243008873
2020-02-15,0.0,8.387746235456644,8.387746235456644,8.387746235456644
2020-02-16,0.0,8.426652600709357,8.426652600709357,8.426652600709357
2020-02-17,0.0,8.04697517380826,8.04697517380826,8.04697517380826
2020-02-18,0.0,8.267115642356233,8.267115642356233,8.267115642356233
2020-02-19,0.0,8.46352784666472,8.46352784666472,8.46352784666472
2020-02-20,0.0,8.10032040806439,8.10032040806439,8.10032040806439
2020-02-21,0.0,8.16168061272942,8.16168061272942,8.16168061272942
2020-02-22,0.0,8.453646225321448,8.453646225321448,8.453646225321448
2020-02-23,0.0,8.178517298935061,8.178517298935061,8.178517298935061
2020-02-24,0.0,8.085873492062495,8.085873492062495,8.085873492062495
