,North Carolina,forecast,interval_low,interval_high
2020-03-09,2.0,398.4657897949219,341.9064025878906,461.44171142578125
2020-03-10,7.0,491.837890625,413.68572998046875,599.2522583007812
2020-03-11,7.0,545.557861328125,492.2655334472656,604.4542236328125
2020-03-12,15.0,664.9778442382812,610.766845703125,762.9981079101562
2020-03-13,17.0,708.8339233398438,642.4136352539062,814.2836303710938
2020-03-14,25.0,796.2522583007812,734.8221435546875,912.5670166015625
2020-03-15,32.0,416.2185974121094,328.3580627441406,529.939453125
2020-03-16,39.0,400.7420349121094,344.1755065917969,463.661376953125
2020-03-17,64.0,494.2366638183594,416.0846252441406,601.5714111328125
2020-03-18,92.0,548.1987915039062,494.9024963378906,607.0386352539062
2020-03-19,136.0,667.3272094726562,613.1812744140625,765.2777099609375
2020-03-20,189.0,711.35986328125,645.0252685546875,816.727294921875
2020-03-21,256.0,798.9328002929688,737.5814208984375,915.1695556640625
2020-03-22,305.0,440.1456604003906,352.3498840332031,553.0872192382812
2020-03-23,353.0,426.5499572753906,369.8975830078125,488.7543029785156
2020-03-24,495.0,521.6197509765625,443.4599609375,627.962158203125
2020-03-25,590.0,578.3689575195312,525.021484375,636.4942626953125
2020-03-26,738.0,693.7023315429688,640.3814086914062,790.7907104492188
2020-03-27,887.0,740.1233520507812,674.859619140625,844.4669799804688
2020-03-28,1020.0,829.23388671875,768.8677368164062,944.5048217773438
2020-03-29,1191.0,663.0947875976562,575.9794311523438,769.3171997070312
2020-03-30,1313.0,665.2637329101562,607.8688354492188,721.4877319335938
2020-03-31,1535.0,772.9521484375,694.8292846679688,870.9714965820312
2020-04-01,1675.0,850.59423828125,796.8718872070312,902.961181640625
2020-04-02,1977.0,941.1708984375,894.82080078125,1030.867431640625
2020-04-03,2251.0,1007.58447265625,951.3325805664062,1103.259521484375
2020-04-04,2486.0,1108.6793212890625,1053.690185546875,1215.709716796875
2020-04-05,2649.0,1463.9969482421875,1379.8912353515625,1550.538818359375
2020-04-06,2962.0,1512.89013671875,1453.326171875,1552.9674072265625
2020-04-07,3299.0,1651.70556640625,1574.546142578125,1726.8594970703125
2020-04-08,3499.0,1775.4609375,1721.137451171875,1813.756103515625
