,New York,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,405555.85296626727,,
2020-01-25,0.0,405555.6126315194,,
2020-01-26,0.0,405556.8968086298,,
2020-01-27,0.0,405557.8210909944,,
2020-01-28,0.0,405558.631924794,,
2020-01-29,0.0,405558.819022336,,
2020-01-30,0.0,405558.1585964779,,
2020-01-31,0.0,405557.14604223013,,
2020-02-01,0.0,405556.1721796482,,
2020-02-02,0.0,405555.4022773208,,
2020-02-03,0.0,405554.8614921666,,
2020-02-04,0.0,405554.5214205905,,
2020-02-05,0.0,405554.34192165773,,
2020-02-06,0.0,405554.2849524361,,
2020-02-07,0.0,405554.3169959114,,
2020-02-08,0.0,405554.40817975876,,
2020-02-09,0.0,405554.5313319728,,
2020-02-10,0.0,405554.66210440034,,
2020-02-11,0.0,405554.7802430982,,
2020-02-12,0.0,405554.87137513404,,
2020-02-13,0.0,405554.92830734974,,
2020-02-14,0.0,405554.9510057423,,
2020-02-15,0.0,405554.9450907233,,
2020-02-16,0.0,405554.91940258787,,
2020-02-17,0.0,405554.88349961763,,
2020-02-18,0.0,405554.8457614639,,
2020-02-19,0.0,405554.81234989536,,
2020-02-20,0.0,405554.78693050996,,
2020-02-21,0.0,405554.7709056411,,
2020-02-22,0.0,405554.7639109597,,
2020-02-23,0.0,405554.76439695276,,
2020-02-24,0.0,405554.7701874886,,
2020-02-25,0.0,405554.77895680966,,
2020-02-26,0.0,405554.7885945931,,
2020-02-27,0.0,405554.7974457709,,
2020-02-28,0.0,405554.8044255818,,
2020-02-29,0.0,405554.80902378104,,
2020-03-01,0.0,405554.8112237341,,
2020-03-02,1.0,405554.81136937934,,
2020-03-03,2.0,405554.7126066773,,
2020-03-04,11.0,405554.43657806295,,
2020-03-05,23.0,405553.81358253805,,
2020-03-06,31.0,405551.42547478515,,
2020-03-07,76.0,405552.4000981781,,
2020-03-08,106.0,405551.2807252413,,
2020-03-09,142.0,405543.44563992065,,
2020-03-10,150.0,405554.0077191794,,
2020-03-11,220.0,405556.75160748424,,
2020-03-12,327.0,405562.7595332269,,
2020-03-13,421.0,405540.9169336544,,
2020-03-14,613.0,405540.12899696955,,
2020-03-15,615.0,405541.9647901712,,
2020-03-16,967.0,405538.54219779454,,
2020-03-17,1578.0,405580.56263731286,,
2020-03-18,3038.0,405444.4255874106,,
2020-03-19,5704.0,405342.6480716772,,
2020-03-20,8403.0,405053.5867864201,,
2020-03-21,11727.0,404905.8642406794,,
2020-03-22,15800.0,405177.47019362386,,
2020-03-23,20884.0,405225.21286456287,,
2020-03-24,25681.0,405331.8059840543,,
2020-03-25,30841.0,405498.5336700924,,
2020-03-26,37877.0,405955.45193291485,,
2020-03-27,44876.0,405893.3649816109,,
2020-03-28,52410.0,405601.1936504012,,
