,Kansas,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,21390.50319177735,,
2020-01-25,0.0,21392.117658926076,,
2020-01-26,0.0,21393.994282479256,,
2020-01-27,0.0,21395.492645728278,,
2020-01-28,0.0,21397.174350445148,,
2020-01-29,0.0,21396.21983659495,,
2020-01-30,0.0,21401.087748650007,,
2020-01-31,0.0,21401.18497390304,,
2020-02-01,0.0,21398.67798840694,,
2020-02-02,0.0,21398.70520997591,,
2020-02-03,0.0,21399.381905386064,,
2020-02-04,0.0,21399.353588807808,,
2020-02-05,0.0,21399.114519686456,,
2020-02-06,0.0,21399.129823389823,,
2020-02-07,0.0,21399.207768006203,,
2020-02-08,0.0,21399.20057583516,,
2020-02-09,0.0,21399.17453954006,,
2020-02-10,0.0,21399.177609693674,,
2020-02-11,0.0,21399.186216261212,,
2020-02-12,0.0,21399.184965695047,,
2020-02-13,0.0,21399.182119005123,,
2020-02-14,0.0,21399.182610647025,,
2020-02-15,0.0,21399.183549362882,,
2020-02-16,0.0,21399.183360664363,,
2020-02-17,0.0,21399.183051717362,,
2020-02-18,0.0,21399.18312280027,,
2020-02-19,0.0,21399.183224238088,,
2020-02-20,0.0,21399.183197846673,,
2020-02-21,0.0,21399.183164619306,,
2020-02-22,0.0,21399.183174302754,,
2020-02-23,0.0,21399.183185159836,,
2020-02-24,0.0,21399.18318164137,,
2020-02-25,0.0,21399.183178102976,,
2020-02-26,0.0,21399.18317937087,,
2020-02-27,0.0,21399.183180520915,,
2020-02-28,0.0,21399.183180067263,,
2020-02-29,0.0,21399.18317969455,,
2020-03-01,0.0,21399.183179855863,,
2020-03-02,0.0,21399.183179976284,,
2020-03-03,0.0,21399.183179919237,,
2020-03-04,0.0,21399.18317988046,,
2020-03-05,0.0,21399.183179900534,,
2020-03-06,0.0,21399.183179912976,,
2020-03-07,0.0,21399.183179905944,,
2020-03-08,1.0,21399.183179901967,,
2020-03-09,1.0,21398.15667972336,,
2020-03-10,1.0,21399.474284366817,,
2020-03-11,1.0,21399.39554391776,,
2020-03-12,4.0,21399.200344960555,,
2020-03-13,6.0,21396.15537271246,,
2020-03-14,8.0,21398.003052137643,,
2020-03-15,8.0,21398.967702918377,,
2020-03-16,11.0,21400.225743489293,,
2020-03-17,18.0,21396.511555807476,,
2020-03-18,22.0,21393.018034837092,,
2020-03-19,35.0,21399.777852619933,,
2020-03-20,48.0,21389.7237573516,,
2020-03-21,57.0,21391.310828776193,,
2020-03-22,65.0,21396.50902033016,,
2020-03-23,84.0,21398.45572576798,,
2020-03-24,100.0,21389.23478082336,,
2020-03-25,134.0,21392.608578520838,,
2020-03-26,172.0,21380.08432640052,,
2020-03-27,206.0,21381.476029953403,,
2020-03-28,266.0,21387.018199476268,,
2020-03-29,330.0,21359.39711778975,,
