,Iowa,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.03375107314385837,0.03375107314385837,0.03375107314385837
2020-01-25,0.0,0.04927409332049809,0.04927409332049809,0.04927409332049809
2020-01-26,0.0,0.06786482879154115,0.06786482879154115,0.06786482879154115
2020-01-27,0.0,0.07683320381521568,0.07683320381521568,0.07683320381521568
2020-01-28,0.0,0.0917402045903371,0.0917402045903371,0.0917402045903371
2020-01-29,0.0,0.12695696539077136,0.12695696539077136,0.12695696539077136
2020-01-30,0.0,0.16445091953618604,0.16445091953618604,0.16445091953618604
2020-01-31,0.0,0.1850130355248494,0.1850130355248494,0.1850130355248494
2020-02-01,0.0,0.18162613242061623,0.18162613242061623,0.18162613242061623
2020-02-02,0.0,0.16717917705022242,0.16717917705022242,0.16717917705022242
2020-02-03,0.0,0.15537024340505481,0.15537024340505481,0.15537024340505481
2020-02-04,0.0,0.15046226922649697,0.15046226922649697,0.15046226922649697
2020-02-05,0.0,0.15096839873534101,0.15096839873534101,0.15096839873534101
2020-02-06,0.0,0.15384652189224718,0.15384652189224718,0.15384652189224718
2020-02-07,0.0,0.1565326347965994,0.1565326347965994,0.1565326347965994
2020-02-08,0.0,0.1577927134471858,0.1577927134471858,0.1577927134471858
2020-02-09,0.0,0.1576981818661364,0.1576981818661364,0.1576981818661364
2020-02-10,0.0,0.1569723620482727,0.1569723620482727,0.1569723620482727
2020-02-11,0.0,0.15629400753656728,0.15629400753656728,0.15629400753656728
2020-02-12,0.0,0.15597370436017047,0.15597370436017047,0.15597370436017047
2020-02-13,0.0,0.15598795024412226,0.15598795024412226,0.15598795024412226
2020-02-14,0.0,0.15616115586224946,0.15616115586224946,0.15616115586224946
2020-02-15,0.0,0.1563280942414317,0.1563280942414317,0.1563280942414317
2020-02-16,0.0,0.15640953267065702,0.15640953267065702,0.15640953267065702
2020-02-17,0.0,0.15640819476674703,0.15640819476674703,0.15640819476674703
2020-02-18,0.0,0.15636634920230524,0.15636634920230524,0.15636634920230524
2020-02-19,0.0,0.1563250275909007,0.1563250275909007,0.1563250275909007
2020-02-20,0.0,0.15630435655558653,0.15630435655558653,0.15630435655558653
2020-02-21,0.0,0.15630414543662055,0.15630414543662055,0.15630414543662055
2020-02-22,0.0,0.15631420750265027,0.15631420750265027,0.15631420750265027
2020-02-23,0.0,0.15632441175736625,0.15632441175736625,0.15632441175736625
2020-02-24,0.0,0.15632965140345378,0.15632965140345378,0.15632965140345378
2020-02-25,0.0,0.15632983736354966,0.15632983736354966,0.15632983736354966
2020-02-26,0.0,0.15632741934408584,0.15632741934408584,0.15632741934408584
2020-02-27,0.0,0.15632490013262823,0.15632490013262823,0.15632490013262823
2020-02-28,0.0,0.15632357373232972,0.15632357373232972,0.15632357373232972
2020-02-29,0.0,0.15632349475948112,0.15632349475948112,0.15632349475948112
2020-03-01,0.0,0.15632407483135285,0.15632407483135285,0.15632407483135285
2020-03-02,0.0,0.15632469627120568,0.15632469627120568,0.15632469627120568
2020-03-03,0.0,0.15632503162416858,0.15632503162416858,0.15632503162416858
2020-03-04,0.0,0.15632505928502208,0.15632505928502208,0.15632505928502208
2020-03-05,0.0,0.15632492034611528,0.15632492034611528,0.15632492034611528
2020-03-06,0.0,0.15632476715225788,0.15632476715225788,0.15632476715225788
2020-03-07,0.0,0.1563246824662578,0.1563246824662578,0.1563246824662578
2020-03-08,0.0,0.15632467362309502,0.15632467362309502,0.15632467362309502
2020-03-09,0.0,0.15632470684415278,0.15632470684415278,0.15632470684415278
2020-03-10,0.0,0.15632474458184625,0.15632474458184625,0.15632474458184625
2020-03-11,0.0,0.1563247659429701,0.1563247659429701,0.1563247659429701
2020-03-12,0.0,0.156324768622805,0.156324768622805,0.156324768622805
2020-03-13,0.0,0.15632476069402276,0.15632476069402276,0.15632476069402276
2020-03-14,0.0,0.15632475140429675,0.15632475140429675,0.15632475140429675
2020-03-15,0.0,0.156324746022095,0.156324746022095,0.156324746022095
2020-03-16,0.0,0.15632474523813447,0.15632474523813447,0.15632474523813447
2020-03-17,0.0,0.15632474712675146,0.15632474712675146,0.15632474712675146
2020-03-18,0.0,0.15632474941193314,0.15632474941193314,0.15632474941193314
2020-03-19,0.0,0.15632475076661523,0.15632475076661523,0.15632475076661523
2020-03-20,0.0,0.1563247509902866,0.1563247509902866,0.1563247509902866
2020-03-21,0.0,0.15632475054137496,0.15632475054137496,0.15632475054137496
2020-03-22,0.0,0.1563247499796467,0.1563247499796467,0.1563247499796467
2020-03-23,0.0,0.1563247496390245,0.1563247496390245,0.1563247496390245
2020-03-24,0.0,0.15632474957639217,0.15632474957639217,0.15632474957639217
2020-03-25,1.0,1.1563247496828515,1.1563247496828515,1.1563247496828515
2020-03-26,0.0,0.0,0.0,0.0
2020-03-27,2.0,2.2360178634089385,2.2360178634089385,2.2360178634089385
2020-03-28,0.0,0.0,0.0,0.0
2020-03-29,1.0,1.332642532496128,1.332642532496128,1.332642532496128
2020-03-30,2.0,1.6849523761782872,1.6849523761782872,1.6849523761782872
2020-03-31,1.0,0.0,0.0,0.0
2020-04-01,2.0,1.9808032422805832,1.9808032422805832,1.9808032422805832
2020-04-02,2.0,1.5473423800350066,1.5473423800350066,1.5473423800350066
2020-04-03,0.0,0.0,0.0,0.0
2020-04-04,3.0,4.362399724914759,4.362399724914759,4.362399724914759
2020-04-05,4.0,2.6629579331442645,2.6629579331442645,2.6629579331442645
2020-04-06,7.0,4.613597782546275,4.613597782546275,4.613597782546275
2020-04-07,0.0,0.0,0.0,0.0
2020-04-08,2.0,4.787700535877636,4.787700535877636,4.787700535877636
2020-04-09,2.0,2.588245779342003,2.588245779342003,2.588245779342003
2020-04-10,2.0,1.7561611406238613,1.7561611406238613,1.7561611406238613
