,Vermont,forecast,interval_low,interval_high
2020-02-18,0.0,-0.027922946959733963,-0.1772964596748352,0.024407416582107544
2020-02-19,0.0,-0.00388756999745965,-0.017563045024871826,0.0026333630084991455
2020-02-20,0.0,0.0028064728248864412,-0.007999122142791748,0.013964653015136719
2020-02-21,0.0,0.001947122858837247,-0.018778860569000244,0.019381672143936157
2020-02-22,0.0,0.004191374871879816,-0.007543504238128662,0.01715463399887085
2020-02-23,0.0,-0.15468139946460724,-0.7408792972564697,0.002100825309753418
2020-02-24,0.0,0.1660679131746292,0.0010870397090911865,0.8199836015701294
2020-02-25,0.0,0.1053091511130333,-0.36510735750198364,0.9254486560821533
2020-02-26,0.0,0.02987830713391304,-0.0004380941390991211,0.10733142495155334
2020-02-27,0.0,-0.18162474036216736,-0.5271387100219727,0.011307686567306519
2020-02-28,0.0,-0.03536003828048706,-0.09233283996582031,-0.00971454381942749
2020-02-29,0.0,0.05701122432947159,-0.000942230224609375,0.2760258615016937
2020-03-01,0.0,0.0018142343033105135,-0.0008390545845031738,0.006761670112609863
2020-03-02,0.0,0.019792359322309494,-0.08902984857559204,0.15001359581947327
2020-03-03,0.0,-0.0012711167801171541,-0.004514813423156738,0.003305971622467041
2020-03-04,0.0,0.0007189690950326622,-0.011201918125152588,0.007372766733169556
2020-03-05,0.0,-0.0486498661339283,-0.46198588609695435,0.1725626289844513
2020-03-06,0.0,0.00609056930989027,-0.006304025650024414,0.02420160174369812
2020-03-07,0.0,0.002158778952434659,-0.012634038925170898,0.010470837354660034
2020-03-08,1.0,0.8007001876831055,0.02276742458343506,0.9961127042770386
2020-03-09,0.0,-0.009527647867798805,-0.03531235456466675,0.003797292709350586
2020-03-10,0.0,0.0077263591811060905,-0.0003338456153869629,0.01807039976119995
2020-03-11,0.0,-0.0039193094708025455,-0.017593562602996826,0.0057051777839660645
2020-03-12,1.0,0.6785841584205627,0.10938045382499695,1.0066399574279785
2020-03-13,0.0,0.010389858856797218,0.002770364284515381,0.022702664136886597
2020-03-14,3.0,2.3679842948913574,-0.058565616607666016,2.989502429962158
2020-03-15,0.0,0.5081687569618225,-0.014838933944702148,2.508448362350464
2020-03-16,7.0,6.995272636413574,6.9786458015441895,7.008438587188721
2020-03-17,0.0,1.3877702951431274,-0.0006452202796936035,6.925767421722412
2020-03-18,1.0,2.359534740447998,1.001840591430664,7.766233921051025
2020-03-19,9.0,8.993062019348145,8.97835636138916,9.004475593566895
2020-03-20,7.0,7.0180840492248535,7.004257678985596,7.0427374839782715
2020-03-21,20.0,17.1594295501709,5.863276481628418,19.999267578125
2020-03-22,3.0,6.689075469970703,2.997032880783081,21.420835494995117
2020-03-23,23.0,17.985837936401367,6.857146739959717,22.99110984802246
2020-03-24,20.0,17.514163970947266,7.545028209686279,20.012104034423828
2020-03-25,30.0,29.292545318603516,26.47015953063965,30.01499366760254
2020-03-26,33.0,30.71584701538086,26.32779312133789,32.9852180480957
2020-03-27,26.0,26.301528930664062,25.996559143066406,27.482872009277344
2020-03-28,27.0,27.430511474609375,26.999282836914062,29.097570419311523
2020-03-29,24.0,22.53533935546875,19.803255081176758,24.000123977661133
2020-03-30,21.0,24.077180862426758,21.002662658691406,36.35074996948242
2020-03-31,37.0,33.7964973449707,21.004806518554688,36.999717712402344
2020-04-01,28.0,26.73874282836914,16.25944709777832,33.463504791259766
2020-04-02,17.0,27.23325538635254,16.998706817626953,50.97435760498047
2020-04-03,51.0,51.00715637207031,51.00358581542969,51.013431549072266
2020-04-04,72.0,68.23048400878906,53.22678756713867,71.98673248291016
2020-04-05,51.0,51.00313186645508,50.982723236083984,51.01311492919922
2020-04-06,31.0,31.0076847076416,30.991958618164062,31.030963897705078
2020-04-07,32.0,31.602489471435547,30.099502563476562,32.005653381347656
2020-04-08,30.0,28.83180809020996,24.098621368408203,30.039762496948242
2020-04-09,23.0,31.09404945373535,23.00872039794922,50.10295867919922
2020-04-10,51.0,50.96954345703125,50.951412200927734,50.98249816894531
2020-04-11,32.0,29.760700225830078,20.7550106048584,32.02356719970703
2020-04-12,16.0,16.000926971435547,15.986008644104004,16.014080047607422
2020-04-13,21.0,12.185525894165039,4.096942901611328,20.989612579345703
2020-04-14,4.0,5.589351654052734,3.9994914531707764,8.033369064331055
2020-04-15,7.0,8.439980506896973,6.995006561279297,14.107988357543945
2020-04-16,15.0,14.970388412475586,14.934626579284668,14.997011184692383
2020-04-17,5.0,5.026029586791992,5.006978511810303,5.067150115966797
2020-04-18,24.0,23.981128692626953,23.974626541137695,23.991422653198242
2020-04-19,10.0,11.87844467163086,10.004639625549316,17.587722778320312
2020-04-20,3.0,2.9916529655456543,2.978667974472046,2.998655319213867
2020-04-21,2.0,2.01603364944458,2.006409168243408,2.04040265083313
2020-04-22,5.0,5.361258506774902,0.6553643345832825,11.241375923156738
2020-04-23,2.0,5.121108055114746,2.0007009506225586,14.273953437805176
2020-04-24,2.0,5.487220764160156,2.0184426307678223,14.198837280273438
2020-04-25,16.0,15.983413696289062,15.964250564575195,15.996088027954102
2020-04-26,8.0,10.381689071655273,8.001752853393555,15.411623001098633
2020-04-27,4.0,4.5597381591796875,4.000816345214844,6.738437652587891
2020-04-28,7.0,6.29897403717041,3.6206352710723877,6.99727725982666
2020-04-29,0.0,2.7883760929107666,0.021368831396102905,8.700406074523926
2020-04-30,4.0,4.862641334533691,2.2989015579223633,10.02377700805664
2020-05-01,13.0,12.998235702514648,12.99498176574707,13.002551078796387
2020-05-02,7.0,10.247187614440918,7.001284122467041,18.415639877319336
2020-05-03,11.0,10.052206993103027,8.394164085388184,11.016963005065918
2020-05-04,5.0,4.935723781585693,4.697951316833496,4.999453544616699
2020-05-05,5.0,4.422194480895996,2.13746976852417,4.99733829498291
2020-05-06,1.0,2.76226544380188,0.9975171685218811,6.122921943664551
2020-05-07,8.0,10.285416603088379,7.996424674987793,14.653376579284668
2020-05-08,3.0,2.9744820594787598,2.910036563873291,3.00601863861084
2020-05-09,2.0,2.0201520919799805,2.0006041526794434,2.077183723449707
2020-05-10,6.0,5.520102500915527,3.64300537109375,6.003579139709473
2020-05-11,-1.0,-0.6315728425979614,-0.9821881055831909,0.7463245987892151
2020-05-12,1.0,0.9936864972114563,0.9674186706542969,1.0269346237182617
