,Mississippi,forecast,interval_low,interval_high
2020-01-23,0.0,-0.05287408083677292,-0.5641813278198242,0.13082623481750488
2020-01-24,0.0,-0.002006667898967862,-0.027665138244628906,0.01937130093574524
2020-01-25,0.0,-0.16373911499977112,-0.7619273662567139,0.000864863395690918
2020-01-26,0.0,0.7883223295211792,0.004504501819610596,3.8497958183288574
2020-01-27,0.0,-0.023480892181396484,-0.042550742626190186,0.006326735019683838
2020-01-28,0.0,0.07007240504026413,0.010392546653747559,0.14893731474876404
2020-01-29,0.0,0.05130467563867569,-0.35873615741729736,0.7609285116195679
2020-01-30,0.0,0.008052462711930275,-0.05225485563278198,0.09285047650337219
2020-01-31,0.0,0.4105152189731598,-1.2397077083587646,3.410957098007202
2020-02-01,0.0,3.6617419719696045,0.013833761215209961,18.150453567504883
2020-02-02,0.0,-0.082985520362854,-0.2413197159767151,-0.0056618452072143555
2020-02-03,0.0,0.7120972871780396,-0.06979256868362427,3.6377336978912354
2020-02-04,0.0,0.2603707015514374,-0.035034358501434326,1.004818081855774
2020-02-05,0.0,-0.01760324276983738,-0.18184101581573486,0.0953216552734375
2020-02-06,0.0,-0.8816248774528503,-3.679443359375,-0.0018261075019836426
2020-02-07,0.0,0.58589106798172,-0.008773565292358398,1.6770609617233276
2020-02-08,0.0,0.007574182935059071,-0.2164769172668457,0.14377781748771667
2020-02-09,0.0,0.3293899595737457,-0.16703647375106812,1.490715503692627
2020-02-10,0.0,-0.13413718342781067,-0.48859643936157227,0.030288517475128174
2020-02-11,0.0,0.012222886085510254,-0.05263561010360718,0.12113907933235168
2020-02-12,0.0,-0.23258766531944275,-0.3101188540458679,-0.1834086775779724
2020-02-13,0.0,1.22329580783844,0.04436221718788147,5.581606388092041
2020-02-14,0.0,0.24990062415599823,-0.07418262958526611,0.9708997011184692
2020-02-15,0.0,-0.319153368473053,-0.6949959993362427,0.11226874589920044
2020-02-16,0.0,-0.6850407719612122,-3.7869110107421875,0.22630837559700012
2020-02-17,0.0,0.19305403530597687,-0.16563141345977783,1.3176493644714355
2020-02-18,0.0,-0.35801732540130615,-1.5913615226745605,0.029461920261383057
2020-02-19,0.0,0.3409624993801117,-0.4765523672103882,1.8044356107711792
2020-02-20,0.0,-0.023270631209015846,-0.12683355808258057,0.14277887344360352
2020-02-21,0.0,-0.2709439694881439,-0.9867489337921143,-0.00475078821182251
2020-02-22,0.0,0.06866563111543655,-0.06264275312423706,0.3215543031692505
2020-02-23,0.0,0.6498783826828003,0.00255468487739563,2.3786327838897705
2020-02-24,0.0,-0.6478682160377502,-1.4198452234268188,-0.07391858100891113
2020-02-25,0.0,0.018083155155181885,-0.13402646780014038,0.19477641582489014
2020-02-26,0.0,0.2901214063167572,-0.07103443145751953,1.5312010049819946
2020-02-27,0.0,0.1770487278699875,0.044605523347854614,0.32274141907691956
2020-02-28,0.0,-0.15541988611221313,-0.3143619894981384,-0.09475326538085938
2020-02-29,0.0,1.1173244714736938,-0.15373140573501587,5.694035530090332
2020-03-01,0.0,3.5739243030548096,-0.34506434202194214,18.1391658782959
2020-03-02,0.0,-0.07039903104305267,-0.23418092727661133,0.028461933135986328
2020-03-03,0.0,1.3384615182876587,-0.008546113967895508,6.590120315551758
2020-03-04,0.0,0.06925880163908005,-0.108894944190979,0.3748660683631897
2020-03-05,0.0,0.7258253693580627,-0.008359372615814209,1.811530590057373
2020-03-06,0.0,0.5427775979042053,-0.19096243381500244,2.321139335632324
2020-03-07,0.0,-0.21131503582000732,-0.36705899238586426,0.08713230490684509
2020-03-08,0.0,-0.10760406404733658,-0.7777584791183472,0.13396787643432617
2020-03-09,0.0,0.05118238925933838,-0.009926319122314453,0.15657293796539307
2020-03-10,0.0,-0.22922904789447784,-1.14755117893219,0.03559073805809021
2020-03-11,0.0,-0.6098200678825378,-1.2924118041992188,-0.0730552077293396
2020-03-12,1.0,3.409085512161255,1.2347378730773926,11.734907150268555
2020-03-13,5.0,4.768256187438965,4.572013854980469,5.037326335906982
2020-03-14,0.0,0.08746619522571564,-0.04584145545959473,0.16045528650283813
2020-03-15,0.0,0.3331824243068695,0.006787359714508057,1.580169439315796
2020-03-16,6.0,5.955395698547363,5.686939716339111,6.146607875823975
2020-03-17,9.0,6.170526504516602,-5.59949254989624,9.236616134643555
2020-03-18,13.0,11.002618789672852,1.5166687965393066,14.954564094543457
2020-03-19,16.0,16.119613647460938,15.900077819824219,16.373645782470703
2020-03-20,30.0,43.141082763671875,29.906959533691406,66.01909637451172
2020-03-21,60.0,59.94883346557617,59.83521270751953,60.12104034423828
2020-03-22,67.0,66.87565612792969,66.70252227783203,66.9931640625
2020-03-23,42.0,42.264976501464844,42.10306167602539,42.423370361328125
2020-03-24,71.0,70.80311584472656,70.55193328857422,71.13148498535156
2020-03-25,57.0,66.47552490234375,57.08083724975586,103.375732421875
2020-03-26,108.0,107.53999328613281,107.3349380493164,107.77733612060547
2020-03-27,94.0,93.05073547363281,89.33639526367188,94.05754089355469
2020-03-28,84.0,84.30381774902344,84.03775787353516,84.40767669677734
2020-03-29,96.0,93.25341796875,82.60954284667969,96.00953674316406
2020-03-30,88.0,87.99269104003906,87.85636138916016,88.08503723144531
2020-03-31,90.0,93.13703918457031,90.00304412841797,105.51628112792969
2020-04-01,136.0,135.92953491210938,135.829345703125,136.00160217285156
2020-04-02,104.0,126.14292907714844,104.10295867919922,183.13458251953125
2020-04-03,181.0,165.99070739746094,106.56993865966797,181.01913452148438
2020-04-04,97.0,135.81863403320312,97.06634521484375,204.41807556152344
