,Ohio,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,7.227406415319842,7.227406415319842,7.227406415319842
2020-01-25,0.0,7.916844550037839,7.916844550037839,7.916844550037839
2020-01-26,0.0,9.112693902676645,9.112693902676645,9.112693902676645
2020-01-27,0.0,9.160480178703537,9.160480178703537,9.160480178703537
2020-01-28,0.0,12.165928079855284,12.165928079855284,12.165928079855284
2020-01-29,0.0,12.186801412012905,12.186801412012905,12.186801412012905
2020-01-30,0.0,13.730685403754041,13.730685403754041,13.730685403754041
2020-01-31,0.0,11.66572582885177,11.66572582885177,11.66572582885177
2020-02-01,0.0,12.498415546626298,12.498415546626298,12.498415546626298
2020-02-02,0.0,13.068137051273904,13.068137051273904,13.068137051273904
2020-02-03,0.0,11.549318378255165,11.549318378255165,11.549318378255165
2020-02-04,0.0,12.701851811738127,12.701851811738127,12.701851811738127
2020-02-05,0.0,12.481699759820712,12.481699759820712,12.481699759820712
2020-02-06,0.0,11.63067787620102,11.63067787620102,11.63067787620102
2020-02-07,0.0,12.768008828862879,12.768008828862879,12.768008828862879
2020-02-08,0.0,12.033631619328304,12.033631619328304,12.033631619328304
2020-02-09,0.0,11.807697621193,11.807697621193,11.807697621193
2020-02-10,0.0,12.693280057419368,12.693280057419368,12.693280057419368
2020-02-11,0.0,11.749251438182538,11.749251438182538,11.749251438182538
2020-02-12,0.0,12.011033743210579,12.011033743210579,12.011033743210579
2020-02-13,0.0,12.505031052350784,12.505031052350784,12.505031052350784
2020-02-14,0.0,11.620195848732456,11.620195848732456,11.620195848732456
2020-02-15,0.0,12.188423680467428,12.188423680467428,12.188423680467428
2020-02-16,0.0,12.255621887534,12.255621887534,12.255621887534
2020-02-17,0.0,11.61705590132322,11.61705590132322,11.61705590132322
2020-02-18,0.0,12.301678238722076,12.301678238722076,12.301678238722076
2020-02-19,0.0,12.005524622918713,12.005524622918713,12.005524622918713
2020-02-20,0.0,11.70085573298526,11.70085573298526,11.70085573298526
2020-02-21,0.0,12.329478591974095,12.329478591974095,12.329478591974095
2020-02-22,0.0,11.804630331407333,11.804630331407333,11.804630331407333
2020-02-23,0.0,11.830393818484644,11.830393818484644,11.830393818484644
2020-02-24,0.0,12.27123398554583,12.27123398554583,12.27123398554583
