,Puerto Rico,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,45.76614761352539,13.18852710723877,71.00630187988281
2020-02-03,0.0,61.34086608886719,31.597261428833008,86.79075622558594
2020-02-04,0.0,66.89178466796875,32.930023193359375,96.30806732177734
2020-02-05,0.0,80.78010559082031,45.22797775268555,107.86432647705078
2020-02-06,0.0,101.92428588867188,63.875213623046875,135.13865661621094
2020-02-07,0.0,107.23226165771484,62.97505187988281,143.9420623779297
2020-02-08,0.0,136.36415100097656,97.04605102539062,170.4403839111328
2020-02-09,0.0,45.76614761352539,13.18852710723877,71.00630187988281
2020-02-10,0.0,61.34086608886719,31.597261428833008,86.79075622558594
2020-02-11,0.0,66.89178466796875,32.930023193359375,96.30806732177734
2020-02-12,0.0,80.78010559082031,45.22797775268555,107.86432647705078
2020-02-13,0.0,101.92428588867188,63.875213623046875,135.13865661621094
2020-02-14,0.0,107.23226165771484,62.97505187988281,143.9420623779297
2020-02-15,0.0,136.36415100097656,97.04605102539062,170.4403839111328
2020-02-16,0.0,45.76614761352539,13.18852710723877,71.00630187988281
2020-02-17,0.0,61.34086608886719,31.597261428833008,86.79075622558594
2020-02-18,0.0,66.89178466796875,32.930023193359375,96.30806732177734
2020-02-19,0.0,80.78010559082031,45.22797775268555,107.86432647705078
2020-02-20,0.0,101.92428588867188,63.875213623046875,135.13865661621094
2020-02-21,0.0,107.23226165771484,62.97505187988281,143.9420623779297
2020-02-22,0.0,136.36415100097656,97.04605102539062,170.4403839111328
2020-02-23,0.0,45.76614761352539,13.18852710723877,71.00630187988281
2020-02-24,0.0,61.34086608886719,31.597261428833008,86.79075622558594
2020-02-25,0.0,66.89178466796875,32.930023193359375,96.30806732177734
2020-02-26,0.0,80.78010559082031,45.22797775268555,107.86432647705078
2020-02-27,0.0,101.92428588867188,63.875213623046875,135.13865661621094
2020-02-28,0.0,107.23226165771484,62.97505187988281,143.9420623779297
2020-02-29,0.0,136.36415100097656,97.04605102539062,170.4403839111328
2020-03-01,0.0,45.76614761352539,13.18852710723877,71.00630187988281
2020-03-02,0.0,61.34086608886719,31.597261428833008,86.79075622558594
2020-03-03,0.0,66.89178466796875,32.930023193359375,96.30806732177734
2020-03-04,0.0,80.78010559082031,45.22797775268555,107.86432647705078
2020-03-05,0.0,101.92428588867188,63.875213623046875,135.13865661621094
2020-03-06,0.0,107.23226165771484,62.97505187988281,143.9420623779297
2020-03-07,0.0,136.36415100097656,97.04605102539062,170.4403839111328
2020-03-08,0.0,45.76614761352539,13.18852710723877,71.00630187988281
