,Maine,forecast,interval_low,interval_high
2020-01-22,0.0,0.023619424551725388,-0.007069826126098633,0.04466825723648071
2020-01-23,0.0,0.5837828516960144,-1.5345187187194824,4.505284786224365
2020-01-24,0.0,0.011806678958237171,-0.06797462701797485,0.06513506174087524
2020-01-25,0.0,-0.06367667019367218,-0.3410032391548157,0.052071183919906616
2020-01-26,0.0,-0.24026663601398468,-1.2540252208709717,0.02907547354698181
2020-01-27,0.0,0.00642163772135973,-0.003608405590057373,0.01419636607170105
2020-01-28,0.0,-0.2083750069141388,-0.9725455045700073,-0.007572472095489502
2020-01-29,0.0,0.00676338654011488,-0.013887166976928711,0.054981499910354614
2020-01-30,0.0,0.6872085332870483,-0.011128365993499756,3.435682773590088
2020-01-31,0.0,-0.35622963309288025,-1.7974069118499756,0.008796393871307373
2020-02-01,0.0,0.002896946622058749,-0.010826289653778076,0.017442017793655396
2020-02-02,0.0,1.4334120750427246,-0.028384685516357422,6.900355815887451
2020-02-03,0.0,0.003166794776916504,-0.015256941318511963,0.02263742685317993
2020-02-04,0.0,-0.012361359782516956,-0.02593010663986206,-0.0025860071182250977
2020-02-05,0.0,-0.12514477968215942,-0.6011056900024414,0.025497615337371826
2020-02-06,0.0,0.059577781707048416,0.038287848234176636,0.10478922724723816
2020-02-07,0.0,-0.5066250562667847,-2.30478835105896,0.026467621326446533
2020-02-08,0.0,-0.6581028699874878,-2.688802719116211,-0.021438121795654297
2020-02-09,0.0,0.009856450371444225,-0.08175069093704224,0.0619962215423584
2020-02-10,0.0,-0.019460897892713547,-0.0952942967414856,0.024832546710968018
2020-02-11,0.0,-0.001139479922130704,-0.021740257740020752,0.030829668045043945
2020-02-12,0.0,0.022152429446578026,-0.019030451774597168,0.052604734897613525
2020-02-13,0.0,-0.04369130730628967,-0.1911407709121704,0.041458696126937866
2020-02-14,0.0,-0.0010720908176153898,-0.07546097040176392,0.11646643280982971
2020-02-15,0.0,0.05477234721183777,0.0016953051090240479,0.1904435157775879
2020-02-16,0.0,0.005418342538177967,-0.014233529567718506,0.02303081750869751
2020-02-17,0.0,0.153206467628479,-1.381476640701294,1.1884799003601074
2020-02-18,0.0,0.013044869527220726,-0.03732413053512573,0.04392772912979126
2020-02-19,0.0,0.009921461343765259,-0.04747569561004639,0.04329004883766174
2020-02-20,0.0,0.1754108965396881,-0.0331798791885376,0.8871985077857971
2020-02-21,0.0,-0.0041657863184809685,-0.058983564376831055,0.04036179184913635
2020-02-22,0.0,0.08550208806991577,-0.04957503080368042,0.4085647463798523
2020-02-23,0.0,-0.2549673020839691,-1.0895001888275146,0.003148376941680908
2020-02-24,0.0,-0.020179349929094315,-0.1351972222328186,0.04064667224884033
2020-02-25,0.0,-0.04580089449882507,-0.2872352600097656,0.0740818977355957
2020-02-26,0.0,-0.028497254475951195,-0.05696725845336914,0.01966923475265503
2020-02-27,0.0,-0.08415888994932175,-0.4093257784843445,0.02587425708770752
2020-02-28,0.0,-0.08851278573274612,-0.3471295237541199,0.04776322841644287
2020-02-29,0.0,-0.006004941649734974,-0.01878911256790161,0.016609668731689453
2020-03-01,0.0,0.012196004390716553,-0.0003432035446166992,0.025118112564086914
2020-03-02,0.0,1.33218252658844,-0.0005071759223937988,6.592389106750488
2020-03-03,0.0,-0.027917157858610153,-0.047090232372283936,-0.014401257038116455
2020-03-04,0.0,-0.001776665449142456,-0.04061096906661987,0.020806998014450073
2020-03-05,0.0,0.15838377177715302,-0.023221731185913086,0.640697181224823
2020-03-06,0.0,0.3664007782936096,-0.1091727614402771,1.9348435401916504
2020-03-07,0.0,0.008987486362457275,-0.0976455807685852,0.16374272108078003
2020-03-08,0.0,-0.21481385827064514,-1.2906947135925293,0.2106817364692688
2020-03-09,0.0,0.11078006029129028,-0.2205597162246704,0.7982039451599121
2020-03-10,0.0,0.0028844058979302645,-0.015663087368011475,0.02012774348258972
2020-03-11,0.0,0.3429758548736572,0.024691730737686157,1.4993922710418701
2020-03-12,1.0,1.0650484561920166,0.37799543142318726,2.221508026123047
2020-03-13,3.0,2.8149867057800293,1.9217439889907837,3.0645101070404053
2020-03-14,3.0,2.804312229156494,2.4441559314727783,2.9822628498077393
2020-03-15,2.0,8.070584297180176,1.9914673566818237,32.111289978027344
2020-03-16,17.0,15.761726379394531,2.75480055809021,25.022682189941406
2020-03-17,26.0,29.306705474853516,25.922868728637695,35.0294303894043
2020-03-18,35.0,38.590797424316406,34.911590576171875,53.064910888671875
2020-03-19,52.0,52.62757110595703,51.88303756713867,55.11178207397461
2020-03-20,56.0,55.98280715942383,55.89999771118164,56.10934066772461
2020-03-21,70.0,70.0261001586914,69.95073699951172,70.13434600830078
2020-03-22,89.0,98.86177825927734,88.89830017089844,110.21952819824219
2020-03-23,107.0,109.1370849609375,106.79773712158203,117.78109741210938
2020-03-24,118.0,127.79270935058594,117.95280456542969,143.7965087890625
2020-03-25,142.0,141.98300170898438,141.7643585205078,142.15032958984375
2020-03-26,155.0,159.4599151611328,154.8319854736328,167.50296020507812
2020-03-27,168.0,167.9817657470703,167.83026123046875,168.12567138671875
2020-03-28,211.0,219.04611206054688,210.9365692138672,251.09165954589844
2020-03-29,253.0,256.7818908691406,252.9125213623047,271.9434814453125
2020-03-30,275.0,274.9898986816406,274.9599609375,275.0273742675781
2020-03-31,303.0,297.5230712890625,275.60516357421875,303.01898193359375
2020-04-01,303.0,303.0083923339844,302.9149475097656,303.0711975097656
2020-04-02,376.0,375.9125061035156,375.828125,376.01446533203125
2020-04-03,432.0,442.2203063964844,432.03826904296875,458.32135009765625
