,Virginia,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,5.795613503546565,5.795613503546565,5.795613503546565
2020-01-25,0.0,8.018637856423421,8.018637856423421,8.018637856423421
2020-01-26,0.0,10.67473123124799,10.67473123124799,10.67473123124799
2020-01-27,0.0,12.138635174919091,12.138635174919091,12.138635174919091
2020-01-28,0.0,14.744949712477048,14.744949712477048,14.744949712477048
2020-01-29,0.0,14.848415369137207,14.848415369137207,14.848415369137207
2020-01-30,0.0,17.22262725727921,17.22262725727921,17.22262725727921
2020-01-31,0.0,14.325876991802193,14.325876991802193,14.325876991802193
2020-02-01,0.0,15.181994398566147,15.181994398566147,15.181994398566147
2020-02-02,0.0,16.11870112646538,16.11870112646538,16.11870112646538
2020-02-03,0.0,14.382247447387623,14.382247447387623,14.382247447387623
2020-02-04,0.0,15.341814402484282,15.341814402484282,15.341814402484282
2020-02-05,0.0,15.509463252443222,15.509463252443222,15.509463252443222
2020-02-06,0.0,14.557417016623408,14.557417016623408,14.557417016623408
2020-02-07,0.0,15.372046026097255,15.372046026097255,15.372046026097255
2020-02-08,0.0,15.182432027806104,15.182432027806104,15.182432027806104
2020-02-09,0.0,14.736975969020154,14.736975969020154,14.736975969020154
2020-02-10,0.0,15.32670950207396,15.32670950207396,15.32670950207396
2020-02-11,0.0,15.024080404215322,15.024080404215322,15.024080404215322
2020-02-12,0.0,14.879767926673775,14.879767926673775,14.879767926673775
2020-02-13,0.0,15.251881295466706,15.251881295466706,15.251881295466706
2020-02-14,0.0,14.963116841245913,14.963116841245913,14.963116841245913
2020-02-15,0.0,14.976504702226652,14.976504702226652,14.976504702226652
2020-02-16,0.0,15.177345619019405,15.177345619019405,15.177345619019405
2020-02-17,0.0,14.953736233175153,14.953736233175153,14.953736233175153
2020-02-18,0.0,15.032660500065997,15.032660500065997,15.032660500065997
2020-02-19,0.0,15.117410303866187,15.117410303866187,15.117410303866187
2020-02-20,0.0,14.967585553605979,14.967585553605979,14.967585553605979
2020-02-21,0.0,15.059103855096932,15.059103855096932,15.059103855096932
2020-02-22,0.0,15.075751242651268,15.075751242651268,15.075751242651268
2020-02-23,0.0,14.988383935183283,14.988383935183283,14.988383935183283
2020-02-24,0.0,15.066873300106607,15.066873300106607,15.066873300106607
2020-02-25,0.0,15.050376089529351,15.050376089529351,15.050376089529351
2020-02-26,0.0,15.007884177868771,15.007884177868771,15.007884177868771
2020-02-27,0.0,15.064763057354824,15.064763057354824,15.064763057354824
2020-02-28,0.0,15.037165441006273,15.037165441006273,15.037165441006273
2020-02-29,0.0,15.022824848519626,15.022824848519626,15.022824848519626
2020-03-01,0.0,15.058713776882207,15.058713776882207,15.058713776882207
2020-03-02,0.0,15.031892552072986,15.031892552072986,15.031892552072986
2020-03-03,0.0,15.032726176313346,15.032726176313346,15.032726176313346
2020-03-04,0.0,15.052157048275706,15.052157048275706,15.052157048275706
2020-03-05,0.0,15.031128445414158,15.031128445414158,15.031128445414158
2020-03-06,0.0,15.038407914929472,15.038407914929472,15.038407914929472
2020-03-07,0.0,15.04670575451594,15.04670575451594,15.04670575451594
2020-03-08,2.0,17.032476246732003,17.032476246732003,17.032476246732003
2020-03-09,0.0,13.972264744772296,13.972264744772296,13.972264744772296
2020-03-10,6.0,21.14656086609266,21.14656086609266,21.14656086609266
2020-03-11,1.0,13.227584927272485,13.227584927272485,13.227584927272485
2020-03-12,3.0,17.922061142735203,17.922061142735203,17.922061142735203
2020-03-13,15.0,30.07062788961316,30.07062788961316,30.07062788961316
2020-03-14,10.0,17.567293987965318,17.567293987965318,17.567293987965318
2020-03-15,0.0,12.740238575492981,12.740238575492981,12.740238575492981
2020-03-16,12.0,30.147931929554986,30.147931929554986,30.147931929554986
2020-03-17,18.0,31.373344096923955,31.373344096923955,31.373344096923955
2020-03-18,12.0,20.527607564232664,20.527607564232664,20.527607564232664
2020-03-19,24.0,37.37965552332242,37.37965552332242,37.37965552332242
2020-03-20,20.0,30.218428512614263,30.218428512614263,30.218428512614263
2020-03-21,34.0,43.98021996125804,43.98021996125804,43.98021996125804
2020-03-22,63.0,67.95585472495878,67.95585472495878,67.95585472495878
2020-03-23,34.0,28.488048874753602,28.488048874753602,28.488048874753602
2020-03-24,39.0,51.28529571481417,51.28529571481417,51.28529571481417
2020-03-25,103.0,115.14636120808476,115.14636120808476,115.14636120808476
2020-03-26,70.0,53.77262683611263,53.77262683611263,53.77262683611263
2020-03-27,141.0,143.03515206015032,143.03515206015032,143.03515206015032
2020-03-28,133.0,106.21319759372143,106.21319759372143,106.21319759372143
2020-03-29,150.0,137.8790234538506,137.8790234538506,137.8790234538506
2020-03-30,130.0,115.86202745230992,115.86202745230992,115.86202745230992
2020-03-31,229.0,230.4766656499682,230.4766656499682,230.4766656499682
2020-04-01,234.0,215.3636390150728,215.3636390150728,215.3636390150728
2020-04-02,223.0,167.9663590170032,167.9663590170032,167.9663590170032
2020-04-03,306.0,314.46096891074546,314.46096891074546,314.46096891074546
2020-04-04,395.0,347.3319094140085,347.3319094140085,347.3319094140085
2020-04-05,233.0,150.49612434143273,150.49612434143273,150.49612434143273
2020-04-06,238.0,273.61564666753566,273.61564666753566,273.61564666753566
2020-04-07,457.0,514.1702471058493,514.1702471058493,514.1702471058493
2020-04-08,310.0,219.19454758753335,219.19454758753335,219.19454758753335
2020-04-09,397.0,409.6269820945752,409.6269820945752,409.6269820945752
2020-04-10,467.0,458.0070084298926,458.0070084298926,458.0070084298926
2020-04-11,568.0,510.43590220447106,510.43590220447106,510.43590220447106
