,Wyoming,forecast,interval_low,interval_high
2020-03-28,82.0,2059.0591459987722,,
2020-03-29,86.0,2065.0446000925713,,
2020-03-30,94.0,2073.5158337194753,,
2020-03-31,109.0,2070.5502828798485,,
2020-04-01,130.0,2063.325553946527,,
2020-04-02,150.0,2058.153362220994,,
2020-04-03,162.0,2060.8226690275983,,
2020-04-04,187.0,2070.0789976440246,,
2020-04-05,197.0,2058.877716473191,,
2020-04-06,210.0,2073.336550052858,,
2020-04-07,216.0,2071.505334997098,,
2020-04-08,221.0,2078.155422202035,,
2020-04-09,230.0,2077.8680719263843,,
2020-04-10,239.0,2073.5201726647497,,
2020-04-11,261.0,2072.3409924366283,,
2020-04-12,270.0,2060.045864373608,,
2020-04-13,275.0,2072.6541247161135,,
2020-04-14,282.0,2077.262771846676,,
2020-04-15,287.0,2075.057907717246,,
2020-04-16,296.0,2075.3311586984073,,
2020-04-17,305.0,2071.263139275248,,
2020-04-18,309.0,2070.8620543665115,,
2020-04-19,313.0,2075.345711641741,,
2020-04-20,317.0,2075.213530567661,,
2020-04-21,443.0,2074.337733015425,,
2020-04-22,447.0,1959.7697772611214,,
2020-04-23,453.0,2079.3144822846975,,
2020-04-24,473.0,2088.601291729466,,
2020-04-25,491.0,2075.6962633431403,,
2020-04-26,502.0,2069.240341002348,,
2020-04-27,520.0,2079.5678224754697,,
2020-04-28,536.0,2072.4950642907656,,
2020-04-29,545.0,2072.866774531744,,
2020-04-30,559.0,2079.0776830223585,,
2020-05-01,566.0,2074.071881930598,,
2020-05-02,579.0,2079.255008067869,,
2020-05-03,586.0,2072.804385446682,,
2020-05-04,596.0,2077.693995528714,,
2020-05-05,604.0,2073.9962767394363,,
2020-05-06,631.0,2075.295698870351,,
2020-05-07,635.0,2056.6582717958486,,
2020-05-08,644.0,2078.648611523631,,
2020-05-09,653.0,2074.87673261957,,
2020-05-10,662.0,2074.2035151833907,,
2020-05-11,669.0,2072.5381551423384,,
2020-05-12,675.0,2074.806485912287,,
2020-05-13,688.0,2075.0866129300807,,
2020-05-14,701.0,2067.9003557069373,,
2020-05-15,716.0,2067.5482485748157,,
2020-05-16,741.0,2066.186101926656,,
2020-05-17,754.0,2057.5673805625297,,
2020-05-18,766.0,2069.6949506782676,,
2020-05-19,776.0,2072.0897391970766,,
2020-05-20,787.0,2074.0583751310974,,
2020-05-21,801.0,2072.237092215477,,
2020-05-22,803.0,2069.372382293076,,
2020-05-23,813.0,2080.419688529738,,
2020-05-24,838.0,2072.641587233248,,
2020-05-25,843.0,2057.5252220927414,,
2020-05-26,850.0,2076.377308348286,,
2020-05-27,860.0,2076.117173573911,,
2020-05-28,876.0,2072.380412150107,,
2020-05-29,891.0,2065.29650077296,,
2020-05-30,898.0,2067.049547009254,,
2020-05-31,903.0,2075.1925794686936,,
2020-06-01,910.0,2077.2011519768776,,
2020-06-02,912.0,2074.290246692248,,
2020-06-03,915.0,2077.96929512789,,
2020-06-04,921.0,2076.4765427314865,,
2020-06-05,933.0,2072.675259612507,,
2020-06-06,939.0,2066.2086854477525,,
2020-06-07,947.0,2072.0254932506195,,
2020-06-08,960.0,2070.5624580040594,,
2020-06-09,970.0,2065.7656886379327,,
2020-06-10,980.0,2068.537724938177,,
2020-06-11,1009.0,2069.397904868082,,
2020-06-12,1027.0,2051.951634742966,,
2020-06-13,1050.0,2063.1263766697853,,
2020-06-14,1060.0,2060.9219987313386,,
2020-06-15,1079.0,2074.6526738098673,,
2020-06-16,1089.0,2066.2212235146285,,
2020-06-17,1114.0,2074.891437394185,,
2020-06-18,1144.0,2060.6840179735996,,
2020-06-19,1173.0,2056.6812371576434,,
2020-06-20,1179.0,2058.914167419356,,
2020-06-21,1197.0,2083.0297904670374,,
2020-06-22,1230.0,2071.947797983145,,
2020-06-23,1254.0,2056.4118581789353,,
2020-06-24,1282.0,2065.056066152443,,
2020-06-25,1326.0,2064.054651650287,,
2020-06-26,1368.0,2049.8616396075745,,
2020-06-27,1392.0,2052.91032179781,,
2020-06-28,1417.0,2073.2076481295762,,
2020-06-29,1450.0,2074.076011565519,,
2020-06-30,1487.0,2065.568486339449,,
2020-07-01,1514.0,2061.5032967613583,,
2020-07-02,1550.0,2072.4209299546105,,
2020-07-03,1582.0,2064.9285030428973,,
2020-07-04,1606.0,2068.579415486878,,
2020-07-05,1634.0,2076.454821580807,,
2020-07-06,1675.0,2073.0969827348154,,
2020-07-07,1709.0,2059.82027900379,,
2020-07-08,1740.0,2066.6818712058816,,
2020-07-09,1769.0,2071.139637707928,,
2020-07-10,1790.0,2073.4572708059777,,
2020-07-11,1839.0,2080.1699890384243,,
2020-07-12,1862.0,2053.4332310122586,,
2020-07-13,1903.0,2077.6412332481004,,
2020-07-14,1950.0,2062.1964974232205,,
2020-07-15,1985.0,2057.047751133571,,
2020-07-16,2026.0,2068.4694910397493,,
2020-07-17,2069.0,2065.630529622715,,
2020-07-18,2108.0,2063.6781763159834,,
2020-07-19,,2145.933484717098,2124.6781970462653,2167.188772387931
2020-07-20,,2185.149881224089,2154.0653944054134,2216.2343680427643
2020-07-21,,2224.5349802787555,2185.359344864598,2263.710615692913
2020-07-22,,2263.910059507094,2216.2855935981547,2311.5345254160334
2020-07-23,,2303.624793622126,2246.948228384056,2360.301358860196
2020-07-24,,2343.635819727553,2277.996630663885,2409.2750087912214
2020-07-25,,2383.8220177231856,2308.903182959375,2458.740852486996
