,Grand Princess,forecast,interval_low,interval_high
2020-01-23,0.0,0.5768794476418581,0.5768794476418581,0.5768794476418581
2020-01-24,0.0,0.5819018333556217,0.5819018333556217,0.5819018333556217
2020-01-25,0.0,0.5869210506095031,0.5869210506095031,0.5869210506095031
2020-01-26,0.0,0.5903084805718232,0.5903084805718232,0.5903084805718232
2020-01-27,0.0,0.5945111350868917,0.5945111350868917,0.5945111350868917
2020-01-28,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-01-29,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-01-30,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-01-31,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-01,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-02,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-03,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-04,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-05,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-06,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-07,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-08,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-09,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-10,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-11,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-12,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-13,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-14,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-15,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-16,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-17,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-18,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-19,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-20,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-21,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-22,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-23,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-24,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-25,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-26,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-27,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-28,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-02-29,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-01,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-02,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-03,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-04,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-05,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-06,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-07,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-08,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-09,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-10,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-11,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-12,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-13,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-14,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-15,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-03-16,20.0,20.614249645798253,20.614249645798253,20.614249645798253
2020-03-17,1.0,1.4320802838640558,1.4320802838640558,1.4320802838640558
2020-03-18,0.0,0.42650718791343434,0.42650718791343434,0.42650718791343434
2020-03-19,1.0,1.4828277550252982,1.4828277550252982,1.4828277550252982
2020-03-20,1.0,1.450736958893198,1.450736958893198,1.450736958893198
2020-03-21,0.0,0.0,0.0,0.0
2020-03-22,7.0,7.565992190297911,7.565992190297911,7.565992190297911
2020-03-23,-2.0,0.0,0.0,0.0
2020-03-24,0.0,0.5293294536568671,0.5293294536568671,0.5293294536568671
2020-03-25,0.0,0.5560402313810625,0.5560402313810625,0.5560402313810625
2020-03-26,0.0,0.5746007666911508,0.5746007666911508,0.5746007666911508
2020-03-27,0.0,0.396668891595348,0.396668891595348,0.396668891595348
2020-03-28,75.0,75.68065213869177,75.68065213869177,75.68065213869177
2020-03-29,0.0,0.0,0.0,0.0
2020-03-30,0.0,0.0,0.0,0.0
2020-03-31,0.0,0.1549114284849375,0.1549114284849375,0.1549114284849375
2020-04-01,0.0,0.05820073613261978,0.05820073613261978,0.05820073613261978
2020-04-02,0.0,0.0,0.0,0.0
2020-04-03,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-04-04,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-04-05,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
2020-04-06,0.0,0.6142496457982549,0.6142496457982549,0.6142496457982549
