,Puerto Rico,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.03768816642935027,,
2020-01-26,0.0,0.06355239341950199,,
2020-01-27,0.0,0.09223095763332925,,
2020-01-28,0.0,0.1303951479559871,,
2020-01-29,0.0,0.16275330431931864,,
2020-01-30,0.0,0.22281499734316393,,
2020-01-31,0.0,0.3211381914852811,,
2020-02-01,0.0,0.4194613856273943,,
2020-02-02,0.0,0.5177845797695031,,
2020-02-03,0.0,0.6161077739116089,,
2020-02-04,0.0,0.7144309680537135,,
2020-02-05,0.0,0.8127541621958164,,
2020-02-06,0.0,0.9110773563379164,,
2020-02-07,0.0,1.009400550480015,,
2020-02-08,0.0,1.1077237446221113,,
2020-02-09,0.0,1.2060469387642072,,
2020-02-10,0.0,1.3043701329063013,,
2020-02-11,0.0,1.4026933270483932,,
2020-02-12,0.0,1.501016521190483,,
2020-02-13,0.0,1.5993397153325684,,
2020-02-14,0.0,1.697662909474649,,
2020-02-15,0.0,1.795986103616727,,
2020-02-16,0.0,1.8943092977588005,,
2020-02-17,0.0,1.9926324919008704,,
2020-02-18,0.0,2.0909556860429372,,
2020-02-19,0.0,2.1892788801849994,,
2020-02-20,0.0,2.287602074327061,,
2020-02-21,0.0,2.3859252684691232,,
2020-02-22,0.0,2.4842484626111894,,
2020-02-23,0.0,2.582571656753254,,
2020-02-24,0.0,2.6808948508953145,,
2020-02-25,0.0,2.7792180450373714,,
2020-02-26,0.0,2.877541239179424,,
2020-02-27,0.0,2.9758644333214734,,
2020-02-28,0.0,3.0741876274635174,,
2020-02-29,0.0,3.172510821605552,,
2020-03-01,0.0,3.2708340157475746,,
2020-03-02,0.0,3.3691572098895834,,
2020-03-03,0.0,3.4674804040315785,,
2020-03-04,0.0,3.5658035981735607,,
2020-03-05,0.0,3.6641267923155376,,
2020-03-06,0.0,3.7624499864575127,,
2020-03-07,0.0,3.8607731805994914,,
2020-03-08,0.0,3.959096374741479,,
2020-03-09,0.0,4.057419568883472,,
2020-03-10,0.0,4.155742763025466,,
2020-03-11,0.0,4.25406595716746,,
2020-03-12,0.0,4.352389151309455,,
2020-03-13,0.0,4.450712345451446,,
2020-03-14,0.0,4.549035539593432,,
2020-03-15,0.0,4.647358733735412,,
2020-03-16,5.0,9.745681927877378,,
2020-03-17,0.0,-4.957731014097325,,
2020-03-18,0.0,10.506585216695225,,
2020-03-19,0.0,5.3465053165604814,,
2020-03-20,9.0,14.965266120501528,,
2020-03-21,7.0,-4.739174860198592,,
2020-03-22,2.0,5.344977569394565,,
2020-03-23,8.0,19.021705351771423,,
