,North Carolina,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.145548015832901,0.0,0.5585852265357971
2020-02-03,0.0,0.10603747516870499,0.0,0.19751927256584167
2020-02-04,0.0,0.18595504760742188,0.0,0.290851891040802
2020-02-05,0.0,0.3502054512500763,0.17740699648857117,0.5022183656692505
2020-02-06,0.0,0.2630632519721985,0.10933613777160645,0.5837512016296387
2020-02-07,0.0,0.6534767150878906,0.3187079131603241,1.14292573928833
2020-02-08,0.0,0.688163697719574,0.2515120804309845,1.140183687210083
2020-02-09,0.0,0.145548015832901,0.0,0.5585852265357971
2020-02-10,0.0,0.10603747516870499,0.0,0.19751927256584167
2020-02-11,0.0,0.18595504760742188,0.0,0.290851891040802
2020-02-12,0.0,0.3502054512500763,0.17740699648857117,0.5022183656692505
2020-02-13,0.0,0.2630632519721985,0.10933613777160645,0.5837512016296387
2020-02-14,0.0,0.6534767150878906,0.3187079131603241,1.14292573928833
2020-02-15,0.0,0.688163697719574,0.2515120804309845,1.140183687210083
2020-02-16,0.0,0.145548015832901,0.0,0.5585852265357971
2020-02-17,0.0,0.10603747516870499,0.0,0.19751927256584167
2020-02-18,0.0,0.18595504760742188,0.0,0.290851891040802
2020-02-19,0.0,0.3502054512500763,0.17740699648857117,0.5022183656692505
2020-02-20,0.0,0.2630632519721985,0.10933613777160645,0.5837512016296387
2020-02-21,0.0,0.6534767150878906,0.3187079131603241,1.14292573928833
2020-02-22,0.0,0.688163697719574,0.2515120804309845,1.140183687210083
2020-02-23,0.0,0.145548015832901,0.0,0.5585852265357971
2020-02-24,0.0,0.10603747516870499,0.0,0.19751927256584167
2020-02-25,0.0,0.18595504760742188,0.0,0.290851891040802
2020-02-26,0.0,0.3502054512500763,0.17740699648857117,0.5022183656692505
2020-02-27,0.0,0.2630632519721985,0.10933613777160645,0.5837512016296387
2020-02-28,0.0,0.6534767150878906,0.3187079131603241,1.14292573928833
2020-02-29,0.0,0.688163697719574,0.2515120804309845,1.140183687210083
2020-03-01,0.0,0.145548015832901,0.0,0.5585852265357971
2020-03-02,0.0,0.10603747516870499,0.0,0.19751927256584167
2020-03-03,0.0,0.18595504760742188,0.0,0.290851891040802
2020-03-04,0.0,0.3502054512500763,0.17740699648857117,0.5022183656692505
2020-03-05,0.0,0.2630632519721985,0.10933613777160645,0.5837512016296387
2020-03-06,0.0,0.6534767150878906,0.3187079131603241,1.14292573928833
2020-03-07,0.0,0.688163697719574,0.2515120804309845,1.140183687210083
2020-03-08,0.0,0.145548015832901,0.0,0.5585852265357971
2020-03-09,0.0,0.10603747516870499,0.0,0.19751927256584167
2020-03-10,0.0,0.18595504760742188,0.0,0.290851891040802
2020-03-11,0.0,0.3502054512500763,0.17740699648857117,0.5022183656692505
2020-03-12,0.0,0.2630632519721985,0.10933613777160645,0.5837512016296387
2020-03-13,0.0,0.6534767150878906,0.3187079131603241,1.14292573928833
2020-03-14,0.0,0.688163697719574,0.2515120804309845,1.140183687210083
2020-03-15,0.0,0.145548015832901,0.0,0.5585852265357971
2020-03-16,0.0,0.10603747516870499,0.0,0.19751927256584167
2020-03-17,0.0,0.18595504760742188,0.0,0.290851891040802
2020-03-18,0.0,0.3502054512500763,0.17740699648857117,0.5022183656692505
2020-03-19,0.0,0.2630632519721985,0.10933613777160645,0.5837512016296387
2020-03-20,0.0,0.6534767150878906,0.3187079131603241,1.14292573928833
2020-03-21,0.0,0.688163697719574,0.2515120804309845,1.140183687210083
2020-03-22,0.0,0.145548015832901,0.0,0.5585852265357971
2020-03-23,0.0,0.10603747516870499,0.0,0.19751927256584167
2020-03-24,0.0,0.18595504760742188,0.0,0.290851891040802
2020-03-25,2.0,0.3502054512500763,0.17740699648857117,0.5022183656692505
2020-03-26,1.0,0.2630632519721985,0.10933613777160645,0.5837512016296387
2020-03-27,1.0,0.6534767150878906,0.3187079131603241,1.14292573928833
2020-03-28,1.0,0.688163697719574,0.2515120804309845,1.140183687210083
2020-03-29,2.0,0.3980948030948639,0.23820102214813232,0.8099721670150757
2020-03-30,0.0,0.34246453642845154,0.15030169486999512,0.5130417943000793
2020-03-31,5.0,0.055947355926036835,0.0,0.1521218717098236
2020-04-01,2.0,0.27054888010025024,0.05869433283805847,0.4475771486759186
2020-04-02,7.0,0.6815871000289917,0.5156449675559998,0.9828549027442932
2020-04-03,6.0,1.1212823390960693,0.7837061285972595,1.602487564086914
2020-04-04,7.0,1.2356846332550049,0.7842537760734558,1.7118815183639526
2020-04-05,4.0,3.3403079509735107,2.8769538402557373,3.7816474437713623
2020-04-06,7.0,3.16272234916687,3.0004453659057617,3.4510247707366943
2020-04-07,8.0,4.081495761871338,3.318110942840576,4.652587413787842
2020-04-08,13.0,4.625906944274902,4.053153038024902,5.326643466949463
2020-04-09,10.0,5.70330810546875,5.5199480056762695,5.856172561645508
2020-04-10,7.0,5.664153099060059,5.226544380187988,6.16605281829834
2020-04-11,6.0,5.145909309387207,4.8975653648376465,5.446553707122803
2020-04-12,0.0,13.264025688171387,12.649785995483398,14.055912017822266
2020-04-13,5.0,12.476693153381348,11.608574867248535,13.136425018310547
2020-04-14,18.0,12.217059135437012,10.993997573852539,13.303265571594238
2020-04-15,18.0,11.699213027954102,10.113094329833984,13.642571449279785
