,Montana,forecast,interval_low,interval_high
2020-01-23,0.0,0.0004710793436970562,-0.0010287165641784668,0.0032160580158233643
2020-01-24,0.0,0.0019038260215893388,-0.00014591217041015625,0.006945371627807617
2020-01-25,0.0,0.0021678090561181307,-0.0011490583419799805,0.011694371700286865
2020-01-26,0.0,-0.00025548337725922465,-0.001533210277557373,0.0021676719188690186
2020-01-27,0.0,0.011445981450378895,-0.0011100172996520996,0.060200035572052
2020-01-28,0.0,0.0006306350114755332,-0.0009897947311401367,0.0018715262413024902
2020-01-29,0.0,0.011440515518188477,-0.0006254911422729492,0.055411338806152344
2020-01-30,0.0,0.00035784245119430125,-0.0006233453750610352,0.0026736557483673096
2020-01-31,0.0,-0.0004682779253926128,-0.010571479797363281,0.007919490337371826
2020-02-01,0.0,0.0005525171873159707,-0.0012955665588378906,0.0015009641647338867
2020-02-02,0.0,-0.0008402347448281944,-0.002065598964691162,-0.00015276670455932617
2020-02-03,0.0,-0.006282687187194824,-0.015985429286956787,2.771615982055664e-05
2020-02-04,0.0,0.00036316513433121145,-0.00036466121673583984,0.001175224781036377
2020-02-05,0.0,-0.0024927794001996517,-0.007840931415557861,0.0006648600101470947
2020-02-06,0.0,0.00041440725908614695,-0.008027136325836182,0.012422502040863037
2020-02-07,0.0,0.00010566115088295192,-0.0028949975967407227,0.0017342567443847656
2020-02-08,0.0,-0.0003142356872558594,-0.0018696784973144531,0.0005512535572052002
2020-02-09,0.0,-0.0033977865241467953,-0.008416056632995605,0.0005903244018554688
2020-02-10,0.0,0.0016588211292400956,0.0005735456943511963,0.0036222636699676514
2020-02-11,0.0,-0.0009671211009845138,-0.0013856291770935059,-0.0002415180206298828
2020-02-12,0.0,-0.0020070255268365145,-0.00962299108505249,0.0011578202247619629
2020-02-13,0.0,0.0009755968931131065,-0.0031049251556396484,0.0034974515438079834
2020-02-14,0.0,-0.0017933726776391268,-0.003247499465942383,-0.00036972761154174805
2020-02-15,0.0,0.0005133390659466386,-0.0006240010261535645,0.0014444589614868164
2020-02-16,0.0,0.0015180110931396484,-0.00043463706970214844,0.007304549217224121
2020-02-17,0.0,0.00255318870767951,-0.001294851303100586,0.014671295881271362
2020-02-18,0.0,0.0018522202735766768,-5.3942203521728516e-05,0.0033580660820007324
2020-02-19,0.0,-0.0013236940139904618,-0.0031955838203430176,0.00042679905891418457
2020-02-20,0.0,-0.0024664639495313168,-0.003700733184814453,-0.0016183257102966309
2020-02-21,0.0,0.001761454390361905,0.001299142837524414,0.002427339553833008
2020-02-22,0.0,0.00022599697695113719,-0.0027216672897338867,0.0019906163215637207
2020-02-23,0.0,-0.0026296197902411222,-0.011575758457183838,0.00014135241508483887
2020-02-24,0.0,-0.001976883504539728,-0.008304417133331299,-9.22083854675293e-05
2020-02-25,0.0,-0.0002068698377115652,-0.0013672113418579102,0.0005974471569061279
2020-02-26,0.0,7.175207429099828e-05,-0.00042724609375,0.0011664032936096191
2020-02-27,0.0,0.00955999456346035,0.00040087103843688965,0.029303759336471558
2020-02-28,0.0,0.001350486301817,-0.0007852315902709961,0.006392300128936768
2020-02-29,0.0,-0.0011843263637274504,-0.004323124885559082,8.609890937805176e-05
2020-03-01,0.0,0.0007412374252453446,9.417533874511719e-05,0.0027729570865631104
2020-03-02,0.0,0.00017667413339950144,-0.0010265111923217773,0.0010121464729309082
2020-03-03,0.0,-0.002200001385062933,-0.004502356052398682,0.00011351704597473145
2020-03-04,0.0,0.0020689070224761963,0.0003178119659423828,0.004418760538101196
2020-03-05,0.0,0.019566219300031662,0.00019213557243347168,0.09354177117347717
2020-03-06,0.0,-0.0005039751413278282,-0.0017108917236328125,0.0002836287021636963
2020-03-07,0.0,0.0004290163633413613,-0.0008071660995483398,0.0036091506481170654
2020-03-08,0.0,-0.0014536797534674406,-0.002554476261138916,0.0005653798580169678
2020-03-09,0.0,0.0034116983879357576,0.0001023411750793457,0.013464480638504028
2020-03-10,0.0,-0.001292407512664795,-0.0031509995460510254,0.0003377199172973633
2020-03-11,0.0,-0.0013432384002953768,-0.004610776901245117,0.00020301342010498047
2020-03-12,0.0,-0.003453755285590887,-0.01724344491958618,0.0014051198959350586
2020-03-13,0.0,-0.0001610040635569021,-0.003973126411437988,0.001864790916442871
2020-03-14,0.0,0.09081637859344482,-0.0009511709213256836,0.45050981640815735
2020-03-15,0.0,-0.0002870380994863808,-0.003498375415802002,0.001840144395828247
2020-03-16,0.0,-0.042280178517103195,-0.10815781354904175,0.0017155706882476807
2020-03-17,0.0,-0.011583572253584862,-0.05471128225326538,0.0005418658256530762
2020-03-18,0.0,0.03572335094213486,0.0007470250129699707,0.16418743133544922
2020-03-19,0.0,-0.001261293888092041,-0.0040087103843688965,5.513429641723633e-05
2020-03-20,0.0,-0.0014110446209087968,-0.0024111270904541016,-2.7000904083251953e-05
2020-03-21,0.0,0.001978296088054776,0.0003204047679901123,0.0037368834018707275
2020-03-22,0.0,-0.0007151543977670372,-0.002605617046356201,0.00020995736122131348
2020-03-23,0.0,-0.002680104924365878,-0.013705670833587646,0.0022972524166107178
2020-03-24,0.0,-0.002423363970592618,-0.014024555683135986,0.0012475848197937012
2020-03-25,0.0,-0.002064263913780451,-0.010706543922424316,0.001019984483718872
2020-03-26,0.0,0.36941713094711304,0.0016966462135314941,0.9816337823867798
2020-03-27,1.0,0.9959471821784973,0.9954445958137512,0.9966758489608765
2020-03-28,0.0,0.0019360840087756515,0.0008866488933563232,0.0033912360668182373
2020-03-29,0.0,-8.544325828552246e-05,-0.0007056593894958496,0.0003422200679779053
