,Guam,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,4.7690887451171875,2.8092875480651855,6.1623663902282715
2020-02-03,0.0,5.977755069732666,4.006038665771484,7.056746482849121
2020-02-04,0.0,6.734398365020752,4.609455585479736,8.085061073303223
2020-02-05,0.0,8.220988273620605,5.939902305603027,9.47154712677002
2020-02-06,0.0,9.429909706115723,7.334212779998779,10.652741432189941
2020-02-07,0.0,10.918177604675293,8.291892051696777,12.30103874206543
2020-02-08,0.0,13.293968200683594,10.328405380249023,14.943995475769043
2020-02-09,0.0,4.7690887451171875,2.8092875480651855,6.1623663902282715
2020-02-10,0.0,5.977755069732666,4.006038665771484,7.056746482849121
2020-02-11,0.0,6.734398365020752,4.609455585479736,8.085061073303223
2020-02-12,0.0,8.220988273620605,5.939902305603027,9.47154712677002
2020-02-13,0.0,9.429909706115723,7.334212779998779,10.652741432189941
2020-02-14,0.0,10.918177604675293,8.291892051696777,12.30103874206543
2020-02-15,0.0,13.293968200683594,10.328405380249023,14.943995475769043
2020-02-16,0.0,4.7690887451171875,2.8092875480651855,6.1623663902282715
2020-02-17,0.0,5.977755069732666,4.006038665771484,7.056746482849121
2020-02-18,0.0,6.734398365020752,4.609455585479736,8.085061073303223
2020-02-19,0.0,8.220988273620605,5.939902305603027,9.47154712677002
2020-02-20,0.0,9.429909706115723,7.334212779998779,10.652741432189941
2020-02-21,0.0,10.918177604675293,8.291892051696777,12.30103874206543
2020-02-22,0.0,13.293968200683594,10.328405380249023,14.943995475769043
2020-02-23,0.0,4.7690887451171875,2.8092875480651855,6.1623663902282715
2020-02-24,0.0,5.977755069732666,4.006038665771484,7.056746482849121
2020-02-25,0.0,6.734398365020752,4.609455585479736,8.085061073303223
2020-02-26,0.0,8.220988273620605,5.939902305603027,9.47154712677002
2020-02-27,0.0,9.429909706115723,7.334212779998779,10.652741432189941
2020-02-28,0.0,10.918177604675293,8.291892051696777,12.30103874206543
2020-02-29,0.0,13.293968200683594,10.328405380249023,14.943995475769043
2020-03-01,0.0,4.7690887451171875,2.8092875480651855,6.1623663902282715
2020-03-02,0.0,5.977755069732666,4.006038665771484,7.056746482849121
2020-03-03,0.0,6.734398365020752,4.609455585479736,8.085061073303223
2020-03-04,0.0,8.220988273620605,5.939902305603027,9.47154712677002
2020-03-05,0.0,9.429909706115723,7.334212779998779,10.652741432189941
2020-03-06,0.0,10.918177604675293,8.291892051696777,12.30103874206543
2020-03-07,0.0,13.293968200683594,10.328405380249023,14.943995475769043
