,Maine,forecast,interval_low,interval_high
2020-01-23,0.0,0.6092450600149828,0.6092450600149828,0.6092450600149828
2020-01-24,0.0,0.4226926393291637,0.4226926393291637,0.4226926393291637
2020-01-25,0.0,0.354583251575842,0.354583251575842,0.354583251575842
2020-01-26,0.0,0.2535015183032694,0.2535015183032694,0.2535015183032694
2020-01-27,0.0,0.2249006987235208,0.2249006987235208,0.2249006987235208
2020-01-28,0.0,0.18356212121926024,0.18356212121926024,0.18356212121926024
2020-01-29,0.0,0.14943125763850407,0.14943125763850407,0.14943125763850407
2020-01-30,0.0,0.12806071000484714,0.12806071000484714,0.12806071000484714
2020-01-31,0.0,0.11823511038665219,0.11823511038665219,0.11823511038665219
2020-02-01,0.0,0.11721461498083863,0.11721461498083863,0.11721461498083863
2020-02-02,0.0,0.12225210139517967,0.12225210139517967,0.12225210139517967
2020-02-03,0.0,0.13066448158127852,0.13066448158127852,0.13066448158127852
2020-02-04,0.0,0.13972600209011848,0.13972600209011848,0.13972600209011848
2020-02-05,0.0,0.1469100933821268,0.1469100933821268,0.1469100933821268
2020-02-06,0.0,0.15052211137257593,0.15052211137257593,0.15052211137257593
2020-02-07,0.0,0.15026568901054832,0.15026568901054832,0.15026568901054832
2020-02-08,0.0,0.14717763611571383,0.14717763611571383,0.14717763611571383
2020-02-09,0.0,0.14292767504885145,0.14292767504885145,0.14292767504885145
2020-02-10,0.0,0.13903164317051048,0.13903164317051048,0.13903164317051048
2020-02-11,0.0,0.13642258368560228,0.13642258368560228,0.13642258368560228
2020-02-12,0.0,0.1354019446117512,0.1354019446117512,0.1354019446117512
2020-02-13,0.0,0.13578568252856038,0.13578568252856038,0.13578568252856038
2020-02-14,0.0,0.13709816401048736,0.13709816401048736,0.13709816401048736
2020-02-15,0.0,0.13875693497520525,0.13875693497520525,0.13875693497520525
2020-02-16,0.0,0.14023362900561503,0.14023362900561503,0.14023362900561503
2020-02-17,0.0,0.14117491306817448,0.14117491306817448,0.14117491306817448
2020-02-18,0.0,0.14145947554358973,0.14145947554358973,0.14145947554358973
2020-02-19,0.0,0.14117878756880864,0.14117878756880864,0.14117878756880864
2020-02-20,0.0,0.14055806120980752,0.14055806120980752,0.14055806120980752
2020-02-21,0.0,0.13985633749640364,0.13985633749640364,0.13985633749640364
2020-02-22,0.0,0.1392842917328765,0.1392842917328765,0.1392842917328765
2020-02-23,0.0,0.13896013623823694,0.13896013623823694,0.13896013623823694
2020-02-24,0.0,0.13890400935886477,0.13890400935886477,0.13890400935886477
2020-02-25,0.0,0.13905972593099414,0.13905972593099414,0.13905972593099414
2020-02-26,0.0,0.1393299130716863,0.1393299130716863,0.1393299130716863
2020-02-27,0.0,0.13961224939994166,0.13961224939994166,0.13961224939994166
2020-02-28,0.0,0.13982774868134645,0.13982774868134645,0.13982774868134645
2020-02-29,0.0,0.1399358896317211,0.1399358896317211,0.1399358896317211
2020-03-01,0.0,0.13993567556757008,0.13993567556757008,0.13993567556757008
2020-03-02,0.0,0.1398556598299034,0.1398556598299034,0.1398556598299034
2020-03-03,0.0,0.1397384333845776,0.1397384333845776,0.1397384333845776
2020-03-04,0.0,0.13962535089955774,0.13962535089955774,0.13962535089955774
2020-03-05,0.0,0.1395456858437535,0.1395456858437535,0.1395456858437535
2020-03-06,0.0,0.13951198054929626,0.13951198054929626,0.13951198054929626
2020-03-07,0.0,0.1395211396684226,0.1395211396684226,0.1395211396684226
2020-03-08,0.0,0.1395594026229422,0.1395594026229422,0.1395594026229422
2020-03-09,0.0,0.13960883487458253,0.13960883487458253,0.13960883487458253
2020-03-10,0.0,0.13965322341541442,0.13965322341541442,0.13965322341541442
2020-03-11,0.0,0.13968197117577935,0.13968197117577935,0.13968197117577935
2020-03-12,0.0,0.13969147032883655,0.13969147032883655,0.13969147032883655
2020-03-13,0.0,0.13968423758635468,0.13968423758635468,0.13968423758635468
2020-03-14,0.0,0.1396666257871615,0.1396666257871615,0.1396666257871615
2020-03-15,0.0,0.13964610312126408,0.13964610312126408,0.13964610312126408
2020-03-16,0.0,0.1396289499474353,0.1396289499474353,0.1396289499474353
2020-03-17,0.0,0.13961888452441307,0.13961888452441307,0.13961888452441307
2020-03-18,0.0,0.1396167410029145,0.1396167410029145,0.1396167410029145
2020-03-19,0.0,0.13962100669660066,0.13962100669660066,0.13962100669660066
2020-03-20,0.0,0.13962884691389704,0.13962884691389704,0.13962884691389704
2020-03-21,0.0,0.13963721410520086,0.13963721410520086,0.13963721410520086
2020-03-22,0.0,0.13964372205555936,0.13964372205555936,0.13964372205555936
2020-03-23,0.0,0.13964711254840717,0.13964711254840717,0.13964711254840717
2020-03-24,0.0,0.1396472963015441,0.1396472963015441,0.1396472963015441
2020-03-25,0.0,0.13964506903674578,0.13964506903674578,0.13964506903674578
2020-03-26,0.0,0.13964166447019044,0.13964166447019044,0.13964166447019044
2020-03-27,1.0,1.1396383073908023,1.1396383073908023,1.1396383073908023
2020-03-28,0.0,0.21064144633151832,0.21064144633151832,0.21064144633151832
2020-03-29,2.0,2.114541831679766,2.114541831679766,2.114541831679766
2020-03-30,0.0,0.4686393312606493,0.4686393312606493,0.4686393312606493
2020-03-31,2.0,2.1586395226093886,2.1586395226093886,2.1586395226093886
2020-04-01,0.0,0.8324820484517268,0.8324820484517268,0.8324820484517268
2020-04-02,2.0,2.436462509161758,2.436462509161758,2.436462509161758
2020-04-03,2.0,3.18533178054237,3.18533178054237,3.18533178054237
2020-04-04,1.0,1.8918025963965894,1.8918025963965894,1.8918025963965894
2020-04-05,0.0,1.2642052528865428,1.2642052528865428,1.2642052528865428
2020-04-06,0.0,1.2117860501548563,1.2117860501548563,1.2117860501548563
2020-04-07,2.0,3.1397838200750385,3.1397838200750385,3.1397838200750385
2020-04-08,2.0,3.1623611337183894,3.1623611337183894,3.1623611337183894
2020-04-09,2.0,3.0006606004303533,3.0006606004303533,3.0006606004303533
2020-04-10,1.0,2.0859188707172986,2.0859188707172986,2.0859188707172986
2020-04-11,2.0,2.811606539446994,2.811606539446994,2.811606539446994
2020-04-12,0.0,0.9724885313534064,0.9724885313534064,0.9724885313534064
2020-04-13,0.0,0.8632087707938176,0.8632087707938176,0.8632087707938176
2020-04-14,1.0,2.3428448704215294,2.3428448704215294,2.3428448704215294
2020-04-15,4.0,5.209361681298692,5.209361681298692,5.209361681298692
2020-04-16,3.0,4.4044342716590466,4.4044342716590466,4.4044342716590466
2020-04-17,2.0,3.1802358420033108,3.1802358420033108,3.1802358420033108
2020-04-18,3.0,4.370382884291788,4.370382884291788,4.370382884291788
2020-04-19,2.0,3.280499440553161,3.280499440553161,3.280499440553161
2020-04-20,1.0,2.394851052638473,2.394851052638473,2.394851052638473
2020-04-21,1.0,2.974098576791428,2.974098576791428,2.974098576791428
2020-04-22,3.0,5.1565682746325665,5.1565682746325665,5.1565682746325665
2020-04-23,5.0,7.300480795273572,7.300480795273572,7.300480795273572
2020-04-24,3.0,5.271488056206516,5.271488056206516,5.271488056206516
2020-04-25,0.0,2.0615362092977554,2.0615362092977554,2.0615362092977554
2020-04-26,3.0,4.9250285994646585,4.9250285994646585,4.9250285994646585
2020-04-27,1.0,2.9064697488192666,2.9064697488192666,2.9064697488192666
2020-04-28,0.0,1.494971624349907,1.494971624349907,1.494971624349907
2020-04-29,1.0,3.1659163906278707,3.1659163906278707,3.1659163906278707
2020-04-30,1.0,2.7915994476256625,2.7915994476256625,2.7915994476256625
2020-05-01,2.0,3.429136145837217,3.429136145837217,3.429136145837217
2020-05-02,1.0,2.317654819399391,2.317654819399391,2.317654819399391
2020-05-03,1.0,1.7838612781122718,1.7838612781122718,1.7838612781122718
2020-05-04,0.0,0.7008660769403565,0.7008660769403565,0.7008660769403565
2020-05-05,4.0,4.401260655432388,4.401260655432388,4.401260655432388
2020-05-06,1.0,1.872713504233557,1.872713504233557,1.872713504233557
2020-05-07,0.0,0.5659733957457058,0.5659733957457058,0.5659733957457058
2020-05-08,1.0,2.4137142871732538,2.4137142871732538,2.4137142871732538
2020-05-09,1.0,2.147868517741383,2.147868517741383,2.147868517741383
