,Nebraska,forecast,interval_low,interval_high
2020-03-30,145.0,22363.334628842505,,
2020-03-31,172.0,22344.337093573184,,
2020-04-01,210.0,22359.09403596006,,
2020-04-02,246.0,22346.613569800098,,
2020-04-03,279.0,22353.657573866367,,
2020-04-04,321.0,22362.334938179538,,
2020-04-05,364.0,22355.207483178554,,
2020-04-06,417.0,22363.204628781416,,
2020-04-07,447.0,22354.324741769466,,
2020-04-08,519.0,22376.037196739147,,
2020-04-09,568.0,22333.619507736512,,
2020-04-10,635.0,22366.10949500542,,
2020-04-11,699.0,22352.36496490993,,
2020-04-12,791.0,22359.302735322744,,
2020-04-13,814.0,22336.71544175759,,
2020-04-14,897.0,22398.023965888944,,
2020-04-15,901.0,22338.493510723532,,
2020-04-16,952.0,22419.120066764473,,
2020-04-17,1066.0,22359.646755002017,,
2020-04-18,1249.0,22314.657064375566,,
2020-04-19,1474.0,22291.933563722625,,
2020-04-20,1648.0,22266.36294853139,,
2020-04-21,1685.0,22330.58923789599,,
2020-04-22,1813.0,22416.586913731608,,
2020-04-23,2202.0,22308.439326313128,,
2020-04-24,2424.0,22168.15799020492,,
2020-04-25,2719.0,22454.252900987693,,
2020-04-26,3030.0,22331.671343337493,,
2020-04-27,3358.0,22239.144084649375,,
2020-04-28,3517.0,22201.338194017506,,
2020-04-29,3851.0,22461.139409213738,,
2020-04-30,4281.0,22404.62016237331,,
2020-05-01,5008.0,22284.000436591006,,
2020-05-02,5317.0,21997.561029605156,,
2020-05-03,5661.0,22487.723909791006,,
2020-05-04,6037.0,22391.535480041013,,
2020-05-05,6373.0,22277.57268340353,,
2020-05-06,6689.0,22384.656166431872,,
2020-05-07,7334.0,22512.160984550086,,
2020-05-08,7818.0,22293.918958040224,,
2020-05-09,8093.0,22319.34469433051,,
2020-05-10,8171.0,22361.341423200585,,
2020-05-11,8407.0,22545.92797572082,,
2020-05-12,8532.0,22435.576979266887,,
2020-05-13,8912.0,22565.456910716068,,
2020-05-14,9260.0,22366.35618115058,,
2020-05-15,9610.0,22381.24165437513,,
2020-05-16,10220.0,22235.82997176037,,
2020-05-17,10177.0,21953.564911985377,,
2020-05-18,10625.0,22741.83942834793,,
2020-05-19,10854.0,22199.508310312664,,
2020-05-20,11122.0,22503.462185627286,,
2020-05-21,11427.0,22418.486164524376,,
2020-05-22,11662.0,22353.117586904234,,
2020-05-23,11963.0,22486.186137293353,,
2020-05-24,12134.0,22234.338090688405,,
2020-05-25,12362.0,22432.789111170754,,
2020-05-26,12619.0,22413.131182168254,,
2020-05-27,12984.0,22382.84625097155,,
2020-05-28,13249.0,22272.121988181436,,
2020-05-29,13648.0,22367.712905171644,,
2020-05-30,13905.0,22256.985659010687,,
2020-05-31,14101.0,22393.119978618513,,
2020-06-01,14345.0,22414.833944273105,,
2020-06-02,14616.0,22371.41105888187,,
2020-06-03,14885.0,22408.92632989814,,
2020-06-04,15139.0,22393.256220329196,,
2020-06-05,15406.0,22394.477076420782,,
2020-06-06,15572.0,22330.536100741523,,
2020-06-07,15664.0,22393.60279084892,,
2020-06-08,15786.0,22468.55950794558,,
2020-06-09,15918.0,22449.5844718078,,
2020-06-10,16058.0,22428.445507254564,,
2020-06-11,16315.0,22389.293387980462,,
2020-06-12,16522.0,22283.287096404416,,
2020-06-13,16640.0,22341.92252978486,,
2020-06-14,16730.0,22382.216180800595,,
2020-06-15,16851.0,22384.50092692545,,
2020-06-16,17038.0,22376.32971874643,,
2020-06-17,17231.0,22352.61420489335,,
2020-06-18,17414.0,22396.59425713604,,
2020-06-19,17588.0,22370.115031852707,,
2020-06-20,17707.0,22301.883470486173,,
2020-06-21,17812.0,22344.401453131894,,
2020-06-22,17963.0,22408.551940792655,,
2020-06-23,18099.0,22411.31882030725,,
2020-06-24,18221.0,22408.451866047777,,
2020-06-25,18346.0,22366.167696592518,,
2020-06-26,18524.0,22347.600981478598,,
2020-06-27,18775.0,22315.991626749557,,
2020-06-28,18899.0,22286.63971891668,,
2020-06-29,19042.0,22434.938382075245,,
2020-06-30,19177.0,22363.676437403778,,
2020-07-01,19310.0,22344.141751455685,,
2020-07-02,19452.0,22367.326623901878,,
2020-07-03,19660.0,22406.103883917487,,
2020-07-04,19827.0,22368.919559985647,,
2020-07-05,19929.0,22349.538655652763,,
2020-07-06,20046.0,22364.61604708187,,
2020-07-07,20201.0,22362.705315206807,,
2020-07-08,20425.0,22369.621624610856,,
2020-07-09,20623.0,22328.272478996125,,
2020-07-10,20777.0,22369.86289191727,,
2020-07-11,20998.0,22373.162414204435,,
2020-07-12,21172.0,22267.665149062854,,
2020-07-13,21399.0,22353.22689192011,,
2020-07-14,21717.0,22355.168950024305,,
2020-07-15,21979.0,22314.050037059027,,
2020-07-16,22134.0,22354.238472561774,,
2020-07-17,22361.0,22388.15170223909,,
2020-07-18,22481.0,22318.685332152796,,
2020-07-19,,22699.955993484396,22560.027057377865,22839.884929590928
2020-07-20,,22928.321411114437,22712.901313043494,23143.74150918538
2020-07-21,,23189.013032504863,22881.509198148426,23496.5168668613
2020-07-22,,23424.596643944824,23027.653673315122,23821.539614574525
2020-07-23,,23606.83858236013,23126.63967764197,24087.03748707829
2020-07-24,,23802.79951180459,23241.438336290645,24364.160687318537
2020-07-25,,23999.63713487152,23350.587548607084,24648.686721135953
