,Rhode Island,forecast,interval_low,interval_high
2020-01-23,0.0,-0.03583897277712822,-0.1807582974433899,0.006795674562454224
2020-01-24,0.0,0.00217133155092597,-0.0032743215560913086,0.008000314235687256
2020-01-25,0.0,-0.012181979604065418,-0.07394176721572876,0.008405238389968872
2020-01-26,0.0,-0.0031324445735663176,-0.008698225021362305,6.213784217834473e-05
2020-01-27,0.0,0.014718383550643921,-0.0013495683670043945,0.03477326035499573
2020-01-28,0.0,0.0073618353344500065,-0.010522425174713135,0.048023760318756104
2020-01-29,0.0,-0.016442710533738136,-0.07429879903793335,0.02670067548751831
2020-01-30,0.0,-0.008039265871047974,-0.034124553203582764,0.0028375983238220215
2020-01-31,0.0,0.1575397253036499,0.00048553943634033203,0.4555034339427948
2020-02-01,0.0,-0.03651980683207512,-0.1487298607826233,0.0006474554538726807
2020-02-02,0.0,0.0015872478252276778,0.00034436583518981934,0.003466963768005371
2020-02-03,0.0,7.773041579639539e-05,-0.004084765911102295,0.0023815929889678955
2020-02-04,0.0,0.005491232965141535,-0.0032171010971069336,0.028886228799819946
2020-02-05,0.0,-0.00045399664668366313,-0.003181755542755127,0.0050814151763916016
2020-02-06,0.0,-0.003453117562457919,-0.020518183708190918,0.008524477481842041
2020-02-07,0.0,-0.015703773126006126,-0.11186355352401733,0.04987388849258423
2020-02-08,0.0,-0.0063307760283350945,-0.011802971363067627,-0.0015686750411987305
2020-02-09,0.0,-0.015256720595061779,-0.1683102250099182,0.08082231879234314
2020-02-10,0.0,-0.0002017378865275532,-0.0022407174110412598,0.0021330416202545166
2020-02-11,0.0,0.00023555158986710012,-0.009467720985412598,0.005608171224594116
2020-02-12,0.0,0.017439210787415504,-0.018737196922302246,0.09439373016357422
2020-02-13,0.0,0.010886907577514648,-0.0074746012687683105,0.0318637490272522
2020-02-14,0.0,-0.0058633326552808285,-0.011910557746887207,-0.0011616349220275879
2020-02-15,0.0,0.0007279872661456466,-0.013081669807434082,0.007818818092346191
2020-02-16,0.0,0.0010987103451043367,-0.00023829936981201172,0.0023730099201202393
2020-02-17,0.0,0.03812820464372635,-0.00015741586685180664,0.12006258964538574
2020-02-18,0.0,0.21802394092082977,-0.01518338918685913,1.0963609218597412
2020-02-19,0.0,-0.025714421644806862,-0.18327778577804565,0.06332316994667053
2020-02-20,0.0,-0.021407771855592728,-0.07705271244049072,0.00048297643661499023
2020-02-21,0.0,0.022444868460297585,-0.003961145877838135,0.09381386637687683
2020-02-22,0.0,0.007020109798759222,0.0007582008838653564,0.018381863832473755
2020-02-23,0.0,0.006064700894057751,-0.07699096202850342,0.1286141276359558
2020-02-24,0.0,-0.08656831830739975,-0.414683997631073,-0.0004521608352661133
2020-02-25,0.0,-0.027345001697540283,-0.12141060829162598,0.007741689682006836
2020-02-26,0.0,0.0014296770095825195,-0.0020053982734680176,0.007537961006164551
2020-02-27,0.0,-0.006974929478019476,-0.042365431785583496,0.0091916024684906
2020-02-28,0.0,0.0031932175625115633,-0.0013706088066101074,0.011533528566360474
2020-02-29,0.0,-0.0021442174911499023,-0.005391478538513184,0.0009052753448486328
2020-03-01,0.0,0.001716524362564087,-0.005485057830810547,0.0061820149421691895
2020-03-02,0.0,-0.004006177186965942,-0.056935906410217285,0.033626168966293335
2020-03-03,0.0,0.0057152570225298405,-0.007849037647247314,0.03527429699897766
2020-03-04,0.0,-0.0029621899593621492,-0.008401095867156982,0.002750784158706665
2020-03-05,0.0,0.12616905570030212,0.0021132826805114746,0.3628244996070862
2020-03-06,0.0,-0.0140205267816782,-0.06052631139755249,-0.0007698535919189453
2020-03-07,0.0,-0.0024852692149579525,-0.019178688526153564,0.005256682634353638
2020-03-08,0.0,-0.010270309634506702,-0.033249855041503906,-0.001036226749420166
2020-03-09,0.0,0.08666422218084335,0.00036662817001342773,0.4094364643096924
2020-03-10,0.0,-0.03592747449874878,-0.14400261640548706,-0.0007399320602416992
2020-03-11,0.0,0.030895953997969627,-0.0007596015930175781,0.12643426656723022
2020-03-12,0.0,0.013876664452254772,-0.0051991939544677734,0.05255594849586487
2020-03-13,0.0,-0.014454054646193981,-0.05750399827957153,-0.0004438161849975586
2020-03-14,0.0,-0.019017349928617477,-0.11631357669830322,0.008312404155731201
2020-03-15,0.0,-0.016820501536130905,-0.07738441228866577,0.0017971992492675781
2020-03-16,0.0,-0.004669225309044123,-0.010378241539001465,0.0015370845794677734
2020-03-17,0.0,0.011158180423080921,0.003602743148803711,0.021319210529327393
2020-03-18,0.0,-0.0072547136805951595,-0.022791743278503418,0.00047966837882995605
2020-03-19,0.0,0.03580058366060257,-0.03379589319229126,0.2106044888496399
2020-03-20,0.0,0.0033531785011291504,-0.006351113319396973,0.0092087984085083
2020-03-21,0.0,0.0033876001834869385,-0.00024056434631347656,0.010817289352416992
2020-03-22,0.0,-0.005345153622329235,-0.023476719856262207,0.005117177963256836
2020-03-23,0.0,-0.005844628904014826,-0.010811388492584229,0.001361846923828125
2020-03-24,0.0,0.005883395671844482,-0.006357848644256592,0.02808558940887451
2020-03-25,0.0,-0.004921615123748779,-0.02053654193878174,0.0022147297859191895
2020-03-26,0.0,0.01092307548969984,0.003688424825668335,0.024270743131637573
2020-03-27,0.0,0.00684777507558465,0.0015812218189239502,0.012147128582000732
2020-03-28,2.0,1.989769697189331,1.971663236618042,1.9967745542526245
2020-03-29,1.0,1.0032879114151,0.998821496963501,1.007731318473816
2020-03-30,1.0,1.001939058303833,0.9985651969909668,1.0044357776641846
2020-03-31,4.0,3.396923780441284,0.993236780166626,3.9990739822387695
