,Vermont,forecast,interval_low,interval_high
2020-03-27,184.0,1327.7390034165392,,
2020-03-28,211.0,1335.4145193848638,,
2020-03-29,235.0,1334.6193398468893,,
2020-03-30,256.0,1336.0170854396927,,
2020-03-31,293.0,1338.683304986369,,
2020-04-01,321.0,1327.9069050631815,,
2020-04-02,338.0,1334.6591254349596,,
2020-04-03,389.0,1341.7675119502671,,
2020-04-04,461.0,1316.1550872463358,,
2020-04-05,512.0,1308.7530673712286,,
2020-04-06,543.0,1334.494598497064,,
2020-04-07,575.0,1347.0338630899566,,
2020-04-08,605.0,1339.9337455669138,,
2020-04-09,628.0,1341.4349418114793,,
2020-04-10,679.0,1347.3919139137656,,
2020-04-11,711.0,1325.782541061139,,
2020-04-12,727.0,1335.2455208689094,,
2020-04-13,748.0,1343.1871386124647,,
2020-04-14,752.0,1330.8874750242742,,
2020-04-15,759.0,1342.3116799586796,,
2020-04-16,774.0,1343.0811968855269,,
2020-04-17,779.0,1335.921418587249,,
2020-04-18,803.0,1342.1835904681993,,
2020-04-19,813.0,1326.013211101003,,
2020-04-20,816.0,1331.3251121282603,,
2020-04-21,818.0,1336.6630321991663,,
2020-04-22,823.0,1334.2821914812494,,
2020-04-23,825.0,1335.227645967633,,
2020-04-24,827.0,1340.163144545067,,
2020-04-25,843.0,1339.580852207809,,
2020-04-26,851.0,1327.3778865002173,,
2020-04-27,855.0,1331.580118247355,,
2020-04-28,862.0,1333.9577944789733,,
2020-04-29,862.0,1329.9765628641858,,
2020-04-30,866.0,1337.111721270449,,
2020-05-01,879.0,1337.0888695009605,,
2020-05-02,886.0,1331.5770111651943,,
2020-05-03,897.0,1336.5539462425002,,
2020-05-04,902.0,1332.3306395452375,,
2020-05-05,907.0,1333.1264481885592,,
2020-05-06,908.0,1333.4324799666192,,
2020-05-07,916.0,1336.065014845843,,
2020-05-08,919.0,1333.3186370843969,,
2020-05-09,921.0,1337.382322021841,,
2020-05-10,927.0,1337.8648917176606,,
2020-05-11,926.0,1332.161772844058,,
2020-05-12,927.0,1335.7154199881759,,
2020-05-13,929.0,1333.778138954735,,
2020-05-14,932.0,1332.3193856244661,,
2020-05-15,933.0,1333.5793029483916,,
2020-05-16,934.0,1335.6284642712387,,
2020-05-17,940.0,1335.336526406906,,
2020-05-18,940.0,1331.458513586387,,
2020-05-19,944.0,1335.588536264644,,
2020-05-20,944.0,1332.948784625728,,
2020-05-21,950.0,1334.6019815033012,,
2020-05-22,952.0,1331.8985819092109,,
2020-05-23,954.0,1334.7126566587615,,
2020-05-24,956.0,1335.5769889319483,,
2020-05-25,962.0,1334.2872369069494,,
2020-05-26,967.0,1331.9394539288226,,
2020-05-27,971.0,1333.1393403396928,,
2020-05-28,974.0,1334.3018958943208,,
2020-05-29,975.0,1334.3744736417077,,
2020-05-30,977.0,1335.561900618938,,
2020-05-31,981.0,1334.8421487253913,,
2020-06-01,983.0,1333.5541417648656,,
2020-06-02,988.0,1335.077859551992,,
2020-06-03,990.0,1332.7153040574553,,
2020-06-04,1026.0,1334.0757599529657,,
2020-06-05,1027.0,1314.2062072203064,,
2020-06-06,1046.0,1340.9447827461288,,
2020-06-07,1063.0,1332.2147338776488,,
