,Minnesota,forecast,interval_low,interval_high
2020-03-09,1.0,5.9146115609577725,0.0,11.84775161743164
2020-03-10,0.0,5.977944024971554,0.0,11.84775161743164
2020-03-11,3.0,6.059463747910091,0.0,11.84775161743164
2020-03-12,4.0,6.188592533980097,0.0,12.0009765625
2020-03-13,5.0,6.453929586069925,0.5040801167488098,12.092456817626953
2020-03-14,7.0,6.80417605808803,1.2259221076965332,12.163043975830078
2020-03-15,0.0,7.382934842790876,2.6836986541748047,12.362786293029785
2020-03-16,32.0,8.153382641928536,3.711238384246826,12.477184295654297
2020-03-17,6.0,9.40806143624442,5.755259037017822,13.009222984313965
2020-03-18,18.0,11.419780050005231,8.956737518310547,13.92698860168457
2020-03-19,12.0,13.712229592459542,12.106036186218262,14.922284126281738
2020-03-20,24.0,16.624181066240585,13.244560241699219,19.587121963500977
2020-03-21,21.0,19.903095245361328,15.52963638305664,22.66497039794922
2020-03-22,33.0,23.557517732892716,16.741451263427734,26.70779037475586
2020-03-23,67.0,28.3476505279541,23.737897872924805,31.220882415771484
2020-03-24,27.0,32.852282115391326,28.053104400634766,37.33488082885742
2020-03-25,25.0,38.38164247785296,33.272216796875,42.8627815246582
2020-03-26,58.0,43.86187090192522,37.37115478515625,50.188995361328125
2020-03-27,52.0,50.595649174281526,43.354469299316406,56.27215576171875
2020-03-28,45.0,57.53017153058733,48.549720764160156,64.93697357177734
2020-03-29,62.0,65.01442228044782,58.467098236083984,71.77074432373047
2020-03-30,73.0,72.26642826625279,64.83891296386719,78.62212371826172
2020-03-31,53.0,78.98587472098214,73.40382385253906,84.55358123779297
2020-04-01,60.0,85.32060023716518,81.67300415039062,88.91987609863281
2020-04-02,53.0,92.65267944335938,85.86125946044922,96.30287170410156
2020-04-03,46.0,98.64360700334821,90.61126708984375,103.76728820800781
2020-04-04,77.0,103.2991921561105,90.70450592041016,112.42027282714844
2020-04-05,70.0,107.49553462437221,94.69985961914062,120.0433349609375
2020-04-06,51.0,111.02799987792969,95.38033294677734,122.16191864013672
2020-04-07,83.0,114.16502162388393,92.43701934814453,130.43194580078125
2020-04-08,85.0,116.64712524414062,96.92257690429688,141.62350463867188
2020-04-09,86.0,118.39530290876117,101.3581771850586,141.0783233642578
