,Florida,forecast,interval_low,interval_high
2020-01-23,0.0,0.20420007407665253,-0.001013040542602539,0.9786759614944458
2020-01-24,0.0,0.11585859954357147,-0.0325048565864563,0.615264892578125
2020-01-25,0.0,-1.641412377357483,-5.250515460968018,0.011583536863327026
2020-01-26,0.0,0.00473027816042304,0.0003625452518463135,0.010208487510681152
2020-01-27,0.0,-0.004715174436569214,-0.010788440704345703,0.010131627321243286
2020-01-28,0.0,0.5121342539787292,-0.004926502704620361,2.450925350189209
2020-01-29,0.0,-0.05761350318789482,-0.3269532322883606,0.0225985050201416
2020-01-30,0.0,-0.7957534790039062,-3.9317426681518555,-0.0007482171058654785
2020-01-31,0.0,0.0030753195751458406,-0.003399193286895752,0.009520471096038818
2020-02-01,0.0,-0.30764874815940857,-1.501288890838623,-0.0031955838203430176
2020-02-02,0.0,1.6710937023162842,0.0029574930667877197,8.301994323730469
2020-02-03,0.0,-3.3913040161132812,-9.708775520324707,-0.009327113628387451
2020-02-04,0.0,-0.023220950737595558,-0.16195130348205566,0.030957788228988647
2020-02-05,0.0,0.7702584266662598,-0.002084493637084961,3.8063206672668457
2020-02-06,0.0,0.13202504813671112,-0.03833770751953125,0.710286021232605
2020-02-07,0.0,0.00023305416107177734,-0.017011523246765137,0.020251482725143433
2020-02-08,0.0,0.07335583865642548,-0.00047510862350463867,0.2981049418449402
2020-02-09,0.0,-0.007116979453712702,-0.017808496952056885,0.0034196078777313232
2020-02-10,0.0,-0.16520649194717407,-0.5842015743255615,0.007784813642501831
2020-02-11,0.0,0.01171047706156969,-0.02604365348815918,0.0377538800239563
2020-02-12,0.0,-0.021601390093564987,-0.03441596031188965,-0.0104178786277771
2020-02-13,0.0,-0.018919121474027634,-0.2598170042037964,0.07575589418411255
2020-02-14,0.0,-0.007429826073348522,-0.05973714590072632,0.02516019344329834
2020-02-15,0.0,-0.029725724831223488,-0.13421636819839478,0.04342854022979736
2020-02-16,0.0,1.6218883991241455,0.006358057260513306,4.108057022094727
2020-02-17,0.0,-0.1446283608675003,-0.41816437244415283,0.010317116975784302
2020-02-18,0.0,-0.07065685838460922,-0.4313598871231079,0.03631916642189026
2020-02-19,0.0,-0.6685634851455688,-2.741417407989502,0.013375818729400635
2020-02-20,0.0,0.016137797385454178,-0.013624012470245361,0.043184638023376465
2020-02-21,0.0,-0.013585287146270275,-0.03996235132217407,0.010765284299850464
2020-02-22,0.0,0.0006157755851745605,-0.01927316188812256,0.03322097659111023
2020-02-23,0.0,-0.09323187917470932,-0.4761590361595154,0.013957321643829346
2020-02-24,0.0,-0.11528818309307098,-0.5907555818557739,0.024977654218673706
2020-02-25,0.0,-0.3070318400859833,-1.5831692218780518,0.12260326743125916
2020-02-26,0.0,0.10271663963794708,-0.0237046480178833,0.44256123900413513
2020-02-27,0.0,-0.10640831291675568,-0.5259703397750854,0.02657070755958557
2020-02-28,0.0,0.11044581979513168,-0.0013422966003417969,0.44420549273490906
2020-02-29,0.0,-0.008080333471298218,-0.04032772779464722,0.007744729518890381
2020-03-01,0.0,-0.47071361541748047,-2.3298707008361816,0.00048470497131347656
2020-03-02,0.0,7.8286542892456055,0.01256588101387024,15.391279220581055
2020-03-03,0.0,-3.170433521270752,-8.595256805419922,0.02970990538597107
2020-03-04,0.0,-0.026217687875032425,-0.06431585550308228,0.0019271373748779297
2020-03-05,0.0,1.2247722148895264,0.0038851499557495117,5.111093997955322
2020-03-06,0.0,0.0005905687576159835,-0.016904175281524658,0.02809181809425354
2020-03-07,0.0,-0.0038940547965466976,-0.07340061664581299,0.04716980457305908
2020-03-08,2.0,1.757204294204712,0.737188994884491,2.032588481903076
2020-03-09,0.0,-0.018605757504701614,-0.03791213035583496,0.0040016770362854
2020-03-10,0.0,-0.04420622065663338,-0.20589780807495117,0.005664944648742676
2020-03-11,0.0,0.8387539982795715,0.007665544748306274,2.364877700805664
2020-03-12,0.0,0.0013454019790515304,-0.010696589946746826,0.023199766874313354
2020-03-13,0.0,-0.007794618606567383,-0.052593231201171875,0.05021381378173828
2020-03-14,0.0,0.43175601959228516,0.0055349767208099365,1.97567617893219
2020-03-15,1.0,0.3265771269798279,-2.206345319747925,0.996087908744812
2020-03-16,0.0,0.888327956199646,0.01240357756614685,4.201151371002197
2020-03-17,2.0,2.0813987255096436,1.964707612991333,2.4318857192993164
2020-03-18,2.0,1.90451180934906,1.7874311208724976,1.9723894596099854
2020-03-19,2.0,2.196540117263794,1.61466646194458,3.1571943759918213
2020-03-20,2.0,2.001884937286377,1.938735842704773,2.0412445068359375
2020-03-21,2.0,1.7486543655395508,0.7425034642219543,2.0372486114501953
2020-03-22,0.0,-0.002583491848781705,-0.02664506435394287,0.023293793201446533
2020-03-23,5.0,5.426636695861816,3.9894888401031494,8.188681602478027
2020-03-24,0.0,1.2679760456085205,0.02486395835876465,6.155186176300049
2020-03-25,5.0,3.6070308685302734,-0.9998410940170288,5.013948440551758
2020-03-26,6.0,6.01583194732666,5.9559855461120605,6.075462341308594
2020-03-27,6.0,8.035895347595215,4.418959617614746,17.8306827545166
2020-03-28,19.0,12.732917785644531,2.4858362674713135,18.990869522094727
2020-03-29,2.0,5.382486820220947,1.991624355316162,18.89021873474121
2020-03-30,7.0,11.450326919555664,6.985980987548828,29.23704719543457
2020-03-31,22.0,21.99752426147461,21.98887062072754,22.007036209106445
2020-04-01,2.0,22.70914077758789,2.0019192695617676,53.823028564453125
2020-04-02,77.0,76.95105743408203,76.91050720214844,76.98532104492188
2020-04-03,6.0,13.860319137573242,6.0282673835754395,44.994972229003906
