,Mississippi,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.03592408820986748,0.0,0.1495789736509323
2020-02-03,0.0,0.1251939982175827,0.0,0.3159300982952118
2020-02-04,0.0,0.15784136950969696,0.0,0.4395406246185303
2020-02-05,0.0,0.09801317751407623,0.0,0.5064972639083862
2020-02-06,0.0,0.15229329466819763,0.0,0.6496848464012146
2020-02-07,0.0,0.17662806808948517,0.0,0.6746813654899597
2020-02-08,0.0,0.3407440483570099,0.0,0.9560986161231995
2020-02-09,0.0,0.03592408820986748,0.0,0.1495789736509323
2020-02-10,0.0,0.1251939982175827,0.0,0.3159300982952118
2020-02-11,0.0,0.15784136950969696,0.0,0.4395406246185303
2020-02-12,0.0,0.09801317751407623,0.0,0.5064972639083862
2020-02-13,0.0,0.15229329466819763,0.0,0.6496848464012146
2020-02-14,0.0,0.17662806808948517,0.0,0.6746813654899597
2020-02-15,0.0,0.3407440483570099,0.0,0.9560986161231995
2020-02-16,0.0,0.03592408820986748,0.0,0.1495789736509323
2020-02-17,0.0,0.1251939982175827,0.0,0.3159300982952118
2020-02-18,0.0,0.15784136950969696,0.0,0.4395406246185303
2020-02-19,0.0,0.09801317751407623,0.0,0.5064972639083862
2020-02-20,0.0,0.15229329466819763,0.0,0.6496848464012146
2020-02-21,0.0,0.17662806808948517,0.0,0.6746813654899597
2020-02-22,0.0,0.3407440483570099,0.0,0.9560986161231995
2020-02-23,0.0,0.03592408820986748,0.0,0.1495789736509323
2020-02-24,0.0,0.1251939982175827,0.0,0.3159300982952118
2020-02-25,0.0,0.15784136950969696,0.0,0.4395406246185303
2020-02-26,0.0,0.09801317751407623,0.0,0.5064972639083862
2020-02-27,0.0,0.15229329466819763,0.0,0.6496848464012146
2020-02-28,0.0,0.17662806808948517,0.0,0.6746813654899597
2020-02-29,0.0,0.3407440483570099,0.0,0.9560986161231995
2020-03-01,0.0,0.03592408820986748,0.0,0.1495789736509323
2020-03-02,0.0,0.1251939982175827,0.0,0.3159300982952118
2020-03-03,0.0,0.15784136950969696,0.0,0.4395406246185303
2020-03-04,0.0,0.09801317751407623,0.0,0.5064972639083862
2020-03-05,0.0,0.15229329466819763,0.0,0.6496848464012146
2020-03-06,0.0,0.17662806808948517,0.0,0.6746813654899597
2020-03-07,0.0,0.3407440483570099,0.0,0.9560986161231995
2020-03-08,0.0,0.03592408820986748,0.0,0.1495789736509323
2020-03-09,0.0,0.1251939982175827,0.0,0.3159300982952118
2020-03-10,0.0,0.15784136950969696,0.0,0.4395406246185303
2020-03-11,0.0,0.09801317751407623,0.0,0.5064972639083862
2020-03-12,0.0,0.15229329466819763,0.0,0.6496848464012146
2020-03-13,0.0,0.17662806808948517,0.0,0.6746813654899597
2020-03-14,0.0,0.3407440483570099,0.0,0.9560986161231995
2020-03-15,0.0,0.03592408820986748,0.0,0.1495789736509323
2020-03-16,0.0,0.1251939982175827,0.0,0.3159300982952118
2020-03-17,0.0,0.15784136950969696,0.0,0.4395406246185303
2020-03-18,0.0,0.09801317751407623,0.0,0.5064972639083862
2020-03-19,1.0,0.15229329466819763,0.0,0.6496848464012146
2020-03-20,0.0,0.17662806808948517,0.0,0.6746813654899597
2020-03-21,0.0,0.3407440483570099,0.0,0.9560986161231995
2020-03-22,0.0,0.03592408820986748,0.0,0.1495789736509323
2020-03-23,0.0,0.1251939982175827,0.0,0.3159300982952118
2020-03-24,0.0,0.15784136950969696,0.0,0.4395406246185303
2020-03-25,2.0,0.09801317751407623,0.0,0.5064972639083862
2020-03-26,3.0,0.15229329466819763,0.0,0.6496848464012146
2020-03-27,2.0,0.17662806808948517,0.0,0.6746813654899597
2020-03-28,5.0,0.3407440483570099,0.0,0.9560986161231995
2020-03-29,1.0,1.037917137145996,0.7736621499061584,1.1741548776626587
2020-03-30,2.0,0.8242044448852539,0.6157113909721375,1.1548864841461182
2020-03-31,4.0,0.5963349938392639,0.41064509749412537,0.9298537373542786
2020-04-01,2.0,0.6805061101913452,0.2787986695766449,1.1014349460601807
2020-04-02,4.0,0.9888460040092468,0.8384348750114441,1.3288636207580566
2020-04-03,3.0,1.3129444122314453,1.0990222692489624,1.4776806831359863
2020-04-04,6.0,1.6666291952133179,1.4603582620620728,1.8488727807998657
2020-04-05,8.0,5.4921674728393555,4.731092929840088,5.877658367156982
2020-04-06,8.0,5.844545841217041,4.883419036865234,7.016097545623779
2020-04-07,9.0,5.821191787719727,4.796475887298584,6.4302568435668945
2020-04-08,7.0,6.0073466300964355,5.405914783477783,6.575737953186035
2020-04-09,9.0,6.046150207519531,5.15351676940918,6.468362808227539
2020-04-10,6.0,6.931343078613281,5.341207504272461,7.758796691894531
2020-04-11,11.0,7.1486496925354,5.790822982788086,7.791386604309082
2020-04-12,3.0,7.393869876861572,6.601070404052734,7.924561023712158
2020-04-13,2.0,8.44587516784668,7.727354049682617,9.518644332885742
2020-04-14,13.0,9.766682624816895,7.788280487060547,10.911171913146973
2020-04-15,11.0,11.129892349243164,9.64704704284668,11.84013557434082
2020-04-16,7.0,11.236675262451172,9.420498847961426,12.088974952697754
2020-04-17,11.0,11.528429985046387,9.725492477416992,12.210835456848145
2020-04-18,12.0,11.129831314086914,10.070184707641602,12.05766487121582
