,Washington,forecast,interval_low,interval_high
2020-03-07,24.0,41.91364669799805,30.861391067504883,52.64915084838867
2020-03-08,20.0,15.716972351074219,7.3088603019714355,28.016977310180664
2020-03-09,0.0,16.826101303100586,4.615854263305664,29.219804763793945
2020-03-10,45.0,27.9036865234375,18.331356048583984,46.488502502441406
2020-03-11,115.0,24.907114028930664,19.12424659729004,34.570003509521484
2020-03-12,160.0,38.28134536743164,33.47672653198242,45.05717849731445
2020-03-13,126.0,49.28169631958008,42.105003356933594,62.74773025512695
2020-03-14,74.0,48.8678092956543,37.8728141784668,58.9134407043457
2020-03-15,-39.0,33.68464279174805,25.591121673583984,46.400962829589844
2020-03-16,176.0,43.60246658325195,33.74473571777344,54.549537658691406
2020-03-17,176.0,61.99934005737305,53.0985107421875,74.08666229248047
2020-03-18,67.0,52.67131423950195,48.62666702270508,59.971282958984375
2020-03-19,352.0,59.2005500793457,54.22172164916992,65.6230239868164
2020-03-20,150.0,83.19266510009766,75.7047119140625,89.16165924072266
2020-03-21,269.0,85.955810546875,74.2533950805664,93.46649932861328
2020-03-22,204.0,110.74378204345703,102.86015319824219,114.90316772460938
2020-03-23,224.0,117.85369873046875,112.0599365234375,122.11766815185547
2020-03-24,107.0,122.78986358642578,116.4161148071289,132.81809997558594
2020-03-25,263.0,118.2485122680664,112.53417205810547,122.53266906738281
2020-03-26,616.0,130.70176696777344,123.176513671875,138.41966247558594
2020-03-27,270.0,141.84425354003906,128.04417419433594,154.56301879882812
2020-03-28,553.0,142.181396484375,132.2064666748047,150.15438842773438
2020-03-29,435.0,224.07936096191406,215.83901977539062,228.63902282714844
2020-03-30,458.0,226.72389221191406,219.42108154296875,234.2987060546875
2020-03-31,509.0,234.4873809814453,228.2633514404297,239.408447265625
2020-04-01,176.0,222.0164337158203,213.8719940185547,227.25289916992188
2020-04-02,781.0,219.7960968017578,206.50218200683594,235.369873046875
2020-04-03,457.0,236.17503356933594,218.47084045410156,267.3395690917969
2020-04-04,401.0,255.8031463623047,244.44403076171875,262.9501647949219
2020-04-05,578.0,470.1986999511719,455.677734375,491.2104187011719
2020-04-06,486.0,466.3000183105469,448.3066101074219,484.2743835449219
2020-04-07,381.0,429.5836181640625,404.97845458984375,443.67669677734375
2020-04-08,584.0,444.6556701660156,435.65679931640625,449.3105773925781
2020-04-09,363.0,485.6155700683594,464.933837890625,517.0256958007812
2020-04-10,480.0,445.0134582519531,404.9163513183594,513.5895385742188
2020-04-11,315.0,454.2648010253906,432.86407470703125,476.027099609375
2020-04-12,175.0,507.2361755371094,494.430419921875,528.2186889648438
2020-04-13,26.0,523.0916137695312,508.26611328125,544.1698608398438
2020-04-14,164.0,547.3806762695312,532.2833862304688,562.5811767578125
2020-04-15,143.0,512.8301391601562,505.26678466796875,526.8573608398438
2020-04-16,115.0,504.6910095214844,470.3742370605469,538.05810546875
2020-04-17,460.0,561.4013061523438,519.111083984375,605.616455078125
2020-04-18,259.0,597.8798217773438,580.5957641601562,631.5117797851562
2020-04-19,202.0,246.1964569091797,240.85418701171875,255.05679321289062
2020-04-20,136.0,220.6675567626953,210.73143005371094,236.80372619628906
2020-04-21,278.0,213.25990295410156,202.79673767089844,223.86624145507812
2020-04-22,204.0,199.20350646972656,187.63856506347656,218.49295043945312
2020-04-23,157.0,197.2322998046875,149.41195678710938,240.74041748046875
2020-04-24,224.0,200.1560516357422,167.16064453125,259.8018798828125
2020-04-25,342.0,234.6359405517578,217.80140686035156,244.18980407714844
2020-04-26,202.0,245.4728546142578,236.949951171875,252.92007446289062
2020-04-27,165.0,250.04978942871094,241.93673706054688,255.0664520263672
2020-04-28,156.0,251.43370056152344,247.6122283935547,254.4225616455078
2020-04-29,228.0,243.92539978027344,236.7677459716797,248.4111785888672
2020-04-30,257.0,248.75146484375,244.2841339111328,257.6720275878906
2020-05-01,310.0,257.9675598144531,239.06594848632812,289.87896728515625
2020-05-02,366.0,271.5091247558594,261.546875,278.5484619140625
2020-05-03,182.0,219.7096710205078,211.1610870361328,227.3118438720703
2020-05-04,277.0,224.7847900390625,218.07289123535156,230.25987243652344
2020-05-05,132.0,230.29754638671875,225.072021484375,233.4285125732422
2020-05-06,311.0,223.2070770263672,215.1772918701172,228.7890167236328
2020-05-07,326.0,223.74261474609375,216.88233947753906,233.24908447265625
2020-05-08,157.0,233.80128479003906,217.4343719482422,264.72186279296875
2020-05-09,286.0,248.81324768066406,238.92315673828125,255.4706268310547
2020-05-10,217.0,263.6841125488281,255.79364013671875,267.83203125
2020-05-11,231.0,268.2005615234375,260.89801025390625,276.9182434082031
2020-05-12,208.0,277.7754211425781,272.39068603515625,284.7334289550781
2020-05-13,182.0,264.0469665527344,255.87648010253906,269.02325439453125
2020-05-14,261.0,258.4531555175781,240.4580841064453,276.5859375
2020-05-15,178.0,277.5474853515625,258.9329528808594,312.74725341796875
2020-05-16,337.0,300.55029296875,288.8832092285156,309.6920166015625
2020-05-17,145.0,240.3942413330078,230.5581817626953,251.32203674316406
2020-05-18,178.0,242.7440948486328,233.88284301757812,248.20555114746094
2020-05-19,200.0,240.1519317626953,236.89071655273438,245.03269958496094
2020-05-20,160.0,236.50341796875,228.37648010253906,241.72813415527344
2020-05-21,146.0,244.95274353027344,237.5624542236328,249.72341918945312
2020-05-22,148.0,246.5469512939453,228.87161254882812,279.85601806640625
2020-05-23,0.0,258.3533020019531,249.9237518310547,268.0969543457031
2020-05-24,563.0,219.78562927246094,210.94451904296875,228.5601043701172
2020-05-25,237.0,219.6155548095703,211.798828125,224.33140563964844
2020-05-26,116.0,217.75079345703125,213.01612854003906,223.76596069335938
2020-05-27,225.0,213.2682647705078,205.4238739013672,217.7298126220703
2020-05-28,358.0,220.3314971923828,214.83367919921875,228.79017639160156
2020-05-29,307.0,222.68511962890625,205.53372192382812,256.49322509765625
2020-05-30,278.0,235.4640655517578,225.953857421875,245.32398986816406
2020-05-31,353.0,223.9036407470703,211.69216918945312,242.52545166015625
2020-06-01,275.0,239.3032684326172,231.113525390625,249.59629821777344
2020-06-02,180.0,241.5408172607422,240.3867950439453,242.71510314941406
2020-06-03,327.0,245.2149658203125,235.9825897216797,261.8796081542969
2020-06-04,245.0,253.81578063964844,241.5390167236328,275.73394775390625
2020-06-05,264.0,252.974853515625,238.34654235839844,276.23931884765625
2020-06-06,449.0,255.86700439453125,250.51519775390625,265.7897033691406
2020-06-07,287.0,298.7705383300781,290.0909729003906,303.8310546875
2020-06-08,312.0,304.1093444824219,295.6063537597656,312.5008239746094
2020-06-09,313.0,311.8572692871094,308.1492919921875,317.9218444824219
2020-06-10,0.0,298.9540710449219,290.4770812988281,303.3788146972656
2020-06-11,425.0,295.2384338378906,280.4888000488281,311.55499267578125
2020-06-12,392.0,312.421875,292.2856140136719,350.5064392089844
2020-06-13,367.0,335.8612976074219,325.0636291503906,344.0542907714844
2020-06-14,296.0,317.0990905761719,304.1241455078125,342.3864440917969
2020-06-15,324.0,303.9111633300781,292.701416015625,317.63385009765625
2020-06-16,373.0,268.1390075683594,248.0846710205078,285.38873291015625
2020-06-17,253.0,290.0960388183594,280.13702392578125,299.8052978515625
2020-06-18,408.0,321.4056701660156,306.994384765625,344.1459655761719
2020-06-19,409.0,271.0818786621094,223.36276245117188,334.2783203125
2020-06-20,624.0,276.6032409667969,250.41128540039062,304.6854248046875
2020-06-21,455.0,358.6484069824219,348.1301574707031,368.4891662597656
2020-06-22,190.0,362.0735778808594,349.34686279296875,370.009033203125
2020-06-23,516.0,353.668701171875,348.7189025878906,357.0185852050781
2020-06-24,483.0,348.2735290527344,340.7795104980469,354.44366455078125
2020-06-25,498.0,362.4161682128906,352.3971862792969,368.30535888671875
2020-06-26,488.0,363.7538146972656,336.6350402832031,407.3578186035156
2020-06-27,549.0,379.0209045410156,371.2354736328125,387.3809509277344
2020-06-28,348.0,431.5027160644531,424.1482238769531,444.7594909667969
2020-06-29,501.0,454.8516845703125,442.6320495605469,467.7631530761719
2020-06-30,571.0,474.4039001464844,462.25665283203125,485.615478515625
2020-07-01,611.0,446.821533203125,441.1275634765625,456.8299865722656
2020-07-02,716.0,444.5189208984375,426.0234375,462.9247131347656
2020-07-03,627.0,493.619384765625,458.2083740234375,523.6813354492188
2020-07-04,469.0,514.6755981445312,500.8597717285156,539.2537841796875
2020-07-05,651.0,487.0139465332031,475.31072998046875,502.1903076171875
2020-07-06,1087.0,531.2874145507812,513.2638549804688,541.277099609375
2020-07-07,435.0,558.6738891601562,541.2318725585938,567.9732055664062
2020-07-08,521.0,526.7833862304688,522.7468872070312,533.6248779296875
2020-07-09,640.0,533.70654296875,522.6307983398438,545.195556640625
2020-07-10,637.0,598.9736938476562,559.6401977539062,625.462646484375
2020-07-11,0.0,607.1964721679688,591.1293334960938,632.2904052734375
2020-07-12,1438.0,679.4093627929688,660.1909790039062,691.7119140625
2020-07-13,1101.0,696.5227661132812,675.8573608398438,710.5971069335938
2020-07-14,547.0,688.2796020507812,675.9344482421875,703.0780029296875
2020-07-15,742.0,697.0879516601562,681.0897216796875,715.14697265625
2020-07-16,1267.0,729.55517578125,714.7740478515625,752.105712890625
2020-07-17,754.0,710.0222778320312,647.0667724609375,798.2798461914062
2020-07-18,959.0,735.42333984375,731.850830078125,738.9945068359375
2020-07-19,,753.0675659179688,730.4115600585938,765.1563720703125
2020-07-20,,810.2662963867188,794.3549194335938,829.16650390625
2020-07-21,,843.2843627929688,818.636962890625,860.56884765625
2020-07-22,,847.098876953125,826.6266479492188,887.01611328125
2020-07-23,,866.1821899414062,841.840087890625,892.3330688476562
2020-07-24,,875.5232543945312,798.6766967773438,953.9612426757812
2020-07-25,,893.9683227539062,882.6722412109375,902.7662963867188
