,Georgia,forecast,interval_low,interval_high
2020-03-07,2.0,56.20094680786133,32.246559143066406,69.46408081054688
2020-03-08,0.0,23.236249923706055,0.0,58.89894104003906
2020-03-09,5.0,25.2211856842041,0.9394190311431885,55.80513381958008
2020-03-10,7.0,21.276601791381836,0.0,55.108577728271484
2020-03-11,6.0,23.259658813476562,9.143195152282715,39.09299850463867
2020-03-12,8.0,35.65760803222656,12.789642333984375,51.69313430786133
2020-03-13,11.0,33.16610336303711,22.959835052490234,52.39776611328125
2020-03-14,31.0,56.714473724365234,32.89964294433594,69.99116516113281
2020-03-15,26.0,25.889204025268555,0.0,61.33207321166992
2020-03-16,22.0,27.937131881713867,3.7764129638671875,58.401432037353516
2020-03-17,25.0,23.992448806762695,0.0,57.71144104003906
2020-03-18,51.0,26.130287170410156,12.397188186645508,41.526123046875
2020-03-19,90.0,39.520633697509766,16.80095100402832,54.79428482055664
2020-03-20,198.0,37.24211502075195,27.217405319213867,55.41826248168945
2020-03-21,70.0,60.87045669555664,37.88414001464844,74.22449493408203
2020-03-22,66.0,48.53059387207031,17.586706161499023,82.8036117553711
2020-03-23,151.0,50.18711471557617,26.837583541870117,80.03449249267578
2020-03-24,254.0,46.12369918823242,21.84932518005371,79.44950103759766
2020-03-25,221.0,49.047794342041016,36.82742691040039,62.728126525878906
2020-03-26,278.0,66.6615982055664,44.47946548461914,79.53034210205078
2020-03-27,475.0,65.65208435058594,56.58270263671875,80.14479064941406
2020-03-28,366.0,89.4307632446289,69.0913314819336,102.82861328125
2020-03-29,285.0,176.8783416748047,149.3230438232422,206.39259338378906
2020-03-30,157.0,175.12828063964844,155.22462463378906,203.4544677734375
2020-03-31,1121.0,169.5341033935547,144.4947967529297,203.48887634277344
2020-04-01,709.0,173.69496154785156,163.8674774169922,184.27719116210938
2020-04-02,710.0,215.49766540527344,194.6609344482422,232.39756774902344
2020-04-03,483.0,222.0155029296875,216.320068359375,229.33572387695312
2020-04-04,329.0,247.4787139892578,239.8624267578125,259.392822265625
2020-04-05,487.0,525.8718872070312,511.431640625,538.5133666992188
2020-04-06,667.0,513.88427734375,499.512451171875,537.9608154296875
2020-04-07,1508.0,508.2810974121094,481.25311279296875,541.1282958984375
2020-04-08,1079.0,518.4910278320312,512.79833984375,521.7876586914062
2020-04-09,665.0,645.1774291992188,607.447265625,697.1118774414062
2020-04-10,919.0,672.6338500976562,604.8621215820312,734.8126831054688
2020-04-11,674.0,707.0849609375,649.5197143554688,754.0860595703125
2020-04-12,293.0,808.0852661132812,797.9136962890625,813.2153930664062
2020-04-13,863.0,792.234619140625,768.9133911132812,816.5316162109375
2020-04-14,1263.0,781.5543823242188,754.3184814453125,820.750732421875
2020-04-15,409.0,811.7405395507812,789.9446411132812,830.0891723632812
2020-04-16,682.0,1003.37548828125,929.8195190429688,1087.5704345703125
2020-04-17,1525.0,1043.7427978515625,924.1834716796875,1149.943603515625
2020-04-18,475.0,1088.853515625,986.35791015625,1183.3507080078125
2020-04-19,632.0,820.6294555664062,780.5111694335938,853.592529296875
2020-04-20,1106.0,827.7224731445312,810.5304565429688,849.7804565429688
2020-04-21,474.0,789.9456176757812,759.7111206054688,844.7681274414062
2020-04-22,1333.0,872.1932983398438,853.7345581054688,897.574951171875
2020-04-23,669.0,916.5068969726562,883.7078247070312,938.9248046875
