,Oregon,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.020285203735631308,0.020285203735631308,0.020285203735631308
2020-01-25,0.0,0.03161017724867278,0.03161017724867278,0.03161017724867278
2020-01-26,0.0,0.04123425077792352,0.04123425077792352,0.04123425077792352
2020-01-27,0.0,0.053573858651031404,0.053573858651031404,0.053573858651031404
2020-01-28,0.0,0.06430717394653915,0.06430717394653915,0.06430717394653915
2020-01-29,0.0,0.07881385249786912,0.07881385249786912,0.07881385249786912
2020-01-30,0.0,0.09533446970595627,0.09533446970595627,0.09533446970595627
2020-01-31,0.0,0.11191282682808823,0.11191282682808823,0.11191282682808823
2020-02-01,0.0,0.12640004843057046,0.12640004843057046,0.12640004843057046
2020-02-02,0.0,0.13696223953206538,0.13696223953206538,0.13696223953206538
2020-02-03,0.0,0.142717894530912,0.142717894530912,0.142717894530912
2020-02-04,0.0,0.14399683748161907,0.14399683748161907,0.14399683748161907
2020-02-05,0.0,0.14201897837322233,0.14201897837322233,0.14201897837322233
2020-02-06,0.0,0.1382813916349063,0.1382813916349063,0.1382813916349063
2020-02-07,0.0,0.13406488121414523,0.13406488121414523,0.13406488121414523
2020-02-08,0.0,0.13022706529641506,0.13022706529641506,0.13022706529641506
2020-02-09,0.0,0.12721392112937532,0.12721392112937532,0.12721392112937532
2020-02-10,0.0,0.12516325205114798,0.12516325205114798,0.12516325205114798
2020-02-11,0.0,0.124017039891616,0.124017039891616,0.124017039891616
2020-02-12,0.0,0.12361110883943592,0.12361110883943592,0.12361110883943592
2020-02-13,0.0,0.12373850611255827,0.12373850611255827,0.12373850611255827
2020-02-14,0.0,0.12419190722246923,0.12419190722246923,0.12419190722246923
2020-02-15,0.0,0.12479054721730937,0.12479054721730937,0.12479054721730937
2020-02-16,0.0,0.12539524354537226,0.12539524354537226,0.12539524354537226
2020-02-17,0.0,0.12591372321779074,0.12591372321779074,0.12591372321779074
2020-02-18,0.0,0.12629819663114328,0.12629819663114328,0.12629819663114328
2020-02-19,0.0,0.12653746781505254,0.12653746781505254,0.12653746781505254
2020-02-20,0.0,0.1266461838153255,0.1266461838153255,0.1266461838153255
2020-02-21,0.0,0.12665370138275034,0.12665370138275034,0.12665370138275034
2020-02-22,0.0,0.12659445711667355,0.12659445711667355,0.12659445711667355
2020-02-23,0.0,0.12650089359245403,0.12650089359245403,0.12650089359245403
2020-02-24,0.0,0.12639919713888523,0.12639919713888523,0.12639919713888523
2020-02-25,0.0,0.12630752721008412,0.12630752721008412,0.12630752721008412
2020-02-26,0.0,0.1262361145056548,0.1262361145056548,0.1262361145056548
2020-02-27,0.0,0.12618853167925942,0.12618853167925942,0.12618853167925942
2020-02-28,0.0,0.12616351554578498,0.12616351554578498,0.12616351554578498
2020-02-29,0.0,0.12615686626184303,0.12615686626184303,0.12615686626184303
2020-03-01,0.0,0.12616311206894457,0.12616311206894457,0.12616311206894457
2020-03-02,0.0,0.12617677577555278,0.12617677577555278,0.12617677577555278
2020-03-03,0.0,0.1261931960691613,0.1261931960691613,0.1261931960691613
2020-03-04,0.0,0.12620893843093375,0.12620893843093375,0.12620893843093375
2020-03-05,0.0,0.12622187845146765,0.12622187845146765,0.12622187845146765
2020-03-06,0.0,0.12623105980491947,0.12623105980491947,0.12623105980491947
2020-03-07,0.0,0.12623642699127713,0.12623642699127713,0.12623642699127713
2020-03-08,0.0,0.12623851677698184,0.12623851677698184,0.12623851677698184
2020-03-09,0.0,0.1262381691579358,0.1262381691579358,0.1262381691579358
2020-03-10,0.0,0.126236294443039,0.126236294443039,0.126236294443039
2020-03-11,0.0,0.12623371175767142,0.12623371175767142,0.12623371175767142
2020-03-12,0.0,0.12623105811925586,0.12623105811925586,0.12623105811925586
2020-03-13,0.0,0.126228756899456,0.126228756899456,0.126228756899456
2020-03-14,0.0,0.12622702948741016,0.12622702948741016,0.12622702948741016
2020-03-15,1.0,1.1262259331772126,1.1262259331772126,1.1262259331772126
2020-03-16,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.19696529250381423,0.19696529250381423,0.19696529250381423
2020-03-18,2.0,2.139915831924828,2.139915831924828,2.139915831924828
2020-03-19,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.3597336507567495,0.3597336507567495,0.3597336507567495
2020-03-21,1.0,1.327084122823605,1.327084122823605,1.327084122823605
2020-03-22,1.0,0.5054765034492181,0.5054765034492181,0.5054765034492181
2020-03-23,0.0,0.0,0.0,0.0
2020-03-24,3.0,3.7086851482213987,3.7086851482213987,3.7086851482213987
2020-03-25,2.0,0.0,0.0,0.0
2020-03-26,1.0,0.0,0.0,0.0
2020-03-27,1.0,0.8483527281307739,0.8483527281307739,0.8483527281307739
2020-03-28,1.0,1.0931437692468102,1.0931437692468102,1.0931437692468102
2020-03-29,0.0,0.14719442097162716,0.14719442097162716,0.14719442097162716
2020-03-30,3.0,4.376936484745062,4.376936484745062,4.376936484745062
2020-03-31,2.0,0.3565214529851617,0.3565214529851617,0.3565214529851617
2020-04-01,1.0,0.6711798368822643,0.6711798368822643,0.6711798368822643
2020-04-02,2.0,2.5500938688223025,2.5500938688223025,2.5500938688223025
2020-04-03,1.0,0.5835460044132073,0.5835460044132073,0.5835460044132073
2020-04-04,0.0,0.5707109701282582,0.5707109701282582,0.5707109701282582
2020-04-05,5.0,6.569723365832896,6.569723365832896,6.569723365832896
2020-04-06,0.0,0.0,0.0,0.0
2020-04-07,2.0,3.9454548874877604,3.9454548874877604,3.9454548874877604
