,New Jersey,forecast,interval_low,interval_high
2020-03-04,0.0,135.55915178571428,72.59666442871094,217.15980529785156
2020-03-05,2.0,135.5591561453683,72.59666442871094,217.15980529785156
2020-03-06,0.0,135.59525517054968,72.59666442871094,217.15980529785156
2020-03-07,2.0,135.66611807686942,72.91555786132812,217.15980529785156
2020-03-08,1.0,135.77930341448103,73.09439849853516,217.15980529785156
2020-03-09,0.0,135.95550973074776,73.4515380859375,217.15980529785156
2020-03-10,10.0,136.1317095075335,73.6978530883789,217.15980529785156
2020-03-11,8.0,136.435062953404,73.64425659179688,217.15980529785156
2020-03-12,6.0,137.00774492536272,74.95309448242188,217.56629943847656
2020-03-13,20.0,137.72750091552734,76.70714569091797,217.67642211914062
2020-03-14,20.0,138.915643964495,78.40766906738281,218.06005859375
2020-03-15,3.0,140.69703783307756,81.53326416015625,218.23622131347656
2020-03-16,104.0,142.5447235107422,85.40247344970703,218.06515502929688
2020-03-17,74.0,146.03971535818917,86.05567932128906,219.73863220214844
2020-03-18,147.0,152.0464368547712,100.07156372070312,221.4770965576172
2020-03-19,344.0,161.19011034284318,117.90348052978516,222.93641662597656
2020-03-20,149.0,178.86519949776786,146.11180114746094,226.28518676757812
2020-03-21,437.0,204.25567408970423,174.48086547851562,250.6644744873047
2020-03-22,587.0,237.56038120814733,206.88357543945312,309.782958984375
2020-03-23,930.0,286.3416857038225,230.43417358398438,391.39459228515625
2020-03-24,831.0,353.5540204729353,259.7994384765625,535.1932373046875
2020-03-25,727.0,440.5198669433594,293.11676025390625,682.0056762695312
2020-03-26,2474.0,543.9322291782925,360.8553771972656,789.978515625
2020-03-27,1949.0,687.4259774344308,394.0819396972656,1119.282958984375
2020-03-28,2299.0,884.6136343819754,462.8917541503906,1478.9193115234375
2020-03-29,2262.0,1123.2811366489955,554.0814819335938,1876.186279296875
2020-03-30,3250.0,1413.2855486188616,726.2613525390625,2203.8740234375
2020-03-31,2060.0,1744.94478062221,867.349853515625,2597.033447265625
2020-04-01,3559.0,2053.6744210379466,945.0234375,2764.239013671875
2020-04-02,3335.0,2346.95711844308,1386.8902587890625,2814.969970703125
2020-04-03,4305.0,2613.7128557477677,1741.150146484375,3108.343994140625
2020-04-04,4229.0,2871.3180803571427,2131.695556640625,3493.85009765625
2020-04-05,3381.0,3119.421316964286,2398.0,3933.563232421875
2020-04-06,3585.0,3369.583809988839,2794.76220703125,4053.07470703125
2020-04-07,3326.0,3553.4304547991073,2717.674072265625,4092.156494140625
2020-04-08,3021.0,3689.7077287946427,2729.132080078125,4191.1044921875
2020-04-09,3590.0,3739.5524553571427,3096.68017578125,4311.4833984375
2020-04-10,3561.0,3678.9228515625,3143.57275390625,4177.9140625
2020-04-11,3563.0,3566.067208426339,3002.468994140625,4067.372314453125
2020-04-12,3699.0,3412.888357979911,2998.936279296875,3946.678466796875
2020-04-13,2734.0,3294.9474051339284,2846.3525390625,3827.5693359375
2020-04-14,4240.0,3199.6220354352677,2771.484619140625,3521.74267578125
2020-04-15,2206.0,3202.1578543526784,2687.98291015625,3543.624755859375
2020-04-16,4287.0,3224.1996023995534,2604.007080078125,3497.7060546875
2020-04-17,3150.0,3264.541922433036,2819.387939453125,3511.07763671875
2020-04-18,2953.0,3282.805908203125,3126.720458984375,3459.68896484375
2020-04-19,3881.0,3258.4089704241073,3000.36181640625,3463.73974609375
2020-04-20,3421.0,3212.3432965959823,2912.302734375,3430.5419921875
2020-04-21,3665.0,3218.9498465401784,2895.747802734375,3394.621826171875
2020-04-22,3527.0,3210.652413504464,2769.955810546875,3628.42431640625
2020-04-23,4111.0,3270.585518973214,2944.357666015625,3615.89453125
2020-04-24,2171.0,3349.0777413504466,2985.559326171875,3776.155517578125
2020-04-25,3302.0,3383.4348493303573,2925.91943359375,3762.60791015625
2020-04-26,3540.0,3373.6534598214284,3102.090087890625,3785.4052734375
2020-04-27,2150.0,3321.546142578125,3017.81884765625,3772.21240234375
2020-04-28,2668.0,3243.2169015066966,2909.731201171875,3794.63134765625
2020-04-29,2509.0,3059.588553292411,2732.2490234375,3609.69677734375
2020-04-30,2287.0,2925.8887765066966,2580.229736328125,3529.8583984375
2020-05-01,2538.0,2717.261404854911,2483.013916015625,3074.20751953125
2020-05-02,2527.0,2534.5543038504466,2332.041259765625,2799.446044921875
2020-05-03,3027.0,2432.0669991629466,2256.853271484375,2712.72900390625
2020-05-04,1525.0,2366.40966796875,2247.926513671875,2638.543212890625
2020-05-05,2324.0,2341.0883440290177,2074.31787109375,2673.646728515625
2020-05-06,1297.0,2324.5598493303573,2068.5390625,2692.3505859375
2020-05-07,2101.0,2297.0041852678573,2026.6533203125,2647.14453125
2020-05-08,1849.0,2204.8474469866073,1862.7381591796875,2714.07275390625
2020-05-09,1557.0,2118.2681012834823,1756.5675048828125,2573.880615234375
2020-05-10,1357.0,2015.5136021205358,1702.08544921875,2502.052490234375
2020-05-11,1452.0,1851.5106549944196,1601.28466796875,2205.229736328125
2020-05-12,711.0,1732.44384765625,1549.322509765625,2107.29833984375
2020-05-13,643.0,1601.4125104631696,1420.7998046875,1772.232421875
2020-05-14,1144.0,1477.516810825893,1079.9114990234375,1640.7630615234375
2020-05-15,1280.0,1360.0812465122767,953.32666015625,1673.9591064453125
2020-05-16,1105.0,1248.4579119001116,925.3240966796875,1664.2403564453125
2020-05-17,1415.0,1144.1963500976562,804.5071411132812,1585.6619873046875
2020-05-18,1736.0,1062.8671090262276,774.064697265625,1380.8067626953125
2020-05-19,1116.0,1068.3449881417412,802.8118286132812,1389.8875732421875
2020-05-20,1420.0,1117.35205078125,816.2942504882812,1487.7806396484375
2020-05-21,810.0,1224.1258980887276,796.202392578125,1541.1373291015625
2020-05-22,993.0,1325.6971609933037,908.829345703125,1573.8580322265625
2020-05-23,561.0,1376.2431117466517,1033.0467529296875,1668.7735595703125
2020-05-24,1014.0,1359.8695504324776,992.1375122070312,1636.5103759765625
2020-05-25,938.0,1290.4069126674108,868.304443359375,1567.7757568359375
2020-05-26,672.0,1171.2719464983259,855.3308715820312,1525.6549072265625
2020-05-27,864.0,1052.1790073939733,822.2142944335938,1453.20654296875
2020-05-28,557.0,953.3978969029018,743.1583862304688,1280.2451171875
2020-05-29,1659.0,890.8427385602679,779.1345825195312,1120.8546142578125
2020-05-30,764.0,863.6061401367188,800.0618286132812,934.4989624023438
2020-05-31,837.0,888.6263776506696,771.9122924804688,988.9453735351562
2020-06-01,473.0,929.3093348911831,808.74365234375,1015.6643676757812
2020-06-02,627.0,958.817400251116,826.3592529296875,1063.801025390625
2020-06-03,523.0,976.8153076171875,835.1381225585938,1112.1185302734375
2020-06-04,462.0,944.5830862862723,704.555419921875,1091.2203369140625
2020-06-05,806.0,897.0397251674107,542.8921508789062,1126.015625
2020-06-06,557.0,819.9116995675223,519.1818237304688,1096.32421875
2020-06-07,271.0,754.5091727120536,533.944091796875,1072.821533203125
2020-06-08,333.0,684.2960989815848,429.44549560546875,973.428466796875
2020-06-09,299.0,630.8792724609375,459.59832763671875,806.069580078125
