,Florida,forecast,interval_low,interval_high
2020-03-30,5473.0,327437.1155656918,,
2020-03-31,6741.0,327010.5764874711,,
2020-04-01,6956.0,327138.30153887154,,
2020-04-02,9008.0,327574.24022250593,,
2020-04-03,10268.0,327105.5136637895,,
2020-04-04,11537.0,327228.085340883,,
2020-04-05,12350.0,327060.5545832745,,
2020-04-06,13324.0,327977.6220557818,,
2020-04-07,14545.0,327295.66565160983,,
2020-04-08,15456.0,327306.4871742499,,
2020-04-09,16364.0,327509.7374816968,,
2020-04-10,17531.0,327706.5268653104,,
2020-04-11,18494.0,327468.29028083035,,
2020-04-12,19895.0,327241.3242420033,,
2020-04-13,21019.0,327123.4681837071,,
2020-04-14,21628.0,327413.4987063691,,
2020-04-15,22511.0,327614.6115509279,,
2020-04-16,23343.0,327620.85033969855,,
2020-04-17,24759.0,327419.133266629,,
2020-04-18,25492.0,327124.6534043394,,
2020-04-19,26314.0,327649.6198997955,,
2020-04-20,27059.0,327514.50926982146,,
2020-04-21,27869.0,327522.9072492693,,
2020-04-22,28309.0,327174.13496170065,,
2020-04-23,29648.0,327617.36788796214,,
2020-04-24,30533.0,327328.5959017429,,
2020-04-25,30839.0,327476.8040001593,,
2020-04-26,31532.0,327538.49967670185,,
2020-04-27,32138.0,327554.5615461448,,
2020-04-28,32848.0,327245.77586607233,,
2020-04-29,33193.0,327286.48648826306,,
2020-04-30,33690.0,327823.6806088457,,
2020-05-01,34728.0,327592.0736782369,,
2020-05-02,35463.0,327173.9478998253,,
2020-05-03,36078.0,327128.1228216622,,
2020-05-04,36897.0,327403.44032528106,,
2020-05-05,37439.0,327481.1386071913,,
2020-05-06,38002.0,327389.313739132,,
2020-05-07,38828.0,327441.75749518786,,
2020-05-08,39199.0,327451.4169714733,,
2020-05-09,40001.0,327524.38196507044,,
2020-05-10,40596.0,327369.00461013487,,
2020-05-11,40982.0,327455.1915331162,,
2020-05-12,41923.0,327371.2471970262,,
2020-05-13,42402.0,327350.8735654993,,
2020-05-14,43210.0,327429.47847714426,,
2020-05-15,44138.0,327308.0837325904,,
2020-05-16,44811.0,327417.99374661106,,
2020-05-17,45588.0,327277.98812414525,,
2020-05-18,46442.0,327412.1034322838,,
2020-05-19,46944.0,327370.5930462328,,
2020-05-20,47471.0,327457.0057108191,,
2020-05-21,48675.0,327569.35661684454,,
2020-05-22,49451.0,327265.05470174825,,
2020-05-23,50127.0,327312.52693382325,,
2020-05-24,50867.0,327460.37869995413,,
2020-05-25,51746.0,327542.664031465,,
2020-05-26,52255.0,327175.782495498,,
2020-05-27,52634.0,327460.5283772734,,
2020-05-28,53285.0,327686.3633208988,,
2020-05-29,54497.0,327558.1680030135,,
2020-05-30,55424.0,327096.6461651099,,
2020-05-31,56163.0,327242.2073725725,,
2020-06-01,56830.0,327453.8326339651,,
2020-06-02,57447.0,327503.35841088754,,
2020-06-03,58764.0,327300.4404726313,,
2020-06-04,60183.0,327128.457471829,,
2020-06-05,61488.0,327274.8733420694,,
2020-06-06,62758.0,327370.3433631781,,
2020-06-07,63938.0,327418.6777780887,,
2020-06-08,64904.0,327181.1824010662,,
2020-06-09,66000.0,327279.8271625197,,
2020-06-10,67371.0,327493.66477583454,,
2020-06-11,69069.0,327528.19909361453,,
2020-06-12,70971.0,327320.5386742054,,
2020-06-13,73552.0,327158.04812909866,,
2020-06-14,75568.0,326782.48977056035,,
2020-06-15,77326.0,327044.6334877385,,
2020-06-16,80109.0,327309.58114166337,,
2020-06-17,82719.0,327156.8919054718,,
2020-06-18,85926.0,327093.6980526825,,
2020-06-19,89748.0,327068.66590123216,,
2020-06-20,93797.0,327121.5437103968,,
2020-06-21,97291.0,326643.5270648415,,
2020-06-22,100217.0,327040.31504508905,,
2020-06-23,103503.0,327497.07028151926,,
2020-06-24,109014.0,327462.80099595146,,
2020-06-25,114018.0,326536.64577316854,,
2020-06-26,122960.0,326945.37318262836,,
2020-06-27,132545.0,325576.5478786793,,
2020-06-28,141075.0,325485.1405998063,,
2020-06-29,146341.0,325369.1328621083,,
2020-06-30,152434.0,328154.00951164734,,
2020-07-01,158997.0,327664.572272369,,
2020-07-02,169106.0,327590.30494001403,,
2020-07-03,178594.0,326409.09938321327,,
2020-07-04,190052.0,327825.0906551259,,
2020-07-05,200111.0,326207.8104803476,,
2020-07-06,206447.0,326242.76730922045,,
2020-07-07,213794.0,326765.7820107715,,
2020-07-08,223783.0,327943.85883143125,,
2020-07-09,232718.0,327388.194789509,,
2020-07-10,244151.0,328030.9135829148,,
2020-07-11,254511.0,327823.6032733403,,
2020-07-12,269811.0,327237.91012471286,,
2020-07-13,282435.0,323112.5860138078,,
2020-07-14,291629.0,325372.21509295265,,
2020-07-15,301810.0,327785.12550560955,,
2020-07-16,315775.0,329682.9134528178,,
2020-07-17,327241.0,326318.19639523,,
2020-07-18,337569.0,327072.4086303027,,
2020-07-19,,349572.93432265916,348001.7852680444,351144.0833772739
2020-07-20,,362487.4698818974,359554.56412661687,365420.3756371779
2020-07-21,,373479.72183804645,369266.98791532975,377692.45576076314
2020-07-22,,383940.2236711405,378481.80713432276,389398.64020795823
2020-07-23,,395857.24923031795,388979.0436089476,402735.4548516883
2020-07-24,,408590.2333452241,400360.9965126247,416819.4701778235
2020-07-25,,420630.2807108553,411069.94256119925,430190.6188605114
