,New Hampshire,forecast,interval_low,interval_high
2020-01-23,0.0,-0.0005826175329275429,-0.002221405506134033,0.0005041360855102539
2020-01-24,0.0,-0.003263068152591586,-0.01796555519104004,0.0013828873634338379
2020-01-25,0.0,-0.0013705373276025057,-0.0030339956283569336,-0.0004124641418457031
2020-01-26,0.0,-0.011480391025543213,-0.06398332118988037,0.003902912139892578
2020-01-27,0.0,0.001020842813886702,6.282329559326172e-05,0.0016548335552215576
2020-01-28,0.0,-0.007672983221709728,-0.03651708364486694,0.0029570162296295166
2020-01-29,0.0,-0.11677117645740509,-0.5581755638122559,0.003537297248840332
2020-01-30,0.0,0.0025038719177246094,-0.0003209114074707031,0.009241342544555664
2020-01-31,0.0,-0.0015549302333965898,-0.011129796504974365,0.002568185329437256
2020-02-01,0.0,0.02191193774342537,-0.20395612716674805,0.3140529990196228
2020-02-02,0.0,-0.061398960649967194,-0.29454874992370605,0.0006338357925415039
2020-02-03,0.0,-0.00018435120000503957,-0.0017246603965759277,0.0014064013957977295
2020-02-04,0.0,0.0009935855632647872,-0.000752866268157959,0.003841102123260498
2020-02-05,0.0,-0.0004182159900665283,-0.003182649612426758,0.0011048316955566406
2020-02-06,0.0,-0.014509093947708607,-0.06853318214416504,0.001454770565032959
2020-02-07,0.0,0.18336527049541473,-0.001301109790802002,0.9144079089164734
2020-02-08,0.0,-0.0003294825437478721,-0.003477156162261963,0.001757800579071045
2020-02-09,0.0,0.0015250146389007568,-0.0010935068130493164,0.0069866180419921875
2020-02-10,0.0,-0.007461237721145153,-0.030297935009002686,0.0007183551788330078
2020-02-11,0.0,-0.0009108603117056191,-0.0072095394134521484,0.0019498765468597412
2020-02-12,0.0,0.0038905024994164705,0.0019106566905975342,0.0063950419425964355
2020-02-13,0.0,-0.0022473155986517668,-0.005232512950897217,0.0017535388469696045
2020-02-14,0.0,-0.0023275793064385653,-0.012913942337036133,0.010666131973266602
2020-02-15,0.0,0.04033992439508438,0.0030074715614318848,0.17837125062942505
2020-02-16,0.0,0.0007703602313995361,-0.0024111270904541016,0.00540769100189209
2020-02-17,0.0,0.0017648100620135665,-0.005665123462677002,0.0051863789558410645
2020-02-18,0.0,-0.0009759843233041465,-0.004760324954986572,0.0022194981575012207
2020-02-19,0.0,0.1080699935555458,-0.036554038524627686,0.5866292119026184
2020-02-20,0.0,0.00026873350725509226,-0.0019345283508300781,0.0027536749839782715
2020-02-21,0.0,-0.06625743210315704,-0.239301860332489,0.032222628593444824
2020-02-22,0.0,0.0056680976413190365,-0.05015140771865845,0.0595363974571228
2020-02-23,0.0,0.010806471109390259,-0.0065566301345825195,0.0608525276184082
2020-02-24,0.0,0.0019649802707135677,-0.0004144906997680664,0.004515737295150757
2020-02-25,0.0,-0.009469890967011452,-0.03273653984069824,-0.002067863941192627
2020-02-26,0.0,-0.007470292039215565,-0.035903751850128174,0.0017276108264923096
2020-02-27,0.0,-0.002003353787586093,-0.007800459861755371,0.0015160143375396729
2020-02-28,0.0,0.000857663166243583,-0.00015276670455932617,0.0024756789207458496
2020-02-29,0.0,-0.054156698286533356,-0.20152521133422852,0.0008217096328735352
2020-03-01,0.0,0.06852109730243683,-0.0007296204566955566,0.34403282403945923
2020-03-02,0.0,0.08487562835216522,-0.0006425380706787109,0.4260234832763672
2020-03-03,0.0,-0.0008076727390289307,-0.02541416883468628,0.0504288375377655
2020-03-04,0.0,-0.001151013420894742,-0.0038564205169677734,0.001177370548248291
2020-03-05,0.0,0.009770947508513927,-0.0028648972511291504,0.04636898636817932
2020-03-06,0.0,-0.000554674887098372,-0.001799464225769043,0.002021282911300659
2020-03-07,0.0,0.1078307256102562,-0.003621041774749756,0.49139055609703064
