,Illinois,forecast,interval_low,interval_high
2020-01-23,0.0,0.013592004776000977,-0.002161264419555664,0.027963459491729736
2020-01-24,0.0,0.0013589144218713045,-0.015390932559967041,0.029067665338516235
2020-01-25,0.0,-0.022918308153748512,-0.037005484104156494,-0.0016009807586669922
2020-01-26,0.0,0.20976945757865906,-0.0021997690200805664,1.0119071006774902
2020-01-27,0.0,-0.004918324761092663,-0.03667044639587402,0.016710340976715088
2020-01-28,0.0,0.09513257443904877,-0.012285113334655762,0.27037402987480164
2020-01-29,0.0,-0.011329340748488903,-0.04060322046279907,-0.00029838085174560547
2020-01-30,0.0,0.00785139761865139,-0.0024346113204956055,0.025581151247024536
2020-01-31,0.0,-0.00018323659605812281,-0.002775251865386963,0.001869291067123413
2020-02-01,0.0,0.006455087568610907,0.0002891421318054199,0.019923776388168335
2020-02-02,0.0,0.015646254643797874,-0.014174282550811768,0.08006814122200012
2020-02-03,0.0,-0.014954579062759876,-0.05650222301483154,0.009403467178344727
2020-02-04,0.0,0.0032639503479003906,-0.0023381710052490234,0.015438675880432129
2020-02-05,0.0,-0.0001216649980051443,-0.019229590892791748,0.016347944736480713
2020-02-06,0.0,0.05405191704630852,-0.018506407737731934,0.3071024417877197
2020-02-07,0.0,-0.027390718460083008,-0.1175873875617981,0.038874924182891846
2020-02-08,0.0,0.01519348006695509,-0.021398544311523438,0.04102584719657898
2020-02-09,0.0,-0.023451250046491623,-0.07205015420913696,0.005823403596878052
2020-02-10,0.0,-0.0012388825416564941,-0.025014400482177734,0.04140403866767883
2020-02-11,0.0,-0.010400837287306786,-0.03326362371444702,0.00742378830909729
2020-02-12,0.0,0.1107037290930748,-0.005079388618469238,0.47955942153930664
2020-02-13,0.0,0.27569764852523804,-0.042918264865875244,0.9759615659713745
2020-02-14,0.0,-0.015084445476531982,-0.03309684991836548,0.005728006362915039
2020-02-15,0.0,0.02269909903407097,-0.037972211837768555,0.07456934452056885
2020-02-16,0.0,-0.16269464790821075,-0.7905113697052002,0.01391497254371643
2020-02-17,0.0,0.008674854412674904,-0.03457355499267578,0.06073835492134094
2020-02-18,0.0,0.0010154902702197433,-0.02965545654296875,0.02359694242477417
2020-02-19,0.0,0.03699157387018204,-0.013981282711029053,0.18429821729660034
2020-02-20,0.0,0.00971646886318922,-0.04328674077987671,0.14384719729423523
2020-02-21,0.0,-0.02468792162835598,-0.12251800298690796,0.016041874885559082
2020-02-22,0.0,0.004005080554634333,-0.02776104211807251,0.03357744216918945
2020-02-23,0.0,-0.0010052978759631515,-0.006549477577209473,0.003153890371322632
2020-02-24,0.0,0.0053858039900660515,-0.005114078521728516,0.016029328107833862
2020-02-25,0.0,-0.05121166631579399,-0.5720947980880737,0.22428083419799805
2020-02-26,0.0,-0.2746276557445526,-1.295501947402954,0.0067341625690460205
2020-02-27,0.0,0.12380190938711166,-0.006231129169464111,0.5615890026092529
2020-02-28,0.0,-0.002793228719383478,-0.0071413516998291016,0.002476632595062256
2020-02-29,0.0,0.004206365440040827,-0.0026897192001342773,0.02884426712989807
2020-03-01,0.0,-0.002603846834972501,-0.00972282886505127,0.0008722841739654541
2020-03-02,0.0,-0.019445430487394333,-0.06733399629592896,-0.0005807280540466309
2020-03-03,0.0,0.020059233531355858,-0.005067944526672363,0.04211169481277466
2020-03-04,0.0,0.09866105020046234,-0.01611846685409546,0.5202967524528503
2020-03-05,0.0,-0.0013185202842578292,-0.023315370082855225,0.01980176568031311
2020-03-06,0.0,0.008514243178069592,-0.019296109676361084,0.0664500892162323
2020-03-07,0.0,-0.0049246191047132015,-0.043801188468933105,0.01956576108932495
2020-03-08,0.0,-0.0038677393458783627,-0.09437036514282227,0.07112592458724976
2020-03-09,0.0,0.026432394981384277,-0.015695929527282715,0.16662395000457764
2020-03-10,0.0,-0.10042355954647064,-0.4363864064216614,-0.0013949871063232422
2020-03-11,0.0,0.07715464383363724,-0.02331066131591797,0.33364254236221313
2020-03-12,0.0,0.009834587574005127,-0.025568127632141113,0.03103211522102356
2020-03-13,0.0,0.01711099222302437,-0.005058169364929199,0.030119508504867554
2020-03-14,0.0,-0.04014001414179802,-0.08320999145507812,0.0006091296672821045
2020-03-15,0.0,0.009832578711211681,-0.030456602573394775,0.05222406983375549
2020-03-16,0.0,0.3351283669471741,-0.08792436122894287,1.725624442100525
2020-03-17,1.0,1.0194238424301147,0.12699681520462036,1.944281816482544
2020-03-18,0.0,0.5811464190483093,-0.007078588008880615,2.7281274795532227
2020-03-19,3.0,2.548675537109375,0.9011707305908203,2.9957287311553955
2020-03-20,1.0,1.0380957126617432,0.9786988496780396,1.1249818801879883
2020-03-21,1.0,1.70552659034729,0.9889019727706909,2.865088939666748
2020-03-22,3.0,2.7531356811523438,1.751550555229187,3.0090625286102295
2020-03-23,3.0,3.0738139152526855,2.9933371543884277,3.3315558433532715
2020-03-24,4.0,3.7975211143493652,3.0777359008789062,4.010284423828125
2020-03-25,3.0,4.613398551940918,2.992586135864258,7.132161617279053
2020-03-26,7.0,6.243464946746826,3.322281837463379,7.010400295257568
2020-03-27,8.0,8.999183654785156,7.983834743499756,12.957389831542969
2020-03-28,13.0,14.092150688171387,12.987842559814453,18.47296142578125
