,Diamond Princess,forecast,interval_low,interval_high
2020-02-21,0.0,6.062388274585828e-05,1.519918441772461e-05,0.00014317035675048828
2020-02-22,0.0,6.272792961681262e-05,2.5719404220581055e-05,0.00014317035675048828
2020-02-23,0.0,6.272792961681262e-05,2.5719404220581055e-05,0.00014317035675048828
2020-02-24,0.0,3.688335345941596e-05,1.0579824447631836e-05,5.137920379638672e-05
2020-02-25,0.0,3.688335345941596e-05,1.0579824447631836e-05,5.137920379638672e-05
2020-02-26,0.0,5.6415796279907227e-05,-5.841255187988281e-06,0.00014317035675048828
2020-02-27,0.0,5.6415796279907227e-05,-5.841255187988281e-06,0.00014317035675048828
2020-02-28,0.0,6.062388274585828e-05,1.519918441772461e-05,0.00014317035675048828
2020-02-29,0.0,6.272792961681262e-05,2.5719404220581055e-05,0.00014317035675048828
2020-03-01,0.0,2.5039911633939482e-05,-2.3365020751953125e-05,5.137920379638672e-05
2020-03-02,0.0,3.8659571146126837e-05,1.946091651916504e-05,5.137920379638672e-05
2020-03-03,0.0,3.8659571146126837e-05,1.946091651916504e-05,5.137920379638672e-05
2020-03-04,0.0,1.8733739125309512e-05,-5.4895877838134766e-05,5.137920379638672e-05
2020-03-05,0.0,1.8733739125309512e-05,-5.4895877838134766e-05,5.137920379638672e-05
2020-03-06,0.0,2.556443178036716e-05,-2.0742416381835938e-05,5.137920379638672e-05
2020-03-07,0.0,2.5039911633939482e-05,-2.3365020751953125e-05,5.137920379638672e-05
2020-03-08,0.0,2.5039911633939482e-05,-2.3365020751953125e-05,5.137920379638672e-05
2020-03-09,0.0,3.8659571146126837e-05,1.946091651916504e-05,5.137920379638672e-05
2020-03-10,0.0,3.8659571146126837e-05,1.946091651916504e-05,5.137920379638672e-05
2020-03-11,0.0,1.8733739125309512e-05,-5.4895877838134766e-05,5.137920379638672e-05
2020-03-12,0.0,1.8733739125309512e-05,-5.4895877838134766e-05,5.137920379638672e-05
2020-03-13,0.0,2.556443178036716e-05,-2.0742416381835938e-05,5.137920379638672e-05
2020-03-14,0.0,2.5039911633939482e-05,-2.3365020751953125e-05,5.137920379638672e-05
2020-03-15,0.0,2.5039911633939482e-05,-2.3365020751953125e-05,5.137920379638672e-05
2020-03-16,0.0,28.1961727142334,4.3272972106933594e-05,46.99394989013672
2020-03-17,47.0,46.99369430541992,46.99287033081055,46.994850158691406
2020-03-18,0.0,0.00019450187392067164,3.9577484130859375e-05,0.0005241930484771729
2020-03-19,0.0,0.00019450187392067164,3.9577484130859375e-05,0.0005241930484771729
2020-03-20,2.0,1.1991691589355469,4.2825937271118164e-05,1.9988534450531006
2020-03-21,0.0,4.110336158191785e-05,9.5367431640625e-06,5.269050598144531e-05
2020-03-22,0.0,4.110336158191785e-05,9.5367431640625e-06,5.269050598144531e-05
2020-03-23,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-03-24,0.0,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-03-25,0.0,3.476738856988959e-05,9.5367431640625e-06,5.269050598144531e-05
2020-03-26,0.0,3.476738856988959e-05,9.5367431640625e-06,5.269050598144531e-05
