,Tennessee,forecast,interval_low,interval_high
2020-03-10,0.0,19.742517471313477,0.0,56.56589126586914
2020-03-11,6.0,19.69485092163086,0.0,60.18490982055664
2020-03-12,9.0,23.333141326904297,0.0,68.85672760009766
2020-03-13,8.0,20.026830673217773,0.0,69.73796844482422
2020-03-14,6.0,20.76645851135254,0.0,53.29895782470703
2020-03-15,0.0,9.97960090637207,0.0,79.9911117553711
2020-03-16,20.0,19.581878662109375,0.0,57.86075973510742
2020-03-17,22.0,20.865154266357422,0.0,57.76538848876953
2020-03-18,26.0,20.606229782104492,0.0,61.283348083496094
2020-03-19,54.0,24.318058013916016,0.0,69.85216522216797
2020-03-20,69.0,21.14378547668457,0.0,70.4532241821289
2020-03-21,81.0,22.818307876586914,0.0,55.19342803955078
2020-03-22,89.0,20.114654541015625,0.0,84.80709838867188
2020-03-23,221.0,29.271581649780273,0.0,66.04386138916016
2020-03-24,158.0,31.784637451171875,0.0,68.33303833007812
2020-03-25,144.0,31.990276336669922,0.0,74.58317565917969
2020-03-26,181.0,36.73468780517578,0.0,82.58531951904297
2020-03-27,221.0,34.26396560668945,0.0,80.62052917480469
2020-03-28,193.0,38.074501037597656,2.696627378463745,68.94503021240234
2020-03-29,209.0,111.64591979980469,65.03202056884766,157.60743713378906
2020-03-30,197.0,122.4354476928711,91.69390106201172,153.38011169433594
2020-03-31,474.0,135.84561157226562,104.0984878540039,173.6571044921875
2020-04-01,542.0,146.96841430664062,107.8360824584961,201.5043487548828
2020-04-02,80.0,157.67202758789062,125.326416015625,202.10394287109375
2020-04-03,54.0,152.44619750976562,120.28882598876953,189.59461975097656
2020-04-04,255.0,164.7017822265625,134.37307739257812,197.721435546875
2020-04-05,311.0,258.341064453125,201.6218719482422,319.2247314453125
2020-04-06,169.0,260.40679931640625,220.93722534179688,326.9973449707031
2020-04-07,337.0,319.1052551269531,284.77508544921875,370.6921691894531
2020-04-08,224.0,302.3066101074219,257.0435485839844,362.68505859375
2020-04-09,271.0,340.9600830078125,284.2306213378906,412.12713623046875
2020-04-10,257.0,357.17303466796875,293.97088623046875,411.62158203125
2020-04-11,241.0,418.4607849121094,362.0131530761719,478.1950378417969
2020-04-12,376.0,183.20187377929688,127.65467834472656,251.4873809814453
2020-04-13,102.0,203.8330535888672,170.46670532226562,248.89657592773438
2020-04-14,217.0,230.01937866210938,179.23565673828125,268.8738098144531
2020-04-15,0.0,248.75173950195312,200.88490295410156,308.36968994140625
2020-04-16,339.0,259.0389404296875,218.57801818847656,299.334716796875
2020-04-17,97.0,251.59109497070312,227.40089416503906,284.2693176269531
2020-04-18,326.0,271.2861633300781,240.86602783203125,324.7337341308594
2020-04-19,481.0,289.8573913574219,227.492919921875,364.8682556152344
2020-04-20,168.0,306.44000244140625,239.96739196777344,421.72027587890625
2020-04-21,156.0,249.899169921875,223.50125122070312,291.80218505859375
2020-04-22,0.0,285.19903564453125,259.9971923828125,330.412353515625
2020-04-23,872.0,248.6545867919922,214.61524963378906,278.5890197753906
2020-04-24,462.0,249.4776611328125,204.59011840820312,294.21124267578125
2020-04-25,461.0,237.43228149414062,187.32794189453125,297.102294921875
2020-04-26,478.0,303.0549621582031,240.64031982421875,366.78985595703125
2020-04-27,251.0,312.06414794921875,239.61672973632812,404.23309326171875
2020-04-28,134.0,263.5290832519531,243.88706970214844,296.72686767578125
2020-04-29,314.0,313.7613830566406,285.7596740722656,364.7192687988281
2020-04-30,369.0,270.22320556640625,232.60110473632812,300.12078857421875
2020-05-01,1156.0,242.31472778320312,169.15933227539062,317.8176574707031
2020-05-02,770.0,246.0322265625,186.97999572753906,320.0545959472656
2020-05-03,516.0,563.8714599609375,524.0944213867188,626.9873657226562
2020-05-04,394.0,531.1383056640625,455.0201110839844,637.98291015625
2020-05-05,119.0,434.9808654785156,324.0775451660156,501.31146240234375
2020-05-06,248.0,526.5289916992188,459.8132019042969,634.7821655273438
2020-05-07,158.0,467.43310546875,408.3266906738281,582.6290283203125
2020-05-08,345.0,452.02471923828125,265.0915222167969,581.691650390625
2020-05-09,327.0,417.49468994140625,259.5516052246094,569.97216796875
2020-05-10,217.0,591.296142578125,174.52830505371094,783.0779418945312
2020-05-11,559.0,630.6700439453125,409.0210266113281,778.8099975585938
2020-05-12,567.0,552.9610595703125,193.20346069335938,759.7369384765625
2020-05-13,259.0,489.01702880859375,39.724525451660156,717.6322631835938
2020-05-14,329.0,464.9066467285156,302.0077819824219,640.8981323242188
2020-05-15,261.0,604.599609375,456.29248046875,727.8300170898438
2020-05-16,303.0,516.84228515625,215.08663940429688,710.468994140625
2020-05-17,96.0,317.5381164550781,195.76153564453125,412.7367858886719
2020-05-18,652.0,385.5280456542969,342.575927734375,439.7095031738281
2020-05-19,401.0,380.32080078125,307.1778259277344,417.051513671875
2020-05-20,0.0,438.2018127441406,382.836181640625,499.7530517578125
2020-05-21,549.0,450.38433837890625,386.57025146484375,507.12603759765625
2020-05-22,433.0,454.8384704589844,418.2652282714844,502.5142517089844
2020-05-23,391.0,394.6734924316406,198.13571166992188,527.4073486328125
2020-05-24,326.0,336.5926818847656,275.61376953125,384.5340270996094
2020-05-25,424.0,395.3938293457031,321.95733642578125,513.3613891601562
2020-05-26,360.0,310.533935546875,260.78326416015625,347.6429443359375
2020-05-27,390.0,395.5475769042969,354.8033447265625,442.3282775878906
2020-05-28,394.0,381.4950866699219,328.4328308105469,435.2298278808594
2020-05-29,384.0,380.6803283691406,338.5589599609375,428.59075927734375
2020-05-30,503.0,268.4307556152344,64.90129852294922,422.9871520996094
2020-05-31,0.0,499.0674743652344,435.2615051269531,591.6224975585938
2020-06-01,0.0,504.6854553222656,443.6702880859375,615.2667846679688
2020-06-02,1776.0,469.3497009277344,432.72650146484375,515.07080078125
2020-06-03,491.0,479.6349182128906,432.185302734375,519.2422485351562
2020-06-04,357.0,510.5777282714844,454.1772766113281,573.589111328125
2020-06-05,474.0,523.7064208984375,483.0816650390625,572.4854736328125
2020-06-06,513.0,476.256103515625,347.67724609375,569.06298828125
2020-06-07,316.0,479.57275390625,401.83514404296875,550.6727905273438
2020-06-08,512.0,516.6709594726562,436.8835144042969,581.0907592773438
2020-06-09,570.0,514.938720703125,414.2830810546875,582.0390014648438
2020-06-10,355.0,473.10723876953125,346.0751953125,583.972412109375
2020-06-11,410.0,507.3063049316406,368.5331115722656,719.085205078125
2020-06-12,778.0,555.4729614257812,435.6675109863281,667.4202880859375
2020-06-13,431.0,591.6272583007812,372.0392150878906,765.42822265625
2020-06-14,794.0,476.335693359375,400.35418701171875,537.9613037109375
2020-06-15,661.0,540.7471313476562,473.608154296875,636.2032470703125
2020-06-16,747.0,529.2137451171875,476.5473327636719,577.0486450195312
2020-06-17,363.0,528.1141357421875,414.2680358886719,585.8764038085938
2020-06-18,656.0,561.3496704101562,513.5633544921875,624.5611572265625
2020-06-19,1247.0,619.8739013671875,548.842041015625,735.596923828125
2020-06-20,429.0,534.5150756835938,335.9695739746094,639.5829467773438
2020-06-21,656.0,632.6622924804688,432.5876770019531,777.0421752929688
2020-06-22,451.0,794.8580932617188,667.4468994140625,1040.179931640625
2020-06-23,750.0,758.7870483398438,676.5935668945312,830.6958618164062
2020-06-24,932.0,812.9983520507812,683.5694580078125,942.056884765625
2020-06-25,799.0,852.6062622070312,711.611572265625,1002.5728149414062
2020-06-26,1410.0,884.0816650390625,753.3170166015625,1022.7041015625
2020-06-27,728.0,793.2545166015625,661.912109375,880.4281005859375
2020-06-28,0.0,840.3974609375,723.3305053710938,970.6968383789062
2020-06-29,2125.0,944.2512817382812,788.2506713867188,1365.5260009765625
2020-06-30,1212.0,822.2517700195312,708.3997192382812,914.6636962890625
2020-07-01,1806.0,623.9766235351562,38.289249420166016,881.703369140625
2020-07-02,1575.0,1209.21142578125,860.0269165039062,2200.554931640625
2020-07-03,1822.0,1118.423095703125,916.4761962890625,1356.7685546875
2020-07-04,1428.0,1239.727294921875,923.143310546875,1853.229248046875
2020-07-05,1176.0,1424.83251953125,1157.9849853515625,1678.3182373046875
2020-07-06,723.0,1455.1107177734375,1029.0843505859375,1785.27783203125
2020-07-07,1475.0,1394.152587890625,1258.313720703125,1668.7135009765625
2020-07-08,2472.0,1172.3685302734375,877.510498046875,1375.9656982421875
2020-07-09,1605.0,1229.4927978515625,702.3771362304688,1705.5694580078125
2020-07-10,1955.0,1540.63037109375,1196.7666015625,1735.8128662109375
2020-07-11,1460.0,1994.7623291015625,1556.15625,2479.9306640625
2020-07-12,954.0,1766.4488525390625,1502.93896484375,2235.43603515625
2020-07-13,3314.0,1865.5074462890625,1609.599365234375,2107.58056640625
2020-07-14,1514.0,1570.50927734375,1322.690185546875,1830.39306640625
2020-07-15,2273.0,1264.5897216796875,811.3251953125,1766.1192626953125
2020-07-16,2479.0,2735.1171875,1949.6004638671875,3568.7060546875
2020-07-17,2279.0,1832.549072265625,1377.1163330078125,2327.77978515625
2020-07-18,2517.0,2234.068359375,1902.366943359375,2535.327392578125
2020-07-19,,1932.2659912109375,1121.9609375,2426.14111328125
2020-07-20,,1529.1966552734375,83.07398223876953,2273.1171875
2020-07-21,,3182.53369140625,2195.00341796875,4246.06591796875
2020-07-22,,1842.716552734375,613.6898193359375,2460.138427734375
2020-07-23,,1818.090576171875,791.8009033203125,2670.634521484375
2020-07-24,,3158.60693359375,2350.173095703125,4251.37841796875
2020-07-25,,1571.0914306640625,193.42404174804688,2802.033203125
